id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/14/value
2534421529,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-04-16T10:42:42.598Z,2023-04-16T11:57:40Z,4194510473,130,7,4194510479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194773965,197,704,4194510477,194,8xd59g0c36012q6mg5f2fl239,4194510475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194510471,59,"13, 4, 16, 18, 22, 15, 8, 23, 9, 24, 12, 1, 2, 3, 7, 11, 14, 17, 20, 26, 36",4194510467,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 8xd59g0c36012q6mg5f2fl239, 3auwtiburdxrp2i5me2d97f11, 9um7x9zd0e000zt57l3yearqh, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, 2do89l8kf9yuelzq1b5mo549h, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, d7pzcnoztn30xoj5b2sr9slt6, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 2udtmz4lvh4vil16mxvo0j4l, bqmhsb2bsuuuijw2ci39l01k9, ay89se5rytzay8md0yeadykq2, bixz0as48s0jmvl2bdctr2tt6, eonkaqrhhxzaa3nt0iena4us",4194510469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534426437,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-16T10:48:52.950Z,2023-04-16T12:36:12Z,4194535121,30,"c0pl96o1zkrgvukte9zefl591, ewu1skobmxtz4f3z6dbnfm6dx, 7wjmaxqunpd84il1p5w4xwrmd, clrlsy05spf55w39f84b7p3sa, bkvvapojagxvj17nzk3oy8ct1, 33r4ae8aivh27ho0ix9mnkedx, 1ore4ght7ls393tcpbmah9dcl, f0a2qk3jzxercn67bben5eled, 9ivrglgy0tibv881e1a93psr9, 8axw2xc0dl8vsdub6nq4nhjo5, 1i9mqbswolg91evnmsrf5katx, 61j22wr5t5irba2v3v4l1rnro, 2zn2o5lzchz7oattq9pnjr8wl, elb74prcilvsqzn9jdznrjavp, eo74fl3ctgkwbpsa099rkv6xh, 5b839eahyhf1vrzti55pzpplh, defkaykmw8lmts2gumfa1jyzt, ac5f9msbvijksbq5s2ivwh979, a045sz2acqbfgyq9puwsu8sx6, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl, 8twklnbsk3tiyw713l06n340k",4194535125,59,"1, 14, 23, 26, 21, 6, 10, 20, 9, 8, 11, 2, 3, 5, 7, 12, 15, 17, 18, 19, 22, 24, 28",4194535135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194535131,194,1ore4ght7ls393tcpbmah9dcl,4194535127,130,8,4194535133,197,281,4194535129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194535123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475119,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-16T11:59:58.772Z,2023-04-16T12:00:02Z,4194783947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475105,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-04-16T11:59:58.772Z,2023-04-16T11:59:58Z,4194783899,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475167,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,50.8,49.9,2023-04-16T11:59:58.872Z,2023-04-16T12:00:02Z,4194784169,56,Back,4194784177,213,2.9,4194784171,140,35.4,4194784175,212,16.7,4194784179,279,S,4194784173,141,56.1,,,,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475195,4,1,1,0,2,7h7eg7q7dbwvzww78h9d5eh0h,1,36.2,57.3,2023-04-16T12:00:01.055Z,2023-04-16T12:00:04Z,4194784323,141,83.9,4194784325,212,18.2,4194784321,140,37.7,4194784327,213,1.5,4194784319,56,Back,,,,,,,,,,8xd59g0c36012q6mg5f2fl239,Juanpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475273,5,1,1,0,6,7h7eg7q7dbwvzww78h9d5eh0h,0,42,88.1,2023-04-16T12:00:04.800Z,2023-04-16T12:00:09Z,4194784695,212,49.9,4194784697,213,0.2,4194784683,155,,4194784689,140,88.8,4194784687,56,Left,4194784693,141,100.0,4194784699,1,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475471,3,5,1,0,10,4yg9ttzw0m51048doksv8uq5r,1,13.1,-1.6,2023-04-16T12:00:09.762Z,2023-04-16T12:30:09Z,4194785711,233,6,4194785695,56,Back,4194785697,347,,,,,,,,,,,,,,,,,1ore4ght7ls393tcpbmah9dcl,Pere Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475281,6,5,1,0,10,7h7eg7q7dbwvzww78h9d5eh0h,0,86.9,101.6,2023-04-16T12:00:09.762Z,2023-04-16T12:00:27Z,4194784725,347,,4194784723,56,Left,4194785723,233,3,,,,,,,,,,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534475505,4,1,1,0,27,4yg9ttzw0m51048doksv8uq5r,1,15.5,0,2023-04-16T12:00:26.471Z,2023-04-16T12:00:29Z,4194785885,212,20.6,4194785881,140,34.6,4194785887,213,0.2,4194785883,141,5.1,4194785877,107,,4194785879,56,Back,,,,,,,ewu1skobmxtz4f3z6dbnfm6dx,H. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
