id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2511920145,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-25T14:01:34.587Z,2023-02-25T15:19:53Z,4054387519,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054387527,194,2qauzcv74cd8uqfv2ibl52ymt,4054387523,130,2,4054387525,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054387521,59,"1, 20, 22, 17, 23, 3, 10, 4, 15, 19, 7, 2, 5, 8, 9, 11, 12, 13, 16, 21, 24, 25",4054387529,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054387517,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, bmmahw4ww36w4tokk3xhvvvmd, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, bpvxqbiu11k4ivohi3798kxxx, 9c2cfavuofg0yz3307nkgi0ut, aziqdd6dqjjgr6ifmzve0cz4l, 1jffh172t15s6ws7nou0fc251, wwdfv8zkkgplnpbz12pv8frp, 2vvr0pc9xgoiq1pmxpjysyr8q, 4ktnru3pqurww9h9af7n2959l, 7s0xu9z5egw0sjf8qibdwa6s5, 3ia1z3fooszynz9a81dn17oid, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, cfm1cx3wneiqljgyv0tthp0ph, 2gaojeqbhh6oj3ao7b3nxxx0q, d2z22er0uqxu3w3h3ta36wh61, aabvyjqpd63os1yzthx8ej6c5, 54ojuo12zxzasi4a6vpmhxfbp",4054871479,197,18424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511922229,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-02-25T14:03:42.326Z,2023-02-25T15:21:11Z,4054397873,130,2,4054397877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054397881,194,b5rea5r4h8bclpenau2au142x,4054397863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054397883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054397867,59,"1, 20, 3, 23, 19, 5, 7, 6, 25, 34, 18, 2, 4, 8, 9, 12, 13, 14, 15, 16, 17, 21, 24",4054397859,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, diixuwl5rn7f8vjleqfqy4st1, 1bdnkqbxm2u5ror7ipig5m73e, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 676ehh6cwla4o9igey7qr1uqd, 8oc3lpz3xttrnwxk1fnnv7owl, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, lp63o37czdwete0smmu62k89, u04ao1ldrjjesgqq52o7ghqt, 1ho7koiegfhsuevuum2meibu2, c3rreq5bz6smx1ynf9zsune1h",4054838299,197,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512018797,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-25T15:17:57.521Z,2023-02-26T01:20:16Z,4054885187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512018773,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-02-25T15:17:57.521Z,2023-02-25T15:17:57Z,4054885023,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512018867,3,1,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,50.4,50.3,2023-02-25T15:17:57.594Z,2023-02-26T07:39:09Z,4054885575,141,47.0,4054885579,213,3.3,4054885571,56,Back,4054885577,212,11.3,4054885581,279,S,4054885573,140,39.9,4058165205,178,,,,,bmmahw4ww36w4tokk3xhvvvmd,G. Escalante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512019025,4,1,1,0,2,82q9159y2u7mkfn3z6hy75r4o,1,34.2,46.9,2023-02-25T15:18:00.185Z,2023-02-26T07:39:19Z,4054886431,141,26.3,4054886429,140,26.3,4054886427,56,Back,4054886433,212,16.3,4058165423,178,,4054886437,213,4.2,,,,,,,9c2cfavuofg0yz3307nkgi0ut,Rubén Alcaraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512019137,5,1,1,0,4,82q9159y2u7mkfn3z6hy75r4o,0,26.3,26.3,2023-02-25T15:18:02.221Z,2023-02-26T07:39:29Z,4058165607,178,,4054887043,141,24.8,4054887033,155,,4054887047,213,6.3,4054887041,140,87.9,4054887049,1,,4054887045,212,64.7,4054887039,56,Center,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512019151,3,52,1,0,9,3budh3j9xivsid3ptm8ptpy4k,1,9.2,75.8,2023-02-25T15:18:06.877Z,2023-02-26T07:39:34Z,4056453133,377,,4058165657,178,,,,,,,,,,,,,,,,,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512019479,4,1,1,0,13,3budh3j9xivsid3ptm8ptpy4k,1,16,60.5,2023-02-25T15:18:10.642Z,2023-02-26T07:39:40Z,4054888971,141,18.4,4054888975,213,5.0,4054888967,56,Back,4058165803,178,,4054888973,212,30.2,4054888969,140,25.1,4054888965,123,,,,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512019613,5,1,1,0,17,3budh3j9xivsid3ptm8ptpy4k,0,27.3,16,2023-02-25T15:18:15.222Z,2023-02-26T07:40:03Z,4054889713,155,,4054889717,140,75.8,4054889725,1,,4054889721,212,51.0,4054889723,213,6.2,4054889719,141,11.3,4054889715,56,Right,4058166349,178,,533095rnz0k8mxqe6gzn0mfo5,F. Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
