id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2493880669,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-12-29T17:03:08.056Z,2022-12-29T18:20:58Z,3959499283,59,"13, 23, 15, 18, 19, 35, 11, 14, 9, 8, 10, 1, 2, 6, 7, 12, 17, 21, 24, 28, 33, 34",3959588453,197,254,3959499285,130,8,3959499289,194,4pizap25enja9rtz4g6x5bkd1,3959499279,30,"s96k2x2cts0vo6y6aaeui5zp, euy1s0xo19019kegzcpp1gez9, 3m7wjcmet9b8sc5tu0ct8j0et, 4pizap25enja9rtz4g6x5bkd1, f5blplnlgn04f54kqsfx1b7qh, 89ck0nb8xgzcjqt3puatxy5n8, 7hyo7fy8hospvlvtlfv7q73ai, 10f06nit2xupshuz4lmazrvth, d12m2oz1lomkc1qxmpht38lat, 1he0x583esqw1ka0ybc2nlz9x, 75079gtd2efpviyo605ozsd79, 1vn3xi2x6vtjor1bt1ob1vk5x, e5rlll2fvd9wsk40o6pztsc0l, 1myo59ub6qouwvxpb699shhw5, c4je25rkbg2n45xs5iurevhlh, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, 5gtoi90sxc43mbsfxwfv7wzxl, 9226xt1t1m3fy4ob9l2r16609, 9jxofpmrfh2lil77f9xj22kiy, emvmn561wgd62zj0s3qi5j5rd, den32imqtand3adxbz56l69gq",3959499281,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3959499291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959499287,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493881313,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-12-29T17:05:48.288Z,2022-12-29T18:14:13Z,3959502927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959589763,197,17183,3959502915,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, ddvvwqxpsqqboupi3gx1ijhed, 1rjzsyc8yt25tyelzg820if2t, 3tzvbdszdrj1tayik9igbve8l, dfcbvsb7o18lavmonbp5ucwoa, 66jotyvbhtz5cjvhbby6luelm, cd5napttmwk5o9gxw3cbb4ted, do5tibysnhbnbw18nwdo39kut, 81png9xvfr224o03vaksp6aqd, 1tctbwsidibct7wphjgv8mdm2, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",3959502921,130,8,3959502923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959502925,194,e9wu8g45hq2c1vp07jktx0set,3959502919,59,"1, 18, 17, 6, 3, 5, 9, 14, 12, 8, 11, 4, 7, 10, 13, 15, 16, 19, 20, 21, 22, 24, 31",3959502917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896805,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-12-29T18:17:01.378Z,2022-12-29T18:17:05Z,3959593053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896803,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-12-29T18:17:01.378Z,2022-12-30T06:11:46Z,3959593051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896807,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.3,50.3,2022-12-29T18:17:01.417Z,2022-12-30T06:37:25Z,3959593061,212,1.4,3959593057,140,49.0,3960353443,178,,3959593055,56,Back,3959593059,141,50.7,3959593065,279,S,3959593063,213,2.9,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896835,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,1,57.9,49.4,2022-12-29T18:17:03.912Z,2022-12-30T06:37:42Z,3959593217,56,Center,3959593225,213,1.1,3959593223,212,8.0,3959593221,141,60.0,3960353493,178,,3959593219,140,61.1,,,,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896839,5,1,1,0,4,3czravw89omgc9o4s0w3l1bg5,1,59.8,62.5,2022-12-29T18:17:05.420Z,2022-12-30T06:37:57Z,3959593263,212,5.5,3959593265,213,3.2,3959593259,140,54.6,3960353581,178,,3959593261,141,62.0,3959593257,56,Center,,,,,,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896861,6,1,1,0,5,3czravw89omgc9o4s0w3l1bg5,1,54.1,47.5,2022-12-29T18:17:06.784Z,2022-12-30T06:38:12Z,3959593381,56,Right,3959593391,1,,3959593387,212,35.1,3959593379,155,,3960353663,178,,3959593389,213,5.3,3959593385,141,3.8,3959593383,140,71.9,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896865,7,1,1,0,10,3czravw89omgc9o4s0w3l1bg5,1,71.9,3.8,2022-12-29T18:17:12.092Z,2022-12-30T06:38:22Z,3959593411,140,62.6,3959593417,213,2.9,3959593409,56,Right,3960353701,178,,3959593413,141,7.9,3959593415,212,10.2,,,,,,,66jotyvbhtz5cjvhbby6luelm,Nico Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493896867,8,1,1,0,13,3czravw89omgc9o4s0w3l1bg5,0,62.6,7.9,2022-12-29T18:17:14.934Z,2022-12-30T06:38:31Z,3959593439,213,0.1,3959593435,141,10.1,3959593433,140,74.2,3960353745,178,,3959593437,212,12.3,3959593431,56,Right,3959593429,155,,,,,1rjzsyc8yt25tyelzg820if2t,Dani García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
