id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2469791691,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2022-10-09T15:27:02.230Z,2022-10-09T16:29:47Z,3832326667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832326665,130,21,3832326669,194,e35v2pspdgl7t769d57e67ob9,3832326661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832326671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832326663,59,"1, 2, 12, 3, 6, 20, 23, 21, 14, 19, 8, 4, 5, 9, 11, 13, 15, 16, 17, 22, 24, 30, 33",3832623367,197,1593,3832326659,30,"w503zyr8ipyobglth281uklx, eucew4k6eswqr6emzsdg4if3d, bj929w5yi7lnz36jxsi5qnq7e, 80aqmv4ht6rs1812qrr5j8kix, e35v2pspdgl7t769d57e67ob9, 7bs0ph4yksf6lvkg91u9nqzqi, dvrk8qmt9ta4c3kvjgsad7t91, 13ll29mtf7pxwz1yf0i40tsd1, 1qkep5ck252k1g3oqza5ygh61, 6akzpi6rd6qq0ke07ojnhpoet, atigcsq78g14w82lwvay26aj9, 5vhikvmcesruckmfcfmm0q8d1, 48gjuou5eashpj8wbwd18iju1, 8rb37jdev612rfbrbp8zovs9h, 5vznxxfbteooxk2dd2ws76xhw, 1zjmgapwre4picauko9gnemll, dkt9892ixwnz1bkmgileo71sl, cme92rbmqszu51sjm99ho8a21, 7aoe0u87gxgv9tvgrotcfue7e, et849xmcdgsy5itb8i4w7qkq2, 6xulax65kp4aid70nk7g5jr2t, 7y8ns61qioqu7kfsqzkvkwhuy, dqiuqhsqsayvldfazfnp8d46i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469794011,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-10-09T15:30:07.662Z,2022-10-09T16:30:29Z,3832339309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3832339307,30,"1lgrnaje6y7un5dzzll84p91, 6wpnjdlg2p8f19y3gjpz1su6t, eh70fwampgdyfv3hu25o2qx, c29mprqv2ulztd22b6uckczx1, e615cmv1tfzu84f0z8mwi5711, 57s7gfvt5btbfzm600wn7df55, 4eezya3lwcwur6c8s6rl0rzvu, 5mx86rwy0u4xi1b5kqin4lhx, 4rktv6j9sioe0gmu7jt77fsh5, dhtb9gizk25k1u3h0b7xgy4tl, a7bs2dkwmy1cjryql6z3n9kut, 76r2yw3wtql61qh5l0yumdn85, aza9jho12wrfa3oczxoj670mh, 3bm08rp9rgzh6cjhk0picxs6h, dfjph36vcwfj5cevut4x3vf11, amcwh6w0brmkttg4uc5qm6z9w, 5zoz3mjooujpv0wdcphyrztd6, a3w1uczgmswm3cwk4vmvoglhx, 12qc3dkodeb8ykg6pc0kqf2l1, 9y7202khwzb48ea7im646m11x, 7c2qwyzh82a45s25zmdahrd91, eiqcjlj9kmitoj8g50vaglawa",3832339315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832339319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3832339311,59,"13, 2, 24, 10, 3, 4, 21, 6, 9, 17, 19, 1, 5, 11, 12, 15, 16, 18, 20, 22, 23, 35",3832339317,194,e615cmv1tfzu84f0z8mwi5711,3832339313,130,2,3832640177,197,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851077,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-10-09T16:32:34.484Z,2022-10-09T16:32:35Z,3832648731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851059,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2022-10-09T16:32:34.484Z,2022-10-10T02:53:58Z,3832648605,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851103,3,1,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,50.2,49.7,2022-10-09T16:32:34.543Z,2022-10-10T02:59:41Z,3832648897,140,30.0,3832648899,141,38.6,3832648903,213,3.5,3832648895,56,Back,3832648905,279,S,3832648901,212,22.5,3834376031,178,,,,,6akzpi6rd6qq0ke07ojnhpoet,A. Sørloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851135,4,1,1,0,3,63f5h8t5e9qm1fqmvfkb23ghh,1,30.4,38.6,2022-10-09T16:32:37.595Z,2022-10-10T02:59:47Z,3832649073,212,54.8,3832649067,56,Left,3834376089,178,,3832649069,140,69.8,3832649065,155,,3832649075,213,0.7,3832649071,141,91.4,3832649077,1,,e35v2pspdgl7t769d57e67ob9,Elustondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851137,5,44,1,0,5,63f5h8t5e9qm1fqmvfkb23ghh,1,67.9,90.2,2022-10-09T16:32:40.087Z,2022-10-10T07:28:33Z,3832649087,56,Left,3832649159,233,3,3832649089,286,,,,,,,,,,,,,,,,,atigcsq78g14w82lwvay26aj9,Mikel Merino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851131,3,44,1,0,5,74mcjsm72vr3l9pw2i4qfjchj,0,32.1,9.8,2022-10-09T16:32:40.088Z,2022-10-10T03:00:14Z,3832649045,56,Back,3832649047,285,,3832649167,233,5,,,,,,,,,,,,,,,,4eezya3lwcwur6c8s6rl0rzvu,Yeremy Pino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851157,6,1,1,0,5,63f5h8t5e9qm1fqmvfkb23ghh,0,69.8,91.4,2022-10-09T16:32:40.102Z,2022-10-10T07:28:34Z,3832649187,141,81.3,3832649185,140,75.7,3832649181,3,,3834376285,388,,3832649189,212,9.2,3832649191,213,5.4,3832649183,56,Left,,,,atigcsq78g14w82lwvay26aj9,Mikel Merino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469851147,4,49,1,0,7,74mcjsm72vr3l9pw2i4qfjchj,1,29.3,26.1,2022-10-09T16:32:41.507Z,2022-10-10T03:00:42Z,,,,,,,,,,,,,,,,,,,,,,,,,e615cmv1tfzu84f0z8mwi5711,Raúl Albiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
