id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/16/value
2527643839,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-04-02T15:36:34.171Z,2023-04-02T16:39:13Z,4158439897,197,1593,4158439883,30,"w503zyr8ipyobglth281uklx, b91n9sdabth8oocdawayybdud, bj929w5yi7lnz36jxsi5qnq7e, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, 6xulax65kp4aid70nk7g5jr2t, dvrk8qmt9ta4c3kvjgsad7t91, 13ll29mtf7pxwz1yf0i40tsd1, 6akzpi6rd6qq0ke07ojnhpoet, 1qkep5ck252k1g3oqza5ygh61, atigcsq78g14w82lwvay26aj9, eucew4k6eswqr6emzsdg4if3d, 5vhikvmcesruckmfcfmm0q8d1, e35v2pspdgl7t769d57e67ob9, 21vx56lpd276xqbu11ubkf78q, b45ryclny991bm7qosieyg1cl, 5vznxxfbteooxk2dd2ws76xhw, 1zjmgapwre4picauko9gnemll, dkt9892ixwnz1bkmgileo71sl, cme92rbmqszu51sjm99ho8a21, 7aoe0u87gxgv9tvgrotcfue7e, 7bs0ph4yksf6lvkg91u9nqzqi, et849xmcdgsy5itb8i4w7qkq2",4158439899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158439891,130,21,4158439889,59,"1, 18, 12, 3, 5, 24, 23, 21, 19, 14, 8, 2, 4, 6, 7, 10, 11, 13, 15, 16, 17, 20, 22",4158439887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158439893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158439895,194,atigcsq78g14w82lwvay26aj9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527644453,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-04-02T15:37:06.901Z,2023-04-02T15:37:07Z,4158442991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158442989,30,"76r2yw3wtql61qh5l0yumdn85, 5soi8e2hlk77rlsbsl76hg3xl, eh70fwampgdyfv3hu25o2qx, c29mprqv2ulztd22b6uckczx1, 7c2qwyzh82a45s25zmdahrd91, 57s7gfvt5btbfzm600wn7df55, 20ebw399jhbq0i5x2eacrrs6i, 5zoz3mjooujpv0wdcphyrztd6, 9y7202khwzb48ea7im646m11x, 3bm08rp9rgzh6cjhk0picxs6h, 4eezya3lwcwur6c8s6rl0rzvu, 6wpnjdlg2p8f19y3gjpz1su6t, aza9jho12wrfa3oczxoj670mh, dfjph36vcwfj5cevut4x3vf11, 9m2qujt0h0zrd0n1akjqjo0r9, amcwh6w0brmkttg4uc5qm6z9w, dhtb9gizk25k1u3h0b7xgy4tl, a3w1uczgmswm3cwk4vmvoglhx, eiqcjlj9kmitoj8g50vaglawa, 7kyxr0ntcthtbohvozw93v52i",4158443005,197,284,4158442997,130,4,4158442999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158442995,59,"1, 8, 24, 10, 23, 4, 39, 16, 22, 11, 21, 2, 5, 12, 14, 15, 17, 18, 35, 40",4158443007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158443003,194,c29mprqv2ulztd22b6uckczx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694617,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-04-02T16:30:22.628Z,2023-04-02T16:30:22Z,4158703951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694623,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-04-02T16:30:22.628Z,2023-04-03T00:29:20Z,4158703997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694647,3,1,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,50,50,2023-04-02T16:30:22.728Z,2023-04-02T16:31:01Z,4158704099,56,Back,4158704105,212,11.7,4158704109,279,S,4158704107,213,3.1,4158704103,141,50.9,4158704101,140,38.9,,,,,,,9y7202khwzb48ea7im646m11x,José Luis Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694681,4,1,1,0,3,74mcjsm72vr3l9pw2i4qfjchj,1,38.9,50.9,2023-04-02T16:30:26.172Z,2023-04-02T16:30:28Z,4158704297,141,40.4,4158704301,213,5.6,4158704299,212,11.6,4158704293,56,Back,4158704295,140,47.6,,,,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694735,5,1,1,0,5,74mcjsm72vr3l9pw2i4qfjchj,1,47.6,40.4,2023-04-02T16:30:28.251Z,2023-04-02T16:30:31Z,4158704547,213,4.1,4158704539,56,Back,4158704545,212,17.6,4158704543,141,19.0,4158704541,140,38.2,,,,,,,,,,20ebw399jhbq0i5x2eacrrs6i,Ramón Terrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694749,6,1,1,0,8,74mcjsm72vr3l9pw2i4qfjchj,1,38.2,19,2023-04-02T16:30:31.323Z,2023-04-02T16:30:32Z,4158704605,141,2.7,4158704611,213,5.2,4158704603,140,44.2,4158704601,56,Back,4158704607,212,12.7,,,,,,,,,,5soi8e2hlk77rlsbsl76hg3xl,J. Foyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694765,7,1,1,0,10,74mcjsm72vr3l9pw2i4qfjchj,0,44.2,2.7,2023-04-02T16:30:32.699Z,2023-04-02T16:30:35Z,4158704673,56,Right,4158704675,140,55.8,4158704681,213,0.6,4158704679,212,14.7,4158704677,141,14.9,,,,,,,,,,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694781,3,49,1,0,11,63f5h8t5e9qm1fqmvfkb23ghh,1,44.2,72.4,2023-04-02T16:30:34.549Z,2023-04-02T16:30:34Z,,,,,,,,,,,,,,,,,,,,,,,,,6xulax65kp4aid70nk7g5jr2t,R. Le Normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
