id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/17/value,qualifier/18/value
2458701931,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-09-11T13:27:37.044Z,2022-09-11T14:22:55Z,3773305423,194,36bg0k385i4wwarffp6ak1syd,3773305421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773305415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773437383,197,281,3773305419,130,8,3773305425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773305413,30,"36bg0k385i4wwarffp6ak1syd, agmcwbzoertg4l8njpdai7kl, eg5xrgue41p7yq97ge9iri99m, f0a2qk3jzxercn67bben5eled, 2zn2o5lzchz7oattq9pnjr8wl, 33r4ae8aivh27ho0ix9mnkedx, defkaykmw8lmts2gumfa1jyzt, bkvvapojagxvj17nzk3oy8ct1, 9ivrglgy0tibv881e1a93psr9, 8f3eqla9yo5js50fv2tdu5vjd, 1ore4ght7ls393tcpbmah9dcl, c0pl96o1zkrgvukte9zefl591, f54pd3cld0qkc8ol15bk9ye39, 1yxaa4n0120z5srk6ar1spxat, 8axw2xc0dl8vsdub6nq4nhjo5, 1i9mqbswolg91evnmsrf5katx, ewu1skobmxtz4f3z6dbnfm6dx, e18oezz5jq7pf3h4azgv3ofrp, ac5f9msbvijksbq5s2ivwh979, aziqdd6dqjjgr6ifmzve0cz4l, a971j313ztjvcgojpg6u390b9, 7wjmaxqunpd84il1p5w4xwrmd, clrlsy05spf55w39f84b7p3sa",3773305417,59,"13, 24, 22, 20, 3, 6, 15, 21, 9, 12, 10, 1, 2, 7, 8, 11, 14, 16, 17, 18, 19, 23, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458704259,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-11T13:30:46.124Z,2022-09-11T13:57:52Z,3773318199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773318203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773318191,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 1rjzsyc8yt25tyelzg820if2t, 9d5h5wxf44qu4fw3jk2pgis16, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 83n1qv6ypl625aolzjeqifv11, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",3773437677,197,12043,3773318201,194,81png9xvfr224o03vaksp6aqd,3773318193,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773318197,130,8,3773318195,59,"1, 18, 15, 14, 3, 4, 11, 8, 9, 10, 7, 2, 6, 12, 13, 16, 19, 20, 21, 22, 31, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744101,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-11T14:17:13.244Z,2022-09-11T14:17:17Z,3773524399,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744083,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-09-11T14:17:13.244Z,2022-09-11T23:45:47Z,3773524323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744181,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,49.8,50,2022-09-11T14:17:13.292Z,2022-09-12T00:45:16Z,3773524845,279,S,3773524835,56,Back,3773524839,141,64.2,3775402061,178,,3773524843,213,2.7,3773524837,140,32.1,3773524841,212,20.9,,,,f0a2qk3jzxercn67bben5eled,Gumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744195,4,1,1,0,3,4yg9ttzw0m51048doksv8uq5r,0,32.3,63.7,2022-09-11T14:17:16.481Z,2022-09-12T00:45:33Z,3773524903,155,,3773524907,140,72.5,3773524911,212,45.6,3773524909,141,38.3,3773524913,213,5.9,3773524905,56,Center,3773524915,1,,3775402481,178,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744237,3,44,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,30.2,62,2022-09-11T14:17:19.448Z,2022-09-12T04:57:54Z,3773525087,233,5,3773525063,285,,3773525061,56,Back,,,,,,,,,,,,,,,,1rjzsyc8yt25tyelzg820if2t,Dani García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744207,5,44,1,0,6,4yg9ttzw0m51048doksv8uq5r,0,69.8,38,2022-09-11T14:17:19.449Z,2022-09-12T00:45:42Z,3773525155,233,3,3773524947,56,Center,3773524949,286,,,,,,,,,,,,,,,,,1ore4ght7ls393tcpbmah9dcl,Pere Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744265,4,1,1,0,6,3czravw89omgc9o4s0w3l1bg5,0,32.7,62,2022-09-11T14:17:19.549Z,2022-09-12T04:57:55Z,3773525189,213,0.9,3773525181,56,Back,3775403021,388,,3773525187,212,9.9,3773525183,140,38.7,3773525179,3,,3773525185,141,73.2,,,,1rjzsyc8yt25tyelzg820if2t,Dani García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458744321,6,1,1,0,8,4yg9ttzw0m51048doksv8uq5r,0,54.3,23.7,2022-09-11T14:17:21.513Z,2022-09-12T00:46:05Z,3773525463,140,63.2,3773525467,212,19.1,3773525469,213,5.2,3775403367,178,,3773525461,56,Right,3773525465,141,0.0,3773525459,3,,,,,bkvvapojagxvj17nzk3oy8ct1,Omar Mascarell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
