id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2457598861,8,50,1,0,16,4jelr92fsge73q39is6qvhxb3,1,73.2,13,2022-09-09T19:00:32.544Z,2022-09-10T05:57:57Z,3767474735,233,4,3767474703,286,,3767474701,56,Right,,,,,,,,,,,,,,,,b6rbjpzuq9vo9kdil1tlyl2ad,Roque Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598847,4,7,1,0,16,7h7eg7q7dbwvzww78h9d5eh0h,0,26.8,87,2022-09-09T19:00:32.777Z,2022-09-10T05:58:02Z,3767474617,285,,3767474615,56,Back,3768343141,178,,3767474709,233,8,3767883179,384,,,,,,,,,,,2udtmz4lvh4vil16mxvo0j4l,Aleix García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598873,5,49,1,0,19,7h7eg7q7dbwvzww78h9d5eh0h,1,10.2,93,2022-09-09T19:00:35.613Z,2022-09-10T05:58:13Z,,,,,,,,,,,,,,,,,,,,,,,,,d7pzcnoztn30xoj5b2sr9slt6,Miguel Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598881,6,1,1,0,20,7h7eg7q7dbwvzww78h9d5eh0h,0,10.2,93,2022-09-09T19:00:36.751Z,2022-09-10T05:58:20Z,3767474813,56,Back,3767474819,212,5.5,3768343433,178,,3767474821,213,6.2,3767474817,141,92.7,3767474815,140,15.4,,,,,,,d7pzcnoztn30xoj5b2sr9slt6,Miguel Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598883,9,49,1,0,21,4jelr92fsge73q39is6qvhxb3,1,83.6,8.6,2022-09-09T19:00:37.588Z,2022-09-10T05:58:25Z,,,,,,,,,,,,,,,,,,,,,,,,,2z183ceh099zdd3wq5fvs1aay,G. Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598939,10,1,1,0,26,4jelr92fsge73q39is6qvhxb3,0,97.2,7.4,2022-09-09T19:00:42.246Z,2022-09-10T05:58:30Z,3767884053,224,,3767475153,140,100.0,3767475151,56,Center,3767475147,2,,3767475159,213,1.5,3767884055,20,,3768343591,178,,3767475155,141,66.0,2z183ceh099zdd3wq5fvs1aay,G. Plata,3767475157,212,40.0,3767475149,155,3767475161,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599069,7,5,1,0,27,7h7eg7q7dbwvzww78h9d5eh0h,1,-1,47.2,2022-09-09T19:00:43.437Z,2022-09-10T05:58:36Z,3767475833,346,,3767475831,56,Back,3767477245,233,11,,,,,,,,,,,,,,,,d7pzcnoztn30xoj5b2sr9slt6,Miguel Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457598945,11,5,1,0,27,4jelr92fsge73q39is6qvhxb3,0,101,52.8,2022-09-09T19:00:43.437Z,2022-09-10T05:58:36Z,3767477291,233,7,3767475189,346,,3767475185,56,Center,,,,,,,,,,,,,,,,2z183ceh099zdd3wq5fvs1aay,G. Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599199,8,1,1,0,44,7h7eg7q7dbwvzww78h9d5eh0h,1,3.5,49.3,2022-09-09T19:01:01.054Z,2022-09-10T05:58:44Z,3767476455,237,,3767476449,212,15.9,3767476443,56,Back,3767476441,124,,3767476445,140,7.6,3767476447,141,26.8,3767476451,213,5.0,,,,4wbwcfbeokv5j4nuudbxgaw2d,Juan Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599201,9,4,1,0,49,7h7eg7q7dbwvzww78h9d5eh0h,1,19.7,15.8,2022-09-09T19:01:05.276Z,2022-09-10T05:58:53Z,3767480701,294,,3767476465,285,,3767476459,56,Back,3767476675,233,12,3767476457,13,,3767476461,152,,,,,,,,8ikm0hxyz2qaonz3qmynu0xqt,B. Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
