id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2446724263,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-08-15T16:19:50.414Z,2022-08-15T17:37:14Z,3709709173,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709709181,194,b9kfek16otvdorssn0wzkb36d,3709709177,130,10,3709709179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709824853,197,244,3709709175,59,"13, 16, 17, 23, 20, 15, 14, 6, 7, 19, 11, 1, 4, 5, 8, 9, 10, 12, 21, 22, 31, 36",3709709183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709709171,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, 40h47dhimsmeiury61w1ourx1, cj3dik1dqyo2nf1jgmyn471sl, 59234as8h70fejyfm7492np3p, av5g4nr853anks78vl6jh4s7p, amxunh6enoc99r07cp7qt621h, b9kfek16otvdorssn0wzkb36d, 4z60ztggqxzfbp8w9ijoqefop, 46kq5653o302ebz4o5yzsss0l, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, 58qeglyxdi7y8ttg8sddv8set, 3ga7qj3h3dbmqucxmaxhmrjdh, 716n1970vi9rvw5b4w9qmjfth, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, 59wmst2hxu6y4zut9a48jxiw9, 20m7tijt8jnedjd4x87olmaqd, am5gj5qg3gjtyhvwfnj8sjz6d, d0di86falsvqnl1c4ev98my5m, e7ezci1jed1hnvdq8kf6lq3qi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446725141,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-08-15T16:27:13.513Z,2022-08-15T17:47:27Z,3709714303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709714285,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709714289,59,"13, 21, 3, 6, 23, 2, 11, 18, 10, 19, 20, 4, 7, 8, 9, 16, 27, 28, 29, 30, 31, 32, 33",3709806547,197,1579,3709714295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709714281,30,"vota9gwygxp3wc998tl7ldxx, 5lzbyj5i0cotpry4gneap8c89, 2zgcbp9g85uxudxadiw3twmvp, cue88fm1v1ysfuwhql68czydx, 32sds4yk7ch30mng0gyzhdk9h, 9see13i1f0n1ju4uhs8sijutx, eiqt71z69beq7akuhot0foset, 5gorfhj7uwpomrhlso1krxrkl, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, dkv5svrbfiq996qchro44dfpx, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 5l6e9nd0defapk1w2ucndowr9, aso41hpuq5oh825n83boc5x0q, 5mj2vxkh3pmkbwj139mp93n4l, e8t77ifx5ddju8ihbgu5iy8lw, 1pim2m8qrj4gqjovepl1dlmhg, 5qkgkfk0hys1vu2d2p4da0x78, 5zyvj7s681tgg9bec02za6nhm, b9uidnhsk87uav22iftb4osgk, 9cq4t2gmdlrd70gyouzipnizt",3709714293,130,10,3709714299,194,9see13i1f0n1ju4uhs8sijutx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742671,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-08-15T17:31:30.848Z,2022-08-15T17:31:31Z,3709814035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742677,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-08-15T17:31:30.848Z,2022-08-16T04:35:26Z,3709814063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742689,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50.2,49.6,2022-08-15T17:31:30.869Z,2022-08-16T04:55:38Z,3709814129,140,36.4,3709814127,56,Back,3709814131,141,37.6,3709814135,213,3.7,3709814137,279,S,3710494319,178,,3709814133,212,16.6,,,,46kq5653o302ebz4o5yzsss0l,Álvaro Morata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742693,4,1,1,0,2,4ku8o6uf87yd8iecdalipo6wd,1,36.4,37.6,2022-08-15T17:31:33.219Z,2022-08-16T04:55:51Z,3709814165,213,5.1,3709814157,56,Back,3709814159,140,44.2,3709814161,141,8.5,3709814163,212,21.4,3710494419,178,,,,,,,,b9kfek16otvdorssn0wzkb36d,Koke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742697,5,1,1,0,4,4ku8o6uf87yd8iecdalipo6wd,0,45.1,8.2,2022-08-15T17:31:35.787Z,2022-08-16T04:55:56Z,3709814197,1,,3709814195,213,0.2,3709814191,141,20.5,3709814193,212,34.1,3710494447,178,,3709814187,56,Right,3709814189,140,76.6,3709814185,155,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742707,3,1,1,0,6,1n1j0wsl763lq7ee1k0c11c02,0,22.9,76.3,2022-08-15T17:31:37.249Z,2022-08-16T04:56:07Z,3709814229,56,Back,3709814227,3,,3709814231,140,38.9,3710494517,178,,3709814233,141,77.5,3709814235,212,16.8,3709814237,213,0.0,,,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742723,6,1,1,0,8,4ku8o6uf87yd8iecdalipo6wd,0,65.6,18.4,2022-08-15T17:31:39.661Z,2022-08-16T04:56:12Z,3710494529,178,,3709814313,155,,3709814321,212,12.0,3709814323,213,0.4,3709814315,56,Center,3709814317,140,76.0,3709814319,141,25.6,,,,b9kfek16otvdorssn0wzkb36d,Koke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446742733,4,8,1,0,10,1n1j0wsl763lq7ee1k0c11c02,1,22.2,76.5,2022-08-15T17:31:41.136Z,2022-08-16T04:56:21Z,3710226619,385,,3710494587,178,,3709814401,15,,3709814379,56,Back,,,,,,,,,,,,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
