id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/9/value,qualifier/17/value,qualifier/18/value,assist,qualifier/19/value,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2482027833,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-11-05T18:55:17.291Z,2022-11-05T20:01:16Z,3897046491,30,"2e55g4q93y382cg7h0yk5rtud, bzgh5psb1janz9y3btpswngbu, 4o6f3mnd39fx700o3jvj0wct1, calrbl0kagr6zgnw2l8k626s5, 9mfk2ditwuoto5dfthng9j2t, 9i7lb16qty1t21bnc5h7skclx, 4ftlhtels58lyzfluwofzwxuy, ezviixcyaaj162saxs2yl27s9, afxjicw89683nlpms9yy5x51x, ckaqxlw257qzj8vjdumvwbaad, 2szgrzcosfeifh664tgt3mfvt, 3e8mxxfs5q7gt4lg2beqpkwyd, 308krssmz6irpfntht1ka78tm, 1av9mmv19jwvc4xdr0p9owyxh, 2wl6h1rlrfnn2mr65vuo3t815, 4ggz7e009bq3yltc9o6mifbah, 4mxx1oxkiexm0ha34utcmb17t, 3hht0os2uzu234yq550i3fbe2, eb3ci3a120om80v80mobsus8a, 5kodjbsarkql4vhs126p2vhwq, 31hruvmsmvb0f8cvr63le2kgk, 4ffmlhvbjvfjjnhr0byktvt62",3897046499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897046495,59,"1, 28, 18, 5, 3, 17, 8, 21, 9, 7, 11, 2, 10, 15, 22, 24, 26, 29, 30, 32, 35, 36",3897046493,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3897046501,194,9mfk2ditwuoto5dfthng9j2t,3897293443,197,16152,3897046503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897046497,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482028985,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-11-05T18:58:16.231Z,2022-11-05T20:03:51Z,3897053967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897053957,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3897287083,197,287,3897053965,194,5rabxq8qyxf2q2ak506xim9rd,3897053963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897053955,30,"c3secspt4xvu1q4g6aonn7zyt, 9bbu1yne0l9j862yodiuldw4p, azzdqp6lcd4g9d4jy55pz0549, a5x0poaqzssg2yuou57qgyead, 99zc12kmr9893h24mo95wcn9x, 497cy3s5ck9f5h563c4aixfdg, 5rabxq8qyxf2q2ak506xim9rd, 1km9nvqz03yoj9cxpv127id7u, blvf8qsi6iy6ejyer58okyxka, 3cu2brlp37h4u00mm5n4hb651, 6kpscy08tl4fkie4w4hl49n11, 36lk52zhgyn11s1pax3y7wout, 1htx8ub2kxvq0vnzarbrynyt, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, 63yktdky9m0aus8ebkaqzdhhx, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 6mz6fzrfndfv7zpm38a6msmw9, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, 1trnf7miqmcgr67c4808t4yj9, e3me5pr7zub5dbfqil1con59m",3897053959,59,"13, 24, 15, 21, 19, 2, 5, 23, 7, 12, 3, 4, 6, 8, 9, 10, 11, 14, 17, 18, 20, 22, 25",3897053961,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074459,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-11-05T20:02:39.038Z,2022-11-06T09:35:14Z,3897297713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074451,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-11-05T20:02:39.038Z,2022-11-05T20:02:41Z,3897297681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074473,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50.1,50,2022-11-05T20:02:39.089Z,2022-11-06T10:02:28Z,3897297779,140,39.6,3897297781,141,32.2,3898453787,178,,3897297783,212,16.4,3897297785,213,4.0,3897297777,56,Back,3897297787,279,S,,,,blvf8qsi6iy6ejyer58okyxka,L. Ramazani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074501,4,1,1,0,1,cobffe32r7g4skka9m19qib63,1,39.6,32.2,2022-11-05T20:02:40.205Z,2022-11-06T10:02:34Z,3897297917,140,32.6,3897297921,212,17.3,3897297925,213,2.0,3897297915,56,Back,3898453953,178,,3897297919,141,55.2,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074555,5,1,1,0,3,cobffe32r7g4skka9m19qib63,1,31.3,58.2,2022-11-05T20:02:42.530Z,2022-11-06T10:02:36Z,3897298183,213,2.1,3897298177,140,25.9,3897298181,212,11.4,3897298175,56,Back,3898454011,178,,3897298179,141,72.7,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074573,6,1,1,0,5,cobffe32r7g4skka9m19qib63,0,26.6,71.3,2022-11-05T20:02:44.858Z,2022-11-06T10:02:40Z,3898454097,178,,3897298241,56,Back,3897298249,213,0.8,3897298239,155,,3897298245,141,100.0,3897298247,212,29.8,3897298243,140,47.3,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074605,3,5,1,0,8,agh9ifb2mw3ivjusgedj7c3fe,1,52.8,-1.1,2022-11-05T20:02:47.671Z,2022-11-06T10:02:43Z,3897298509,233,7,3897298465,56,Right,3897298467,347,,,,,,,,,,,,,,,,,2e55g4q93y382cg7h0yk5rtud,M. ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482074593,7,5,1,0,8,cobffe32r7g4skka9m19qib63,0,47.2,101.1,2022-11-05T20:02:47.671Z,2022-11-06T10:02:43Z,3897298537,233,3,3897298393,347,,3897298391,56,Back,,,,,,,,,,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
