id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2516560373,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-03-06T18:40:39.459Z,2023-03-06T20:00:51Z,4078930029,59,"25, 7, 20, 6, 23, 5, 22, 16, 17, 9, 12, 1, 2, 3, 4, 8, 11, 18, 19, 26, 31, 35",4078930031,130,4,4078930027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078930037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078930033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078930025,30,"15no5m0njma23gf0ygu9agt05, f4gpe0pxov8sea9e0fs24h8q2, d34tmogp5h4rwuo3pcxtwp0fe, d3pdr28q2n295ldry2lc1uklx, 94jrxsnf1ta2u65ommyge7bo5, 6dx2fxufm98xtdobuwppis34l, bpf2fcb73l96fwspo72shmkiy, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, cuxm7t8cql3v06hqf18wvcul1, 96cbv23es0gucmd2v0qvk3iwa, amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, 7ms6l8qho3p4jm1soleldqvv9, 3o41frgi9jxrms6rvc6ml1plh, 2zcha0sd7axiu2s2c0bccz2s5, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, 9fdp10ya29ml4t3f2h132cr56, 5b9awsil5bgqrsc13xsoj35nu, ao3iplhzj0tiu5uhte7vq7m96",4078930035,194,6dx2fxufm98xtdobuwppis34l,4079115855,197,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516561003,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-03-06T18:42:54.776Z,2023-03-06T20:14:02Z,4078933667,30,"59ndqnsvggsoek170rdqyd1w5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, cs2yx3hiqjsb4i5ul2r5kmdat, 2ge9oa66xgsefhhpvuboua76x, 1lym8zscp7l8icay2cya7cauh, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, at2bp41y9n3nd1phr2e3wrcnp, 5c46t1feyeb4vdqz1cifb4yd, 3sy16pz110zmyq073ao24l1ck, bmcz7nkdpxopn3g89dekqa8a2, c60m17adgxbewkrzizwtzd91w, 2gmmkbytqk7v5osz31i4oj0q2",4079113799,197,279,4078933669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078933673,130,2,4078933677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078933681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078933679,194,7k2alak95p1u2ysftwwiaqsid,4078933671,59,"13, 2, 17, 24, 15, 4, 7, 8, 10, 18, 23, 5, 9, 11, 19, 20, 21, 22, 25, 26, 31, 37, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516593875,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-03-06T20:00:24.918Z,2023-03-06T20:00:26Z,4079114695,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516593861,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-03-06T20:00:24.918Z,2023-03-07T09:42:13Z,4079114641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516593907,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,50.1,49.9,2023-03-06T20:00:24.951Z,2023-03-07T09:47:40Z,4079114823,56,Back,4079114825,140,48.7,4079114833,279,S,4079987985,178,,4079114831,213,2.3,4079114829,212,2.1,4079114827,141,52.2,,,,946z96r5q70ryslp3hlhafnx1,A. Budimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516593917,4,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,47.4,55.5,2023-03-06T20:00:25.887Z,2023-03-07T09:47:47Z,4079114889,56,Back,4079114891,140,27.6,4079114897,213,3.6,4079114893,141,38.6,4079114895,212,23.8,4079988063,178,,,,,,,,bpf2fcb73l96fwspo72shmkiy,Aimar Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516593985,5,1,1,0,4,2l0ldgiwsgb8d6y3z0sfgjzyj,0,27.6,38.6,2023-03-06T20:00:29.309Z,2023-03-07T09:47:53Z,4079988183,178,,4079115235,140,95.7,4079115241,213,0.4,4079115233,56,Left,4079115237,141,84.7,4079115243,1,,4079115231,155,,4079115239,212,78.1,94jrxsnf1ta2u65ommyge7bo5,Aridane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516594009,3,4,1,0,10,6f27yvbqcngegwsg2ozxxdj4,1,4.4,14.6,2023-03-06T20:00:34.936Z,2023-03-07T09:47:59Z,4079115355,152,,4079115353,56,Back,4079115349,13,,4079115399,233,6,4079115351,294,,4079115357,285,,,,,,,,7k2alak95p1u2ysftwwiaqsid,Hugo Mallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516594013,6,4,1,0,10,2l0ldgiwsgb8d6y3z0sfgjzyj,0,95.6,85.4,2023-03-06T20:00:34.937Z,2023-03-07T09:47:59Z,4079115367,56,Left,4079115419,233,3,4079115369,152,,4079988357,178,,4079115363,13,,4079115365,294,,4079115371,286,,,,,96cbv23es0gucmd2v0qvk3iwa,A. Ezzalzouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516594491,4,1,1,0,58,6f27yvbqcngegwsg2ozxxdj4,1,10.8,18.6,2023-03-06T20:01:23.712Z,2023-03-07T09:48:04Z,4079117691,212,64.0,4079117681,155,,4079117695,1,,4079117683,152,,4079117685,56,Center,4079988451,178,,4079117693,213,0.4,4079117687,140,67.2,59ndqnsvggsoek170rdqyd1w5,Iván Villar,4079117689,141,54.4,4079117679,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
