id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2513038183,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-02-26T18:58:23.730Z,2023-02-26T20:03:23Z,4060292039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4060292043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060292041,194,2mg2n8e1d83gbeykfwzz0fumt,4060292033,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4060292031,30,"c9cp6fxbxyc2a3kfotkompxx, 2mg2n8e1d83gbeykfwzz0fumt, cjd62gwj9ptwrrtu6y6xnpeui, 6vvwhgic29fekmmj2cg62ytp1, 65osnocfqxv6mmpb69hm446ad, 2lwjtphx3bkjty9sds520l1ey, depu0zp8jqcyv0jzf5r9yums5, ekm47qd8w1x0456lm1tmf5re1, 4bbqmasyopxoymo4umcxd4e09, 7exng93jyar5is4fa64r9bhzp, 8n4f10q0l2wjhhfdkpp8kfzdh, bahph7009sc73jl6s2bramn6d, 1y74tse0vpdxanxf152cc8jjd, asweknp9d99safr6p9va75h3p, 8ty68f4i1lwjdktycd2oy5a6t, 5c4ku1hmhy6l9dq8a5jp1qf9x, 4sojot9t32l4a6fm3e39xkcfd, djal5dsafpnhip4lu0ait94np, 944mc5icxdleh4kvaamvpa9zo",4060292035,59,"13, 16, 25, 6, 20, 14, 10, 18, 15, 17, 21, 1, 2, 3, 5, 7, 12, 19, 31",4060292037,130,17,4060469753,197,17719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513038745,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-02-26T19:00:03.653Z,2023-02-26T20:04:21Z,4060295153,194,6dx2fxufm98xtdobuwppis34l,4060295151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060295149,130,4,4060295155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060295145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4060450959,197,278,4060295147,59,"25, 35, 3, 19, 23, 5, 22, 8, 18, 7, 11, 1, 2, 4, 6, 9, 12, 16, 17, 20",4060295143,30,"15no5m0njma23gf0ygu9agt05, ao3iplhzj0tiu5uhte7vq7m96, 8ij122duxc65thlj8flk2xdjp, eqw6fu3no9qxejk17tqgeey5m, 94jrxsnf1ta2u65ommyge7bo5, 6dx2fxufm98xtdobuwppis34l, bpf2fcb73l96fwspo72shmkiy, 3o41frgi9jxrms6rvc6ml1plh, 4l2rgx65vzgrrxorbc1edq8yd, f4gpe0pxov8sea9e0fs24h8q2, 2zcha0sd7axiu2s2c0bccz2s5, amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 7ms6l8qho3p4jm1soleldqvv9, d3pdr28q2n295ldry2lc1uklx, cuxm7t8cql3v06hqf18wvcul1, 96cbv23es0gucmd2v0qvk3iwa, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, d34tmogp5h4rwuo3pcxtwp0fe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070545,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-02-26T20:01:57.767Z,2023-02-27T07:57:40Z,4060466357,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070541,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-02-26T20:01:57.767Z,2023-02-26T20:01:57Z,4060466317,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070569,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,49.9,50,2023-02-26T20:01:57.817Z,2023-02-27T08:17:50Z,4061405933,178,,4060466507,279,S,4060466505,213,2.7,4060466497,140,31.0,4060466495,56,Back,4060466503,212,21.5,4060466501,141,62.3,,,,3o41frgi9jxrms6rvc6ml1plh,D. Brašanac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070611,4,1,1,0,3,2l0ldgiwsgb8d6y3z0sfgjzyj,1,32.5,58.8,2023-02-26T20:02:01.764Z,2023-02-27T08:17:55Z,4060466715,1,,4060466703,155,,4060466707,140,67.1,4060466705,56,Right,4060466713,213,5.7,4060466711,212,45.1,4060466709,141,19.6,4061405951,178,,6dx2fxufm98xtdobuwppis34l,David García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070615,5,44,1,0,6,2l0ldgiwsgb8d6y3z0sfgjzyj,1,65.5,16.6,2023-02-26T20:02:04.157Z,2023-02-27T09:50:23Z,4060466749,233,3,4060466723,56,Right,4060466725,286,,,,,,,,,,,,,,,,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070605,3,44,1,0,6,10eyb18v5puw4ez03ocaug09m,0,34.5,83.4,2023-02-26T20:02:04.158Z,2023-02-27T08:17:59Z,4060466687,56,Back,4060466811,233,5,4060466689,285,,,,,,,,,,,,,,,,,cjd62gwj9ptwrrtu6y6xnpeui,Bryan Gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070633,6,1,1,0,6,2l0ldgiwsgb8d6y3z0sfgjzyj,0,67.1,19.6,2023-02-26T20:02:04.196Z,2023-02-27T09:50:23Z,4060466821,3,,4060466823,168,,4060466825,56,Right,4060466827,140,80.2,4061405993,388,,4060466833,213,6.0,4060466831,212,14.3,4060466829,141,14.0,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513070639,4,1,1,0,7,10eyb18v5puw4ez03ocaug09m,0,22.3,84.2,2023-02-26T20:02:05.246Z,2023-02-27T08:18:07Z,4061406019,178,,4060466857,140,40.9,4060466855,56,Back,4060466865,213,6.0,4060466861,212,20.6,4060466853,157,,4060466859,141,74.5,4060466869,1,,6vvwhgic29fekmmj2cg62ytp1,N. Gudelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
