id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2506224937,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-11T14:07:01.383Z,2023-02-11T15:17:58Z,4024368417,59,"13, 17, 15, 23, 19, 22, 10, 4, 16, 3, 8, 1, 2, 6, 7, 9, 11, 14, 18, 20, 21, 24, 26",4024368421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024368433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024368425,194,1trnf7miqmcgr67c4808t4yj9,4024368419,130,8,4024368429,197,287,4024368415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024368413,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1km9nvqz03yoj9cxpv127id7u, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 63yktdky9m0aus8ebkaqzdhhx, 36lk52zhgyn11s1pax3y7wout, d1d3v27d4r6vme6n2w5umaacp, 6kpscy08tl4fkie4w4hl49n11, 8zlr9xkh9dkt1pbw3w91uazmd, cvcyevmxcd2ly0yoxi0djquol, 497cy3s5ck9f5h563c4aixfdg, 1htx8ub2kxvq0vnzarbrynyt, blvf8qsi6iy6ejyer58okyxka, e6ok0deqkoe80184iu509gzu2, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, a5x0poaqzssg2yuou57qgyead, 9bbu1yne0l9j862yodiuldw4p, 8zvsos5fsrrf9aizqmyhtt9m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506227107,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2023-02-11T14:09:12.709Z,2023-02-11T14:48:58Z,4024379907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024379899,30,"s96k2x2cts0vo6y6aaeui5zp, euy1s0xo19019kegzcpp1gez9, yhfujfdzpt7tymqdmt7i0mzu, 4pizap25enja9rtz4g6x5bkd1, 7rfcycybym05sbe0j1g6yhfx1, 4hhuyat3grozmgba4f55zyajt, 75079gtd2efpviyo605ozsd79, 73efpm314q2paeacsvp4e8q8l, d12m2oz1lomkc1qxmpht38lat, 9jxofpmrfh2lil77f9xj22kiy, c4je25rkbg2n45xs5iurevhlh, 1vn3xi2x6vtjor1bt1ob1vk5x, e5rlll2fvd9wsk40o6pztsc0l, 1myo59ub6qouwvxpb699shhw5, 7hyo7fy8hospvlvtlfv7q73ai, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, drwacyyicuhy3heg4j0ipqj85, 9226xt1t1m3fy4ob9l2r16609, 6w3xe5mva9ob36uf482xem85x, emvmn561wgd62zj0s3qi5j5rd",4024379903,59,"13, 23, 20, 18, 16, 3, 10, 5, 9, 28, 7, 1, 2, 6, 11, 12, 17, 21, 24, 25, 33",4024379905,130,8,4024379901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024379911,197,8534,4024379909,194,4pizap25enja9rtz4g6x5bkd1,4024379913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506310841,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-11T15:16:38.649Z,2023-02-11T21:19:02Z,4024798957,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506310869,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2023-02-11T15:16:38.649Z,2023-02-11T15:16:42Z,4024799097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311041,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50.1,50.3,2023-02-11T15:16:38.739Z,2023-02-11T23:25:24Z,4024800007,212,6.3,4024800011,279,S,4026995187,178,,4024800009,213,3.2,4024800003,140,44.1,4024800005,141,49.9,4024800001,56,Back,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311051,4,1,1,0,2,cobffe32r7g4skka9m19qib63,1,43.2,51.3,2023-02-11T15:16:40.900Z,2023-02-11T23:27:19Z,4024800053,213,2.8,4024800047,141,58.4,4024800051,212,15.6,4024800045,140,29.1,4026995301,178,,4024800041,56,Back,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311121,5,1,1,0,3,cobffe32r7g4skka9m19qib63,1,27.4,55.5,2023-02-11T15:16:42.141Z,2023-02-11T23:25:36Z,4026995509,178,,4024800417,212,14.2,4024800411,56,Back,4024800415,141,34.6,4024800413,140,27.3,4024800419,213,4.7,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311211,6,1,1,0,6,cobffe32r7g4skka9m19qib63,0,28.1,33,2023-02-11T15:16:44.769Z,2023-02-11T23:25:39Z,4024800869,141,28.8,4024800865,56,Center,4024800877,1,,4024800861,155,,4026995635,178,,4024800873,213,6.2,4024800867,140,68.3,4024800871,212,42.3,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311275,3,8,1,0,8,ah8dala7suqqkj04n2l8xz4zd,1,33.8,85.3,2023-02-11T15:16:46.682Z,2023-02-11T23:25:46Z,4026995913,388,,4025920941,384,,4024801195,56,Back,4024801259,15,,,,,,,,,,,,,,yhfujfdzpt7tymqdmt7i0mzu,Abner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311455,4,1,1,0,9,ah8dala7suqqkj04n2l8xz4zd,1,34.8,69.9,2023-02-11T15:16:48.309Z,2023-02-11T23:25:54Z,4024802131,140,8.7,4024802135,212,32.3,4026996171,178,,4024802133,141,44.8,4024802139,1,,4024802129,56,Back,4024802137,213,3.7,,,,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
