id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2459291305,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-12T17:51:13.369Z,2022-09-12T19:04:40Z,3776450731,59,"13, 17, 15, 4, 19, 22, 5, 23, 11, 7, 10, 26, 1, 2, 8, 9, 14, 16, 18, 21, 24, 28, 33",3776450727,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 36lk52zhgyn11s1pax3y7wout, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 5rabxq8qyxf2q2ak506xim9rd, 1km9nvqz03yoj9cxpv127id7u, 8b6idfe7dx59wkbc8zf539zv9, blvf8qsi6iy6ejyer58okyxka, 63yktdky9m0aus8ebkaqzdhhx, 8zvsos5fsrrf9aizqmyhtt9m, bglk6tokkpgjltpzljp1p345x, 497cy3s5ck9f5h563c4aixfdg, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, ec4coej1l0a7he2896hjbz04q, aj68ohnw0hxqnfxzjhpcwsavo, 3flv9yp9x61ph57xugztva9nu, a5x0poaqzssg2yuou57qgyead, 9bbu1yne0l9j862yodiuldw4p, 7grh7aamrlrf1oagk8sn85zbo, b9hzmsqkt2p1tu9ql6cip5ppm",3776450739,197,287,3776450741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776450735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776450729,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776450737,194,1trnf7miqmcgr67c4808t4yj9,3776450733,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459291743,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-12T17:55:23.891Z,2022-09-12T19:02:38Z,3776453357,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776453353,59,"1, 2, 3, 8, 4, 5, 9, 6, 17, 14, 16, 7, 10, 11, 12, 13, 18, 19, 20, 23, 25",3776453363,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3776453361,197,16434,3776453351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3776453349,30,"amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, 3o41frgi9jxrms6rvc6ml1plh, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, cuxm7t8cql3v06hqf18wvcul1, d3pdr28q2n295ldry2lc1uklx, 946z96r5q70ryslp3hlhafnx1, 9xbo6c8uq29ueuyinngjjiaj9, 5t2ngljfiapcn98qlnbifg53p, f4gpe0pxov8sea9e0fs24h8q2, e5d9nvrs4l1kvcosvnrb2mor9, 2zcha0sd7axiu2s2c0bccz2s5, 96cbv23es0gucmd2v0qvk3iwa, 8ktlzedieskw7pjsgatlac4q1, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, 94jrxsnf1ta2u65ommyge7bo5, 15no5m0njma23gf0ygu9agt05",3776453359,194,6dx2fxufm98xtdobuwppis34l,3776453355,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321325,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-12T19:02:09.751Z,2022-09-12T19:02:11Z,3776618869,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321309,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-12T19:02:09.751Z,2022-09-12T21:43:56Z,3776618793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321335,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,49.9,50,2022-09-12T19:02:09.851Z,2022-09-12T19:02:12Z,3776618901,141,65.4,3776618897,56,Back,3776618905,213,2.5,3776618907,279,S,3776618899,140,35.5,3776618903,212,18.4,,,,,,,8b6idfe7dx59wkbc8zf539zv9,Dyego Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321343,4,1,1,0,2,cobffe32r7g4skka9m19qib63,1,35.5,65.1,2022-09-12T19:02:12.445Z,2022-09-12T19:02:15Z,3776618971,212,20.3,3776618965,56,Back,3776618967,140,29.4,3776618969,141,36.7,3776618973,213,4.4,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321349,5,1,1,0,5,cobffe32r7g4skka9m19qib63,1,29.3,37.3,2022-09-12T19:02:15.118Z,2022-09-12T19:02:17Z,3776619011,212,21.9,3776619005,56,Back,3776619007,140,30.5,3776619013,213,1.5,3776619009,141,69.5,,,,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321363,6,1,1,0,7,cobffe32r7g4skka9m19qib63,1,30.7,68.3,2022-09-12T19:02:17.005Z,2022-09-12T19:02:19Z,3776619079,212,14.5,3776619075,140,29.6,3776619081,213,4.6,3776619077,141,47.0,3776619073,56,Back,,,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321371,7,1,1,0,9,cobffe32r7g4skka9m19qib63,1,29.6,47,2022-09-12T19:02:18.941Z,2022-09-12T19:02:22Z,3776619119,56,Back,3776619127,213,1.4,3776619123,141,74.0,3776619121,140,32.5,3776619125,212,18.6,,,,,,,,,,36lk52zhgyn11s1pax3y7wout,Íñigo Eguaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459321383,8,1,1,0,12,cobffe32r7g4skka9m19qib63,1,33.1,71.7,2022-09-12T19:02:21.981Z,2022-09-12T19:02:25Z,3776619193,56,Back,3776619201,213,3.9,3776619195,140,14.9,3776619199,212,25.4,3776619197,141,47.0,,,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
