id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2481879401,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-11-05T16:16:16.280Z,2022-11-05T17:32:21Z,3896254419,30,"c1b9p5bk8hfyw0bi6thva0lw5, c3sl9ajm4q424r4u37iath3hl, 40gxfsz7bgrkdudqewlpxzyzt, ea5xlslcii56ycrlmyo6uiimt, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, 2ge9oa66xgsefhhpvuboua76x, cs2yx3hiqjsb4i5ul2r5kmdat, 5ez2huoeh2g3ijpgr7m15lg5, 2aumz6rtq4ufba7z7zn5v8frp, 59ndqnsvggsoek170rdqyd1w5, 9g4devlvymukexrvfgkipd6tx, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 3sy16pz110zmyq073ao24l1ck, 9ano8w4jrlk6zq92rxchzaru2, daid84a2zbh8rasleahdp8nis, bmcz7nkdpxopn3g89dekqa8a2, 4bgaa4ylewedh4roya90y39qs, 9ksvo095xi2t4q4pvgxa836z8",3896254421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896254429,194,cs2yx3hiqjsb4i5ul2r5kmdat,3896254425,130,2,3896254427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896705997,197,279,3896254431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896254423,59,"1, 3, 17, 5, 15, 4, 7, 8, 18, 10, 11, 9, 13, 14, 19, 20, 26, 29, 30, 31, 33, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481887971,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-11-05T16:20:52.515Z,2022-11-05T17:27:24Z,3896298217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896298215,30,"15no5m0njma23gf0ygu9agt05, 1vupjbihmf0b4gzjskmrmptqt, d34tmogp5h4rwuo3pcxtwp0fe, d3pdr28q2n295ldry2lc1uklx, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, bpf2fcb73l96fwspo72shmkiy, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, cuxm7t8cql3v06hqf18wvcul1, 2zcha0sd7axiu2s2c0bccz2s5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, f4gpe0pxov8sea9e0fs24h8q2, 3o41frgi9jxrms6rvc6ml1plh, e5d9nvrs4l1kvcosvnrb2mor9, 8ktlzedieskw7pjsgatlac4q1, 9xbo6c8uq29ueuyinngjjiaj9, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, 94jrxsnf1ta2u65ommyge7bo5, 7rxf8mrpo9i55feom5jtsjrah",3896298223,130,4,3896298227,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896298233,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896298229,194,7ms6l8qho3p4jm1soleldqvv9,3896298221,59,"25, 15, 20, 6, 4, 5, 22, 16, 17, 9, 11, 2, 3, 7, 8, 10, 13, 14, 18, 19, 23, 39",3896710183,197,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481965957,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-11-05T17:29:49.136Z,2022-11-05T17:29:49Z,3896718447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481965959,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-11-05T17:29:49.136Z,2022-11-06T00:31:31Z,3896718449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966019,3,1,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,49.9,50,2022-11-05T17:29:49.187Z,2022-11-06T11:01:25Z,3896718683,140,22.8,3896718687,212,32.7,3896718681,56,Back,3896718689,213,3.7,3896718685,141,26.4,3897977291,178,,3896718691,1,,3896718693,279,S,bpf2fcb73l96fwspo72shmkiy,Aimar Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966037,4,1,1,0,2,2l0ldgiwsgb8d6y3z0sfgjzyj,1,22.8,26.2,2022-11-05T17:29:52.082Z,2022-11-06T03:00:17Z,3896718813,212,15.5,3897977809,178,,3896718811,141,4.4,3896718815,213,5.0,3896718809,140,27.0,3896718807,56,Back,,,,,,,7ms6l8qho3p4jm1soleldqvv9,Unai García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966067,5,1,1,0,5,2l0ldgiwsgb8d6y3z0sfgjzyj,0,27.3,5.2,2022-11-05T17:29:54.302Z,2022-11-06T03:00:26Z,3897977923,178,,3896718935,155,,3896718939,140,72.2,3896718937,56,Center,3896718947,1,,3896718943,212,56.7,3896718941,141,51.6,3896718945,213,0.6,1vupjbihmf0b4gzjskmrmptqt,Rubén Peña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966077,3,49,1,0,9,6f27yvbqcngegwsg2ozxxdj4,1,25.7,43,2022-11-05T17:29:58.532Z,2022-11-06T03:00:51Z,,,,,,,,,,,,,,,,,,,,,,,,,c3sl9ajm4q424r4u37iath3hl,Óscar Mingueza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966157,4,1,1,0,11,6f27yvbqcngegwsg2ozxxdj4,1,24.9,41.3,2022-11-05T17:30:00.202Z,2022-11-06T03:00:55Z,3897978293,178,,3896719317,212,20.2,3896719313,140,5.7,3896719319,213,3.1,3896719315,141,43.6,3896719311,56,Back,,,,,,,c3sl9ajm4q424r4u37iath3hl,Óscar Mingueza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966175,5,1,1,0,14,6f27yvbqcngegwsg2ozxxdj4,0,7.8,39.4,2022-11-05T17:30:03.862Z,2022-11-06T03:01:02Z,3896719403,157,,3896719407,140,40.1,3896719405,56,Back,3896719409,141,30.1,3896719415,1,,3896719411,212,34.5,3896719413,213,6.1,3897978365,178,,c1b9p5bk8hfyw0bi6thva0lw5,A. Marchesín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
