id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/17/value,qualifier/18/value
2455677613,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-04T10:47:57.790Z,2022-09-04T12:08:27Z,3757239955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757248261,197,278,3757239959,130,2,3757239963,194,7ms6l8qho3p4jm1soleldqvv9,3757239965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757239957,59,"1, 2, 3, 7, 4, 5, 9, 6, 17, 22, 16, 8, 10, 11, 12, 13, 14, 18, 19, 20, 23, 25",3757239961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757239953,30,"amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, f4gpe0pxov8sea9e0fs24h8q2, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, cuxm7t8cql3v06hqf18wvcul1, d3pdr28q2n295ldry2lc1uklx, 946z96r5q70ryslp3hlhafnx1, bpf2fcb73l96fwspo72shmkiy, 5t2ngljfiapcn98qlnbifg53p, 3o41frgi9jxrms6rvc6ml1plh, e5d9nvrs4l1kvcosvnrb2mor9, 2zcha0sd7axiu2s2c0bccz2s5, 96cbv23es0gucmd2v0qvk3iwa, 8ktlzedieskw7pjsgatlac4q1, 9xbo6c8uq29ueuyinngjjiaj9, 4l2rgx65vzgrrxorbc1edq8yd, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, 94jrxsnf1ta2u65ommyge7bo5, 15no5m0njma23gf0ygu9agt05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455679117,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-04T10:50:53.597Z,2022-09-04T11:59:49Z,3757247621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757247619,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 8onruhr4es313aq52xsl7nxlh, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, d7mgn0oexyymir3upflm8gfyt, 1ho7koiegfhsuevuum2meibu2, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, amt4voyjzhnvr55t08hzlw50q, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, b5rea5r4h8bclpenau2au142x, 3ca7tqrdasmeop6ud9zot0wdl, 8oc3lpz3xttrnwxk1fnnv7owl, 1p5trokpmvi15fii87mrawkb9, u04ao1ldrjjesgqq52o7ghqt, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, e50ehbl0rdfs4ms26jtz1pic4, 176vudax6t7930w3zcaw0vj3e",3757247625,130,8,3757247633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757247629,194,676ehh6cwla4o9igey7qr1uqd,3757247627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757247623,59,"1, 20, 3, 23, 19, 5, 14, 21, 34, 8, 18, 15, 2, 4, 6, 7, 9, 10, 17, 22, 24, 28, 30",3757247631,197,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719059,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-09-04T12:00:14.468Z,2022-09-04T22:20:31Z,3757447389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719047,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-09-04T12:00:14.468Z,2022-09-04T12:00:14Z,3757447357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719073,3,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,50,50,2022-09-04T12:00:14.750Z,2022-09-04T23:11:00Z,3757447431,213,4.3,3757447423,56,Back,3757447427,141,45.7,3757447429,212,3.1,3757447433,279,S,3759695435,178,,3757447425,140,48.9,,,,1bdnkqbxm2u5ror7ipig5m73e,Sergio Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719085,4,1,1,0,1,3budh3j9xivsid3ptm8ptpy4k,1,48.9,45.7,2022-09-04T12:00:16.050Z,2022-09-04T23:11:10Z,3757447505,213,3.8,3759695931,178,,3757447499,140,36.2,3757447501,141,31.9,3757447497,56,Back,3757447503,212,16.3,,,,,,,676ehh6cwla4o9igey7qr1uqd,Ó. Trejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719109,5,1,1,0,3,3budh3j9xivsid3ptm8ptpy4k,1,39.6,32.2,2022-09-04T12:00:17.720Z,2022-09-04T23:11:20Z,3757447621,141,15.9,3757447619,140,40.2,3757447625,213,4.8,3757447623,212,11.1,3757447617,56,Back,3759696113,178,,,,,,,,1ho7koiegfhsuevuum2meibu2,P. Ciss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719123,6,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,1,42.1,14.1,2022-09-04T12:00:18.680Z,2022-09-04T23:11:33Z,3757447701,212,32.7,3759702299,178,,3757447699,141,54.3,3757447695,56,Back,3757447707,1,,3757447703,213,2.2,3757447697,140,25.0,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719133,7,1,1,0,8,3budh3j9xivsid3ptm8ptpy4k,0,26.9,50.9,2022-09-04T12:00:22.750Z,2022-09-04T23:11:46Z,3757447741,140,70.9,3757447737,157,,3757447745,212,58.4,3757447749,1,,3759702687,178,,3757447747,213,5.6,3757447739,56,Right,3757447743,141,0.0,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719221,3,5,1,0,11,2l0ldgiwsgb8d6y3z0sfgjzyj,1,30.1,101.5,2022-09-04T12:00:25.654Z,2022-09-04T23:12:00Z,3757448235,56,Back,3757448237,347,,3757448243,233,8,,,,,,,,,,,,,,,,akjusy9dt1qd2fjhttviek6ol,Nacho Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719137,8,5,1,0,11,3budh3j9xivsid3ptm8ptpy4k,0,69.9,-1.5,2022-09-04T12:00:25.654Z,2022-09-04T23:12:00Z,3757448257,233,3,3757447767,347,,3757447765,56,Right,,,,,,,,,,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719243,4,1,1,0,22,2l0ldgiwsgb8d6y3z0sfgjzyj,1,31.6,100,2022-09-04T12:00:36.611Z,2022-09-04T23:12:15Z,3757448369,1,,3757448361,140,62.2,3757448365,212,32.6,3757448357,107,,3757448363,141,93.0,3757448359,56,Left,3757448367,213,6.1,,,,8ij122duxc65thlj8flk2xdjp,Juan Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719251,5,1,1,0,23,2l0ldgiwsgb8d6y3z0sfgjzyj,1,61.8,92.6,2022-09-04T12:00:38.170Z,2022-09-04T23:12:29Z,3757448419,3,,3757448421,168,,3757448425,140,69.0,3757448429,212,14.9,3759703815,178,,3757448427,141,73.8,3757448423,56,Center,3757448431,213,5.2,bpf2fcb73l96fwspo72shmkiy,Aimar Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719257,6,61,1,0,25,2l0ldgiwsgb8d6y3z0sfgjzyj,0,69,73.8,2022-09-04T12:00:39.542Z,2022-09-04T23:13:03Z,3759704715,15,,3759704717,178,,3757448443,56,Center,,,,,,,,,,,,,,,,946z96r5q70ryslp3hlhafnx1,A. Budimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719293,9,12,1,0,26,3budh3j9xivsid3ptm8ptpy4k,1,25.1,28.9,2022-09-04T12:00:41.182Z,2022-09-04T23:14:39Z,3757448613,56,Back,3759706767,178,,3757448635,15,,3757448617,141,30.6,3757448621,213,1.8,3757448619,212,1.2,3757448615,140,24.8,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719313,7,1,1,0,29,2l0ldgiwsgb8d6y3z0sfgjzyj,1,72.8,65.4,2022-09-04T12:00:43.821Z,2022-09-04T23:15:05Z,3757448713,212,10.0,3757448707,56,Center,3757448709,140,68.7,3759707199,178,,3757448715,213,4.3,3757448711,141,52.1,,,,,,,946z96r5q70ryslp3hlhafnx1,A. Budimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719345,8,1,1,0,30,2l0ldgiwsgb8d6y3z0sfgjzyj,1,68.7,52.1,2022-09-04T12:00:44.841Z,2022-09-04T23:15:16Z,3757448869,213,4.9,3757448861,56,Center,3757448865,141,31.6,3757448863,140,71.2,3759707433,178,,3757448867,212,14.2,,,,,,,f4gpe0pxov8sea9e0fs24h8q2,Moncayola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719347,9,3,1,0,33,2l0ldgiwsgb8d6y3z0sfgjzyj,0,73.8,37.4,2022-09-04T12:00:47.928Z,2022-09-04T23:15:45Z,3758650047,464,,3757448873,56,Center,3757449025,233,10,3759708163,178,,3757448875,286,,,,,,,,,,,cuxm7t8cql3v06hqf18wvcul1,E. Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719379,10,7,1,0,33,3budh3j9xivsid3ptm8ptpy4k,1,26.2,62.6,2022-09-04T12:00:48.401Z,2022-09-04T23:16:00Z,3757449007,233,9,3757448997,56,Back,3757449001,285,,3759708503,178,,3758650253,383,,,,,,,,,,,8onruhr4es313aq52xsl7nxlh,Óscar Valentín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719383,11,49,1,0,34,3budh3j9xivsid3ptm8ptpy4k,1,28.1,63.4,2022-09-04T12:00:49.297Z,2022-09-05T06:43:10Z,,,,,,,,,,,,,,,,,,,,,,,,,676ehh6cwla4o9igey7qr1uqd,Ó. Trejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455719369,10,45,1,0,34,2l0ldgiwsgb8d6y3z0sfgjzyj,0,69.6,37.3,2022-09-04T12:00:49.322Z,2022-09-04T23:16:19Z,3757448965,286,,3757448963,56,Center,3757449067,233,12,,,,,,,,,,,,,,,,cuxm7t8cql3v06hqf18wvcul1,E. Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
