id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2466442083,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-10-02T13:05:39.143Z,2022-10-02T15:23:27Z,3814413991,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814413993,59,"1, 2, 17, 8, 15, 4, 21, 28, 7, 18, 5, 35, 3, 9, 10, 13, 14, 19, 20, 23, 26",3814413999,194,7k2alak95p1u2ysftwwiaqsid,3814414003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814413989,30,"c1b9p5bk8hfyw0bi6thva0lw5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, e3czx0nsuw10acnftbr8ud0bt, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, adwkydlkclg8u72rxh51lvkyd, 37b6tzaexinmfadvi4you5wmi, 64h0x8sur55l07oaiuog4v2z9, 2ge9oa66xgsefhhpvuboua76x, ea5xlslcii56ycrlmyo6uiimt, 9ksvo095xi2t4q4pvgxa836z8, c3sl9ajm4q424r4u37iath3hl, 2aumz6rtq4ufba7z7zn5v8frp, cs2yx3hiqjsb4i5ul2r5kmdat, 59ndqnsvggsoek170rdqyd1w5, 9g4devlvymukexrvfgkipd6tx, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 1lym8zscp7l8icay2cya7cauh, 3sy16pz110zmyq073ao24l1ck",3814414001,197,279,3814413997,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814413995,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466446937,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-02T13:09:41.486Z,2022-10-02T14:12:32Z,3814440077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814440069,130,8,3814440075,197,12399,3814440063,30,"s96k2x2cts0vo6y6aaeui5zp, e5rlll2fvd9wsk40o6pztsc0l, 3m7wjcmet9b8sc5tu0ct8j0et, 10f06nit2xupshuz4lmazrvth, f5blplnlgn04f54kqsfx1b7qh, 4hhuyat3grozmgba4f55zyajt, 7hyo7fy8hospvlvtlfv7q73ai, dfytsnxfl78jnug9trsa9qv3d, d12m2oz1lomkc1qxmpht38lat, 75079gtd2efpviyo605ozsd79, 9jxofpmrfh2lil77f9xj22kiy, 4jjk6jqgz3w4uvm3bvhl9t016, 1vn3xi2x6vtjor1bt1ob1vk5x, 73efpm314q2paeacsvp4e8q8l, 1myo59ub6qouwvxpb699shhw5, 1he0x583esqw1ka0ybc2nlz9x, 8hn7wb9jf6unade238t4vl3o5, 7rfcycybym05sbe0j1g6yhfx1, 9anxnfthjotjwmr3o9j9lzsnp, 4pizap25enja9rtz4g6x5bkd1, 5gtoi90sxc43mbsfxwfv7wzxl, 9226xt1t1m3fy4ob9l2r16609, emvmn561wgd62zj0s3qi5j5rd",3814440065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814440067,59,"13, 2, 15, 14, 19, 3, 11, 4, 9, 10, 28, 29, 1, 5, 6, 8, 12, 16, 17, 18, 21, 24, 33",3814440071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814440073,194,75079gtd2efpviyo605ozsd79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509519,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-02T14:15:42.017Z,2022-10-02T14:15:42Z,3814780111,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509529,3,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-10-02T14:15:42.017Z,2022-10-03T00:16:45Z,3814780143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509585,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,49.7,49.9,2022-10-02T14:15:42.086Z,2022-10-03T08:54:19Z,3814780485,213,3.3,3814780487,279,S,3814780475,140,47.4,3814780471,56,Back,3814780481,212,2.4,3814780479,141,49.3,3816887669,178,,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509591,4,1,1,0,2,ah8dala7suqqkj04n2l8xz4zd,1,50.3,47.2,2022-10-02T14:15:44.186Z,2022-10-03T05:21:58Z,3816889225,178,,3814780493,56,Back,3814780501,213,3.4,3814780499,212,14.6,3814780497,141,41.3,3814780495,140,36.9,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509597,5,1,1,0,3,ah8dala7suqqkj04n2l8xz4zd,1,36.9,41.3,2022-10-02T14:15:45.634Z,2022-10-03T05:19:40Z,3814780535,213,1.6,3814780527,56,Back,3814780531,141,61.2,3814780533,212,13.6,3814780529,140,36.2,3816887853,178,,,,,,,,dfytsnxfl78jnug9trsa9qv3d,P. Akouokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509629,6,1,1,0,5,ah8dala7suqqkj04n2l8xz4zd,1,36.2,61.2,2022-10-02T14:15:47.237Z,2022-10-03T05:22:29Z,3814780701,56,Back,3816889533,178,,3814780703,140,38.3,3814780707,212,21.9,3814780709,213,1.5,3814780705,141,93.3,,,,,,,10f06nit2xupshuz4lmazrvth,William Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509729,7,1,1,0,7,ah8dala7suqqkj04n2l8xz4zd,1,38.2,93,2022-10-02T14:15:49.800Z,2022-10-03T05:22:38Z,3814781167,141,82.5,3816889617,178,,3814781165,140,27.8,3814781169,212,13.0,3814781171,213,3.7,3814781163,56,Back,,,,,,,3m7wjcmet9b8sc5tu0ct8j0et,Álex Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466509759,8,1,1,0,10,ah8dala7suqqkj04n2l8xz4zd,1,26.3,78.8,2022-10-02T14:15:52.907Z,2022-10-03T05:23:02Z,3814781401,212,13.6,3814781397,140,34.9,3814781399,141,63.8,3814781403,213,5.4,3814781395,56,Back,3816889835,178,,,,,,,,4hhuyat3grozmgba4f55zyajt,Edgar González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
