id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/11/value,qualifier/16/value,qualifier/15/value,qualifier/17/value
2509000547,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-02-18T12:14:12.559Z,2023-02-18T13:53:15Z,4038990255,59,"1, 7, 15, 3, 5, 24, 14, 23, 19, 10, 4, 2, 8, 9, 12, 13, 16, 17, 22, 28, 30, 32, 42",4038990261,194,5vhikvmcesruckmfcfmm0q8d1,4038990251,30,"w503zyr8ipyobglth281uklx, 21vx56lpd276xqbu11ubkf78q, dkt9892ixwnz1bkmgileo71sl, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, 6xulax65kp4aid70nk7g5jr2t, 1qkep5ck252k1g3oqza5ygh61, dvrk8qmt9ta4c3kvjgsad7t91, 6akzpi6rd6qq0ke07ojnhpoet, b45ryclny991bm7qosieyg1cl, 5vhikvmcesruckmfcfmm0q8d1, eucew4k6eswqr6emzsdg4if3d, atigcsq78g14w82lwvay26aj9, 8rb37jdev612rfbrbp8zovs9h, bj929w5yi7lnz36jxsi5qnq7e, 1zjmgapwre4picauko9gnemll, cme92rbmqszu51sjm99ho8a21, 7aoe0u87gxgv9tvgrotcfue7e, et849xmcdgsy5itb8i4w7qkq2, y83xbwzi3ean9mh7j0thzw4q, 7y8ns61qioqu7kfsqzkvkwhuy, b2xlrg9xvucrut2fhmvsgjuqy, aka2yqxmqpioxc1qzkl62ejv8",4038990253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4038990259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038990257,130,21,4038990263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039097211,197,1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509001985,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-18T12:17:07.873Z,2023-02-18T13:05:28Z,4038997309,30,"59ndqnsvggsoek170rdqyd1w5, c3sl9ajm4q424r4u37iath3hl, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, 2ge9oa66xgsefhhpvuboua76x, cs2yx3hiqjsb4i5ul2r5kmdat, 1lym8zscp7l8icay2cya7cauh, 7k2alak95p1u2ysftwwiaqsid, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 9g4devlvymukexrvfgkipd6tx, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, at2bp41y9n3nd1phr2e3wrcnp, 5c46t1feyeb4vdqz1cifb4yd, 3sy16pz110zmyq073ao24l1ck, bmcz7nkdpxopn3g89dekqa8a2",4038997319,194,cs2yx3hiqjsb4i5ul2r5kmdat,4038997313,59,"13, 3, 17, 24, 15, 4, 7, 8, 18, 10, 23, 2, 5, 9, 11, 14, 19, 20, 21, 22, 25, 26, 31",4038997317,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4038997311,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039096663,197,17362,4038997315,130,2,4038997321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022853,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-18T13:02:50.622Z,2023-02-18T13:02:50Z,4039103727,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022863,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-02-18T13:02:50.622Z,2023-02-19T02:27:04Z,4039103759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022909,3,1,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,49.8,49.9,2023-02-18T13:02:50.744Z,2023-02-19T02:45:11Z,4039104007,140,46.2,4042488043,178,,4039104009,141,46.9,4039104013,213,3.6,4039104015,279,S,4039104005,56,Back,4039104011,212,4.3,4039323193,189,,2ge9oa66xgsefhhpvuboua76x,J. Strand Larsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022993,4,1,1,0,1,6f27yvbqcngegwsg2ozxxdj4,1,46.3,47,2023-02-18T13:02:51.622Z,2023-02-19T02:46:39Z,4039104519,140,68.1,4042490505,178,,4039104517,56,Left,4039104523,212,40.8,4039104527,213,1.0,4039104521,141,96.6,4039323285,155,,4039104531,1,,cs2yx3hiqjsb4i5ul2r5kmdat,Iago Aspas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022999,5,4,1,0,4,6f27yvbqcngegwsg2ozxxdj4,1,69.6,96.3,2023-02-18T13:02:55.431Z,2023-02-19T02:47:13Z,4039104545,13,,4039104553,286,,4039104551,265,,4039112315,233,3,4039104547,56,Left,4039104549,152,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022957,3,4,1,0,4,63f5h8t5e9qm1fqmvfkb23ghh,0,30.4,3.7,2023-02-18T13:02:55.432Z,2023-02-19T02:47:12Z,4039112339,233,5,4039104301,285,,4039104815,152,,4042491415,178,,4039104299,56,Back,4039104817,265,,4039104813,13,,,,,21vx56lpd276xqbu11ubkf78q,Barrenetxea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509022961,4,43,1,0,8,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-02-18T13:02:58.881Z,2023-02-18T13:03:08Z,4039104909,144,5,4039104325,347,0,4039104323,56,Back,,,,,,,,,,,,,,,,21vx56lpd276xqbu11ubkf78q,Barrenetxea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509023073,6,1,1,0,15,6f27yvbqcngegwsg2ozxxdj4,1,65.9,93.5,2023-02-18T13:03:05.877Z,2023-02-19T02:47:31Z,4039104985,56,Center,4042491777,178,,4039104991,212,16.8,4039104981,5,,4039104987,140,59.1,4039104989,141,71.1,4039104983,152,,4039104993,213,4.3,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
