id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2512805699,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-26T14:11:49.595Z,2023-02-26T16:00:09Z,4059391589,197,279,4059057807,59,"13, 2, 17, 24, 15, 4, 7, 8, 10, 22, 23, 5, 9, 11, 18, 19, 20, 21, 25, 26, 31, 37, 39",4059057811,130,2,4059057815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059057805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059057801,30,"59ndqnsvggsoek170rdqyd1w5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, cs2yx3hiqjsb4i5ul2r5kmdat, at2bp41y9n3nd1phr2e3wrcnp, 1lym8zscp7l8icay2cya7cauh, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 2ge9oa66xgsefhhpvuboua76x, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, 5c46t1feyeb4vdqz1cifb4yd, 3sy16pz110zmyq073ao24l1ck, bmcz7nkdpxopn3g89dekqa8a2, c60m17adgxbewkrzizwtzd91w, 2gmmkbytqk7v5osz31i4oj0q2",4059057825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059057821,194,7k2alak95p1u2ysftwwiaqsid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512809187,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-02-26T14:14:15.990Z,2023-02-26T15:14:19Z,4059391119,197,11785,4059074699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059074703,194,2z101tpx36mno6neclyrym8yd,4059074685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059074707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059074695,130,8,4059074683,30,"5vyiq10fusxvrx4tajz9lmg9h, d8v7fh30bn0rbhj0lgn1j17th, 7v5zw48zp3pxd39q1i2qmul79, 66t7zm54jgmcjtiizl9g0rkkp, 81egd7oua1lfq2j8lke5z0ueh, 9f83clp1v95kvlxdb376tgbth, 2z183ceh099zdd3wq5fvs1aay, 234yd91ki5snm5wipuxzogkp, 3rrges782prcprsn207dk4zit, 2z101tpx36mno6neclyrym8yd, 46gpq48n4d5bntwa8v2t78hcl, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, 1pg0b32xb9230zit0ndyd79ih, b6rbjpzuq9vo9kdil1tlyl2ad, 3zyib6lm9w7bi6lbek5m0dbrp, bsi12817nc1ul082qn48d4rft, 3fatiz92fyc3cn91ca11i0iqd, dka9aakcyyvh98m2uhkvs6qz8, d8om2m3knmfqt17u5emlapi50, 9tp35qqu1heburu0g5wa6jv56, dacjsyu4cr4wetpsiz5vxe6ms",4059074691,59,"13, 2, 12, 4, 15, 5, 11, 8, 25, 10, 21, 6, 7, 9, 17, 18, 20, 24, 27, 31, 39, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874489,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-02-26T15:15:51.204Z,2023-02-26T15:15:51Z,4059399539,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874503,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-26T15:15:51.204Z,2023-02-27T02:55:46Z,4059399611,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874567,3,1,1,0,0,4jelr92fsge73q39is6qvhxb3,1,49.8,50,2023-02-26T15:15:51.235Z,2023-02-27T05:47:34Z,4059399903,279,S,4059399893,212,6.9,4059399885,56,Back,4059399887,140,43.3,4061292129,178,,4059399891,141,51.1,4059399897,213,3.0,,,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874603,4,1,1,0,2,4jelr92fsge73q39is6qvhxb3,0,44.3,51.1,2023-02-26T15:15:53.289Z,2023-02-27T05:47:42Z,4059400117,212,56.5,4059400115,141,0.0,4059400111,56,Right,4059400119,213,5.6,4059400121,1,,4059400109,155,,4059400113,140,85.9,4061292209,178,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874797,3,5,1,0,6,6f27yvbqcngegwsg2ozxxdj4,1,14,101.8,2023-02-26T15:15:57.310Z,2023-02-27T05:47:46Z,4059401113,56,Back,4059401115,347,,4059401141,233,5,,,,,,,,,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874611,5,5,1,0,6,4jelr92fsge73q39is6qvhxb3,0,86,-1.8,2023-02-26T15:15:57.310Z,2023-02-27T05:47:47Z,4059400141,56,Right,4059400143,347,,4059401185,233,3,,,,,,,,,,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874843,4,1,1,0,17,6f27yvbqcngegwsg2ozxxdj4,0,18.1,100,2023-02-26T15:16:08.632Z,2023-02-27T05:47:55Z,4059401337,141,93.5,4059401335,140,29.3,4059401331,107,,4059401339,212,13.0,4059401333,56,Back,4059401341,213,5.8,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512874877,6,49,1,0,19,4jelr92fsge73q39is6qvhxb3,1,57.4,11.7,2023-02-26T15:16:11.158Z,2023-02-27T05:49:08Z,,,,,,,,,,,,,,,,,,,,,,,,,234yd91ki5snm5wipuxzogkp,Monchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
