id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2526802521,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-01T17:47:31.639Z,2023-04-01T19:20:27Z,4153960023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153960015,30,"36bg0k385i4wwarffp6ak1syd, ewu1skobmxtz4f3z6dbnfm6dx, 7wjmaxqunpd84il1p5w4xwrmd, 6jq376l673aizjxxhhos2j52i, 33r4ae8aivh27ho0ix9mnkedx, bkvvapojagxvj17nzk3oy8ct1, 1i9mqbswolg91evnmsrf5katx, f0a2qk3jzxercn67bben5eled, 1ore4ght7ls393tcpbmah9dcl, e18oezz5jq7pf3h4azgv3ofrp, 61j22wr5t5irba2v3v4l1rnro, c0pl96o1zkrgvukte9zefl591, b69uny9udp3ab2zccwa0qnrh1, elb74prcilvsqzn9jdznrjavp, eo74fl3ctgkwbpsa099rkv6xh, 8axw2xc0dl8vsdub6nq4nhjo5, defkaykmw8lmts2gumfa1jyzt, ac5f9msbvijksbq5s2ivwh979, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl, clrlsy05spf55w39f84b7p3sa",4153960025,194,e18oezz5jq7pf3h4azgv3ofrp,4154305887,197,281,4153960019,59,"13, 14, 23, 40, 6, 21, 11, 20, 10, 16, 2, 1, 4, 5, 7, 8, 15, 17, 19, 22, 24, 26",4153960017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4153960021,130,6,4153960027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526805929,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-04-01T17:51:38.624Z,2023-04-01T19:12:51Z,4153977599,194,4q6kuikopbgls8y2rwqiu415h,4153977591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4153977597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4154059885,197,18172,4153977601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153977595,130,4,4153977589,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, 4o6f3mnd39fx700o3jvj0wct1, 4ggz7e009bq3yltc9o6mifbah, awsod0zmnrukk21d4882ji7e1, 9i7lb16qty1t21bnc5h7skclx, eb3ci3a120om80v80mobsus8a, 4q6kuikopbgls8y2rwqiu415h, afxjicw89683nlpms9yy5x51x, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, calrbl0kagr6zgnw2l8k626s5, 4mxx1oxkiexm0ha34utcmb17t, 4ct72ovumvt09au6gpulwpjv9, bzgh5psb1janz9y3btpswngbu, 3hht0os2uzu234yq550i3fbe2, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62, c3j7m8kaoius8i6jihubgy6p6, e2tgmngp5fa465yi3ma6qhhqs, bzms42hwgghy29ngpkztw5gd0",4153977593,59,"1, 23, 18, 24, 4, 17, 30, 20, 9, 11, 10, 5, 13, 19, 28, 29, 32, 36, 38, 39, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866497,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-01T19:00:12.948Z,2023-04-02T04:39:21Z,4154316121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866507,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-04-01T19:00:12.948Z,2023-04-01T19:00:16Z,4154316169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866573,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,49.4,49.6,2023-04-01T19:00:13.008Z,2023-04-02T07:58:32Z,4154316477,56,Back,4154316479,140,32.3,4154316483,212,19.1,4154316485,213,2.8,4154316487,279,S,4154316481,141,59.1,4156339029,178,,,,,1ore4ght7ls393tcpbmah9dcl,Pere Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866621,4,1,1,0,2,4yg9ttzw0m51048doksv8uq5r,1,32.8,62,2023-04-01T19:00:15.728Z,2023-04-02T07:58:39Z,4154316685,213,5.7,4154316677,56,Center,4154316679,140,72.7,4154316683,212,49.3,4154316687,1,,4154316681,141,23.9,4154316675,155,,4156339321,178,,bkvvapojagxvj17nzk3oy8ct1,Omar Mascarell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866629,5,44,1,0,5,4yg9ttzw0m51048doksv8uq5r,1,70.8,17.6,2023-04-01T19:00:18.892Z,2023-04-02T17:12:59Z,4154316729,286,,4154316727,56,Right,4154316757,233,3,,,,,,,,,,,,,,,,1i9mqbswolg91evnmsrf5katx,Tete Morente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866611,3,44,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,0,29.2,82.4,2023-04-01T19:00:18.893Z,2023-04-02T07:58:48Z,4154316635,285,,4154316633,56,Back,4154316817,233,5,,,,,,,,,,,,,,,,4o6f3mnd39fx700o3jvj0wct1,Jordi Alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866653,6,1,1,0,5,4yg9ttzw0m51048doksv8uq5r,0,74.4,22.3,2023-04-01T19:00:18.902Z,2023-04-02T17:12:59Z,4154316877,212,9.4,4154316879,213,0.5,4154316869,140,82.3,4154316863,56,Center,4154316859,3,,4154316873,141,28.9,4156339739,388,,4154601401,168,,1i9mqbswolg91evnmsrf5katx,Tete Morente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526866665,4,44,1,0,7,agh9ifb2mw3ivjusgedj7c3fe,1,19.2,70.3,2023-04-01T19:00:20.249Z,2023-04-02T17:12:59Z,4154316999,233,7,4154316937,285,,4154316935,56,Back,,,,,,,,,,,,,,,,9i7lb16qty1t21bnc5h7skclx,Marcos Alonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
