id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/14/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2460993627,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-09-17T13:15:38.972Z,2022-09-17T14:17:25Z,3785509707,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785509721,194,elb74prcilvsqzn9jdznrjavp,3785509717,130,11,3785509723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785891477,197,281,3785509713,59,"13, 14, 23, 6, 5, 26, 11, 8, 9, 20, 16, 1, 2, 3, 4, 7, 12, 15, 17, 18, 19, 22, 28",3785509719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785509703,30,"36bg0k385i4wwarffp6ak1syd, ewu1skobmxtz4f3z6dbnfm6dx, 7wjmaxqunpd84il1p5w4xwrmd, 33r4ae8aivh27ho0ix9mnkedx, elb74prcilvsqzn9jdznrjavp, clrlsy05spf55w39f84b7p3sa, 1i9mqbswolg91evnmsrf5katx, 8axw2xc0dl8vsdub6nq4nhjo5, 9ivrglgy0tibv881e1a93psr9, f0a2qk3jzxercn67bben5eled, e18oezz5jq7pf3h4azgv3ofrp, c0pl96o1zkrgvukte9zefl591, f54pd3cld0qkc8ol15bk9ye39, 2zn2o5lzchz7oattq9pnjr8wl, b69uny9udp3ab2zccwa0qnrh1, 1yxaa4n0120z5srk6ar1spxat, 8f3eqla9yo5js50fv2tdu5vjd, defkaykmw8lmts2gumfa1jyzt, ac5f9msbvijksbq5s2ivwh979, aziqdd6dqjjgr6ifmzve0cz4l, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, 8twklnbsk3tiyw713l06n340k",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460996613,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-09-17T13:18:58.303Z,2022-09-17T14:13:01Z,3785526061,130,4,3785866999,197,16152,3785526059,59,"1, 23, 28, 21, 4, 24, 19, 8, 9, 7, 14, 2, 3, 5, 10, 11, 15, 17, 18, 22, 26, 30, 36",3785526063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785526057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785526055,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, ezviixcyaaj162saxs2yl27s9, awsod0zmnrukk21d4882ji7e1, 4ggz7e009bq3yltc9o6mifbah, 4ct72ovumvt09au6gpulwpjv9, 4ftlhtels58lyzfluwofzwxuy, afxjicw89683nlpms9yy5x51x, ckaqxlw257qzj8vjdumvwbaad, b37h0rc96jh4e34x6iru2plud, 3e8mxxfs5q7gt4lg2beqpkwyd, 9mfk2ditwuoto5dfthng9j2t, calrbl0kagr6zgnw2l8k626s5, 308krssmz6irpfntht1ka78tm, 2szgrzcosfeifh664tgt3mfvt, 1av9mmv19jwvc4xdr0p9owyxh, 9i7lb16qty1t21bnc5h7skclx, 4o6f3mnd39fx700o3jvj0wct1, 2wl6h1rlrfnn2mr65vuo3t815, 4mxx1oxkiexm0ha34utcmb17t, eb3ci3a120om80v80mobsus8a, 4ffmlhvbjvfjjnhr0byktvt62",3785526067,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785526065,194,2e55g4q93y382cg7h0yk5rtud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461072453,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2022-09-17T14:16:51.660Z,2022-09-17T22:41:50Z,3785915093,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461072511,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-09-17T14:16:51.660Z,2022-09-17T14:16:53Z,3785915419,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461072619,3,1,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,50.1,50,2022-09-17T14:16:51.741Z,2022-09-17T23:15:40Z,3785915921,141,53.1,3788375705,178,,3785915917,140,36.7,3785915929,279,S,3785915915,56,Back,3785915927,213,3.0,3785915925,212,14.2,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461072719,4,1,1,0,3,agh9ifb2mw3ivjusgedj7c3fe,1,36.7,60.2,2022-09-17T14:16:54.798Z,2022-09-17T23:15:49Z,3785916437,141,70.1,3788376021,178,,3785916449,212,7.2,3785916431,140,34.2,3785916463,213,1.9,3785916423,56,Back,,,,,,,ezviixcyaaj162saxs2yl27s9,F. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461072947,5,1,1,0,5,agh9ifb2mw3ivjusgedj7c3fe,1,34.2,66.6,2022-09-17T14:16:57.301Z,2022-09-17T23:15:54Z,3785917639,213,4.7,3785917629,140,34.1,3785917631,141,36.1,3785917625,56,Back,3785917635,212,20.7,3788376287,178,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461073071,6,1,1,0,10,agh9ifb2mw3ivjusgedj7c3fe,1,42.1,29.6,2022-09-17T14:17:02.262Z,2022-09-17T23:15:57Z,3788376447,178,,3785918263,56,Back,3785918269,212,23.6,3785918271,213,1.8,3785918267,141,63.0,3785918265,140,36.0,,,,,,,awsod0zmnrukk21d4882ji7e1,R. Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461073193,7,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,39.3,65.6,2022-09-17T14:17:05.621Z,2022-09-17T23:16:07Z,3785919021,213,1.2,3785919015,140,45.5,3788376829,178,,3785919017,141,87.0,3785919019,212,15.9,3785919013,56,Back,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461073243,8,1,1,0,16,agh9ifb2mw3ivjusgedj7c3fe,1,43.8,69.8,2022-09-17T14:17:08.646Z,2022-09-17T23:16:13Z,3785919235,213,5.4,3785919227,56,Back,3788377091,178,,3785919229,140,46.9,3785919231,141,63.6,3785919233,212,5.3,,,,,,,4ftlhtels58lyzfluwofzwxuy,Pedri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
