id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/16/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/20/value
2529872531,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-04-07T17:51:28.801Z,2023-04-07T19:01:29Z,4170329211,130,8,4170329215,194,2mg2n8e1d83gbeykfwzz0fumt,4170329203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170329213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170591207,197,260,4170329217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170329207,59,"1, 16, 19, 18, 22, 6, 7, 20, 15, 17, 25, 2, 3, 4, 10, 12, 13, 14, 21, 23, 24, 31",4170329199,30,"bahph7009sc73jl6s2bramn6d, 2mg2n8e1d83gbeykfwzz0fumt, djal5dsafpnhip4lu0ait94np, ekm47qd8w1x0456lm1tmf5re1, rlgrvvibryod2g92hqc97ii2, 6vvwhgic29fekmmj2cg62ytp1, 5c4ku1hmhy6l9dq8a5jp1qf9x, 65osnocfqxv6mmpb69hm446ad, 4bbqmasyopxoymo4umcxd4e09, 7exng93jyar5is4fa64r9bhzp, cjd62gwj9ptwrrtu6y6xnpeui, 1y74tse0vpdxanxf152cc8jjd, asweknp9d99safr6p9va75h3p, b25dws1pbgbxuwt09of8xpe51, depu0zp8jqcyv0jzf5r9yums5, 4sojot9t32l4a6fm3e39xkcfd, c9cp6fxbxyc2a3kfotkompxx, 2lwjtphx3bkjty9sds520l1ey, 8n4f10q0l2wjhhfdkpp8kfzdh, 1ghrcpi1cl0koh36puwblbfmd, 8tlfkcnlf3dq1katqazub1i39, 944mc5icxdleh4kvaamvpa9zo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529873255,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-04-07T17:53:15.342Z,2023-04-07T19:01:54Z,4170333147,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170333157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170333149,59,"13, 2, 17, 14, 15, 4, 7, 8, 22, 10, 11, 5, 9, 18, 19, 20, 23, 26, 27, 29, 34, 36, 39",4170333145,30,"59ndqnsvggsoek170rdqyd1w5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, 9g4devlvymukexrvfgkipd6tx, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, at2bp41y9n3nd1phr2e3wrcnp, cs2yx3hiqjsb4i5ul2r5kmdat, 5ez2huoeh2g3ijpgr7m15lg5, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 2ge9oa66xgsefhhpvuboua76x, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 1lym8zscp7l8icay2cya7cauh, 3sy16pz110zmyq073ao24l1ck, 3bl6xuomwt9qso3q5xp6plca2, 9ano8w4jrlk6zq92rxchzaru2, 2pfq7ljnpwocjpsbna6r7i99m, bv6u6k40izwaoyzyahynyfqax, 2gmmkbytqk7v5osz31i4oj0q2",4170333153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170593103,197,17362,4170333151,130,2,4170333155,194,7k2alak95p1u2ysftwwiaqsid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923231,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-04-07T19:01:29.024Z,2023-04-07T19:01:29Z,4170607493,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923245,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-04-07T19:01:29.024Z,2023-04-08T01:45:46Z,4170607585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923257,3,1,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,49.8,49.8,2023-04-07T19:01:29.173Z,2023-04-08T07:23:45Z,4170607629,140,49.0,4170607637,279,S,4170607627,56,Back,4171539761,178,,4170607635,213,4.3,4170607631,141,46.8,4170607633,212,2.2,,,,at2bp41y9n3nd1phr2e3wrcnp,H. Seferović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923277,4,1,1,0,2,6f27yvbqcngegwsg2ozxxdj4,1,54.7,53.4,2023-04-07T19:01:31.455Z,2023-04-08T07:23:50Z,4170607805,56,Center,4170607813,213,0.6,4170607811,212,12.9,4171539815,178,,4170607807,140,64.7,4170607809,141,64.4,,,,,,,cs2yx3hiqjsb4i5ul2r5kmdat,Iago Aspas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923287,5,1,1,0,3,6f27yvbqcngegwsg2ozxxdj4,0,64.7,64.4,2023-04-07T19:01:32.407Z,2023-04-08T07:23:55Z,4170607879,213,5.6,4170607877,212,6.0,4171539859,178,,4170607873,140,69.2,4170607871,56,Center,4170607875,141,58.9,,,,,,,5ez2huoeh2g3ijpgr7m15lg5,F. Cervi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923291,3,8,1,0,4,10eyb18v5puw4ez03ocaug09m,1,33,37.3,2023-04-07T19:01:33.352Z,2023-04-08T07:23:59Z,4171134419,384,,4170607897,56,Back,4171539923,178,,,,,,,,,,,,,,,,,ekm47qd8w1x0456lm1tmf5re1,P. Gueye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923323,4,49,1,0,6,10eyb18v5puw4ez03ocaug09m,1,25.1,44.8,2023-04-07T19:01:35.035Z,2023-04-08T07:24:08Z,,,,,,,,,,,,,,,,,,,,,,,,,6vvwhgic29fekmmj2cg62ytp1,N. Gudelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529923419,5,1,1,0,6,10eyb18v5puw4ez03ocaug09m,1,23.9,46.7,2023-04-07T19:01:35.118Z,2023-04-08T07:24:11Z,4170608649,213,2.9,4170608647,212,17.0,4170608643,140,8.2,4171540023,178,,4170608645,141,52.7,4170608641,56,Back,,,,,,,6vvwhgic29fekmmj2cg62ytp1,N. Gudelj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
