id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2460878065,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-09-17T10:47:55.055Z,2022-10-17T13:33:15Z,3784927995,59,"1, 15, 18, 6, 21, 24, 10, 4, 7, 19, 8, 2, 3, 5, 9, 11, 12, 14, 20, 22, 31, 33, 34",3784927993,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785161277,197,348,3784927997,130,10,3784928003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784927991,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 2td3iejdken4orcduqrdutrhm, 7ubtan6a51o79w469zawrqqqd, 3pwr7lqvo4o08c4nvzqpuue39, 8b3igmuipfhfzm39ack89de96, 3h58t56r9if0oh4qd3gz1wfrp, dtuwn06lnvxugaj637i553r2t, esk1w6ycz34w1r3te22shohrd, cjtqtr93yjd3ee7tslzi1bd9l, 2wdjbfzaiokiawrbn5wzsx61h, 6v5jjz9ryqacsd8vovugvlsyd, baax58gbtxlbuj3duulpms4q1, 9e7b5cm66oxf26fmp33yuppsl, 9n447dc5s8na89g3ovx9zvbv9, ec26i7ddimq76bit2zz8fbsnp, 5qh2kdatvb03o8oiqvkaaxje2, da4isu80fnw6rmv53gbjv8qcq, 4rcsvuxnotyjoo72f8okudh5g",3784927999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784928001,194,9dewnn65ylruq567thg7ebqhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460879943,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-17T10:52:11.903Z,2022-09-17T15:47:54Z,3784937969,130,10,3784937975,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785218901,197,16924,3784937967,59,"13, 17, 15, 22, 19, 21, 5, 23, 7, 9, 14, 1, 2, 3, 4, 8, 10, 11, 16, 18, 24, 26, 28",3784937971,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3784937965,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3784937973,194,1trnf7miqmcgr67c4808t4yj9,3784937963,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1trnf7miqmcgr67c4808t4yj9, 99zc12kmr9893h24mo95wcn9x, a5x0poaqzssg2yuou57qgyead, 5rabxq8qyxf2q2ak506xim9rd, 1km9nvqz03yoj9cxpv127id7u, blvf8qsi6iy6ejyer58okyxka, e6ok0deqkoe80184iu509gzu2, ec4coej1l0a7he2896hjbz04q, bglk6tokkpgjltpzljp1p345x, 497cy3s5ck9f5h563c4aixfdg, 6kpscy08tl4fkie4w4hl49n11, 36lk52zhgyn11s1pax3y7wout, 8zlr9xkh9dkt1pbw3w91uazmd, 63yktdky9m0aus8ebkaqzdhhx, 8b6idfe7dx59wkbc8zf539zv9, aj68ohnw0hxqnfxzjhpcwsavo, 3flv9yp9x61ph57xugztva9nu, 9bbu1yne0l9j862yodiuldw4p, 8zvsos5fsrrf9aizqmyhtt9m, 7grh7aamrlrf1oagk8sn85zbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925685,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-17T12:00:19.786Z,2022-09-17T12:00:19Z,3785165643,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925693,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-09-17T12:00:19.786Z,2022-09-17T19:00:44Z,3785165681,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925703,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50,50,2022-09-17T12:00:19.906Z,2022-09-17T22:58:45Z,3785165741,213,3.1,3785165733,56,Back,3785165737,141,51.3,3785165735,140,36.4,3788349819,178,,3785165739,212,14.3,3785165743,279,S,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925715,4,1,1,0,1,cobffe32r7g4skka9m19qib63,1,36.4,51.3,2022-09-17T12:00:21.618Z,2022-09-17T22:58:54Z,3785165783,56,Back,3785165791,213,2.1,3785165787,141,70.1,3785165785,140,28.5,3785165789,212,15.2,3788349917,178,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925737,5,1,1,0,3,cobffe32r7g4skka9m19qib63,1,28.5,70.1,2022-09-17T12:00:23.412Z,2022-09-17T22:58:58Z,3785165873,56,Back,3785165879,212,15.3,3788349955,178,,3785165877,141,48.1,3785165875,140,25.6,3785165881,213,4.5,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925805,6,1,1,0,6,cobffe32r7g4skka9m19qib63,1,25.6,48.1,2022-09-17T12:00:25.970Z,2022-09-17T22:59:09Z,3785166207,140,33.3,3785166205,56,Back,3788350065,178,,3785166209,141,12.2,3785166213,213,5.0,3785166211,212,25.7,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925815,7,1,1,0,9,cobffe32r7g4skka9m19qib63,1,32.4,14.9,2022-09-17T12:00:29.678Z,2022-09-17T22:59:45Z,3785166261,212,20.0,3788350611,178,,3785166259,141,43.7,3785166263,213,1.8,3785166255,56,Back,3785166257,140,28.4,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925827,8,1,1,0,12,cobffe32r7g4skka9m19qib63,1,28.4,43.7,2022-09-17T12:00:32.244Z,2022-09-17T22:59:51Z,3785166311,140,30.3,3788350691,178,,3785166315,212,22.0,3785166317,213,1.5,3785166313,141,75.9,3785166309,56,Back,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925865,9,1,1,0,15,cobffe32r7g4skka9m19qib63,1,30.3,75.9,2022-09-17T12:00:35.327Z,2022-09-17T22:59:55Z,3785166463,56,Left,3785166473,1,,3788350723,178,,3785166465,140,59.6,3785166471,213,0.4,3785166467,141,93.6,3785166469,212,33.0,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925901,10,1,1,0,18,cobffe32r7g4skka9m19qib63,1,59.9,94.4,2022-09-17T12:00:38.457Z,2022-09-17T23:00:02Z,3788350783,178,,3785166615,213,0.1,3785166611,141,97.4,3785166613,212,15.4,3785166609,140,74.4,3785166607,56,Left,,,,,,,ec4coej1l0a7he2896hjbz04q,Lázaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460925911,3,45,1,0,20,50x1m4u58lffhq6v6ga1hbxmy,0,21.8,3.1,2022-09-17T12:00:40.588Z,2022-09-17T23:00:16Z,3785166723,233,11,3785166665,56,Back,3785166667,285,,,,,,,,,,,,,,,,,22dchchxwrsty67ultrs61qz9,Pablo Maffeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
