id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2446263815,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-08-14T16:23:46.092Z,2022-08-14T17:32:29Z,3707160829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707160827,30,"20o2dr1mdk18xhxmkujzgak89, 8vmrboswsfyb5bfoq07s6susp, d6kzekcwqw0q8fq6wt6rmyusq, e7del0ovpcpntqdgh8idxok4p, 5uig03vbbv71f0q31cp3vfbv9, eucssbf7wamb41y1gixfodivp, b2e12l3s3dxgyr8d2rk5qb9ey, dsmcqfl0e1be4ag7czbnolo15, 7yieh5r0uzk6d6x9o060c2bfu, 9z3aqwq5swt9qklwnzuhqcogl, 7yngrviue4iji7w0f9ql07j6x, 1bnn3tokzwvl4vvw34yxsq9gq, 8iiowapklgy791tcwowpqddqt, f1e3gi3dx3er2vz7loriw6e39, 5r7q0eg6pmoq0safxa9tnm5l, ats4ux8ftux1ccae259dooiqx, bqrz2xmu25taby17bl7cycjqh, 3fa2ghyan0h7o4jgltsbl62cq, wlqj34ev5mucxtfx6j4tr9at, q5omphitvnrcnoda4jh9fdux, eiz5j566h4fq4wro1t9lfuw2x, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8",3707160839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707160833,130,4,3707160837,194,dsmcqfl0e1be4ag7czbnolo15,3707425403,197,1597,3707160835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707160831,59,"28, 2, 32, 6, 24, 12, 4, 10, 19, 11, 16, 17, 1, 3, 8, 9, 13, 18, 20, 21, 22, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446268857,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-08-14T16:32:58.270Z,2022-08-16T21:12:46Z,3707189149,30,"4wbwcfbeokv5j4nuudbxgaw2d, ay89se5rytzay8md0yeadykq2, 8tnz3pqkqdhbr08p96i9w8i96, 8xd59g0c36012q6mg5f2fl239, 4o0ei8wawffrg2hvnbmcxipxx, 39dgr8s91agremy3nvp4q2221, 20ebw399jhbq0i5x2eacrrs6i, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, bqmhsb2bsuuuijw2ci39l01k9, 2y9jp3hak8dnf8cavdqrx1cyd, d7pzcnoztn30xoj5b2sr9slt6, 2nq5nzq35tfwc7po29dtwqp78, 6navc0x6p4yqy76zyo3zocwr9, c320492cbp1otejfp1i1oane1, empzr1tr95ot0gprb9as91xw, 618ct0ti4q9ksggep1allpmac, 25h51j4zz5m180na6sy5ybbpw, phk9kn5ws6j9zj8ubbfl1une, 9f0jk3wgmlnnmnqrdkh4gnpt6, eonkaqrhhxzaa3nt0iena4us, dhn85ec5ty14hpbk7eirasvtg",3707515801,197,16543,3707189159,194,8xd59g0c36012q6mg5f2fl239,3707189153,59,"1, 20, 11, 15, 5, 22, 8, 14, 9, 17, 10, 3, 4, 7, 21, 31, 32, 33, 34, 35, 36, 30",3707189157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707189161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3707189151,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3707189155,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312451,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-08-14T17:30:44.519Z,2022-08-15T05:01:31Z,3707429791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312471,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-08-14T17:30:44.519Z,2022-08-14T17:30:46Z,3707429865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312499,3,1,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,49.8,50.1,2022-08-14T17:30:44.531Z,2022-08-15T05:13:46Z,3708974795,178,,3707429989,140,32.6,3707429987,56,Back,3707429991,141,51.8,3707429995,213,3.1,3707429993,212,18.1,3707429997,279,S,,,,7yieh5r0uzk6d6x9o060c2bfu,Hugo Duro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312525,4,1,1,0,2,ba5e91hjacvma2sjvixn00pjo,0,32.6,51.8,2022-08-14T17:30:47.264Z,2022-08-15T05:13:52Z,3707430127,56,Right,3707430129,140,70.6,3707430125,157,,3707430133,212,47.0,3707430137,1,,3708974853,178,,3707430131,141,15.4,3707430135,213,5.7,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312527,3,44,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,1,29.8,82.9,2022-08-14T17:30:50.192Z,2022-08-15T08:20:02Z,3707430165,285,,3707430163,56,Back,3707430267,233,5,,,,,,,,,,,,,,,,8xd59g0c36012q6mg5f2fl239,Juanpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312543,5,44,1,0,5,ba5e91hjacvma2sjvixn00pjo,0,70.2,17.1,2022-08-14T17:30:50.193Z,2022-08-15T05:14:00Z,3707430235,56,Right,3707430237,286,,3707430343,233,3,,,,,,,,,,,,,,,,8vmrboswsfyb5bfoq07s6susp,Thierry Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312563,5,1,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,1,30.9,77.7,2022-08-14T17:30:50.231Z,2022-08-15T08:20:02Z,3708974969,388,,3707430375,140,38.9,3707430371,3,,3707430381,213,0.4,3707430373,56,Back,3707430377,141,83.0,3707430379,212,9.1,,,,8xd59g0c36012q6mg5f2fl239,Juanpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446312529,4,43,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-08-14T17:30:50.361Z,2022-08-14T17:31:06Z,3707430971,144,44,3707430169,285,0,3707430167,56,Back,,,,,,,,,,,,,,,,8xd59g0c36012q6mg5f2fl239,Juanpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
