id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,assist,qualifier/11/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value
2483279787,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-11-08T16:51:06.906Z,2022-11-08T18:03:24Z,3903650047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903650045,194,36bg0k385i4wwarffp6ak1syd,3903650037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903650035,30,"36bg0k385i4wwarffp6ak1syd, agmcwbzoertg4l8njpdai7kl, 7wjmaxqunpd84il1p5w4xwrmd, 8axw2xc0dl8vsdub6nq4nhjo5, 2zn2o5lzchz7oattq9pnjr8wl, b69uny9udp3ab2zccwa0qnrh1, ac5f9msbvijksbq5s2ivwh979, bkvvapojagxvj17nzk3oy8ct1, 9ivrglgy0tibv881e1a93psr9, defkaykmw8lmts2gumfa1jyzt, 1ore4ght7ls393tcpbmah9dcl, c0pl96o1zkrgvukte9zefl591, elb74prcilvsqzn9jdznrjavp, 33r4ae8aivh27ho0ix9mnkedx, 1i9mqbswolg91evnmsrf5katx, aziqdd6dqjjgr6ifmzve0cz4l, a971j313ztjvcgojpg6u390b9, f0a2qk3jzxercn67bben5eled, eg5xrgue41p7yq97ge9iri99m, clrlsy05spf55w39f84b7p3sa, 8armge1lx5raqo63v1uybf3hm, 1filh68q6hdk921qkdo7rsvmc",3903650039,59,"13, 24, 23, 8, 3, 4, 17, 21, 9, 15, 10, 1, 5, 6, 11, 18, 19, 20, 22, 26, 27, 30",3903650041,130,8,3903650043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903747869,197,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483280125,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-11-08T16:53:58.744Z,2022-11-08T22:07:42Z,3903752725,197,13416,3903652109,59,"13, 4, 16, 18, 22, 5, 12, 21, 9, 14, 11, 1, 2, 3, 7, 8, 17, 23, 25, 26, 36",3903652105,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 2do89l8kf9yuelzq1b5mo549h, c320492cbp1otejfp1i1oane1, 27hwtukeqxh91ch1f3qr1it49, 2udtmz4lvh4vil16mxvo0j4l, 8tnz3pqkqdhbr08p96i9w8i96, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, d7pzcnoztn30xoj5b2sr9slt6, 6navc0x6p4yqy76zyo3zocwr9, 20ebw399jhbq0i5x2eacrrs6i, bqmhsb2bsuuuijw2ci39l01k9, 9um7x9zd0e000zt57l3yearqh, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, eonkaqrhhxzaa3nt0iena4us",3903652107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903652115,194,8tnz3pqkqdhbr08p96i9w8i96,3903652117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903652113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903652111,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483301185,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-11-08T18:00:27.300Z,2022-11-08T18:00:42Z,3903751317,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483301223,3,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2022-11-08T18:00:27.300Z,2022-11-09T05:00:37Z,3903751455,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483304969,77,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,49.7,49.9,2022-11-08T18:00:27.546Z,2022-11-09T05:18:10Z,3903768243,141,47.5,3903768241,140,50.6,3903768361,279,S,3904762437,178,,3903768247,213,5.2,3903768245,212,1.9,3903768239,56,Center,,,,9ivrglgy0tibv881e1a93psr9,L. Boyé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483305023,78,1,1,0,2,4yg9ttzw0m51048doksv8uq5r,0,52.4,48.2,2022-11-08T18:00:29.353Z,2022-11-09T05:18:20Z,3904762567,178,,3903768503,213,5.7,3903768501,212,36.3,3904555019,1,,3903768495,56,Right,3903768497,140,80.9,3903768499,141,18.0,,,,1ore4ght7ls393tcpbmah9dcl,Pere Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483302159,8,49,1,0,4,7h7eg7q7dbwvzww78h9d5eh0h,1,22.6,80,2022-11-08T18:00:31.964Z,2022-11-09T05:18:24Z,,,,,,,,,,,,,,,,,,,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483302163,9,1,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,1,17.7,80.8,2022-11-08T18:00:33.185Z,2022-11-09T05:18:28Z,3903757979,213,3.8,3903757975,141,63.1,3903757977,212,20.4,3904762657,178,,3903757971,56,Back,3903757973,140,2.0,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483302173,10,1,1,0,8,7h7eg7q7dbwvzww78h9d5eh0h,0,2.7,62.7,2022-11-08T18:00:35.316Z,2022-11-09T05:18:35Z,3903759227,1,,3903791229,155,,3903759225,213,0.5,3903759217,56,Back,3904762745,178,,3903759219,140,32.5,3903759223,212,35.0,3903759221,141,85.9,eavhyxb9dfjh0jp5yzg8p8udx,P. Gazzaniga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483305341,81,1,1,0,10,4yg9ttzw0m51048doksv8uq5r,0,57.1,21.8,2022-11-08T18:00:37.816Z,2022-11-09T05:18:39Z,3903770217,141,35.1,3903770215,140,65.6,3903770219,212,12.7,3903770221,213,0.8,3904762811,388,,3903770211,3,,3903770213,56,Center,,,,agmcwbzoertg4l8njpdai7kl,Pol Lirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
