id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2455772741,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-04T13:10:57.730Z,2022-09-04T14:25:13Z,3757724913,130,8,3757724915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757724909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3757724921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757724917,194,81png9xvfr224o03vaksp6aqd,3757724911,59,"1, 18, 15, 6, 3, 5, 11, 8, 9, 10, 7, 2, 4, 12, 13, 14, 16, 19, 20, 21, 22, 23, 31",3757724919,197,12043,3757724907,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, cd5napttmwk5o9gxw3cbb4ted, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, e40eqhxzzid2chfyxph37tuxh, 5kd57453a90zahgdxwkghr816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455774875,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-09-04T13:12:57.001Z,2022-09-04T14:49:48Z,3757736061,59,"25, 2, 14, 20, 5, 4, 12, 10, 9, 7, 17, 1, 8, 16, 19, 21, 26, 28, 31, 34",3757736071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757736057,30,"agd2nhvdhp18dg1weape5olpl, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, 8qvqdjw1d58mw7420lpmk7bah, 2rqxh5mex336ci45jaw428y5l, 6810qbng9pfg1bztczv11grmd, adi6l78sdvet408eho4fi4xk9, 7xmaybxu4zd5k338bi3drkxcl, d67qj0sakwrfzbscleo4dbget, e5qp6dh1prc55llew51zpy1gp, 92pz9nafg5h4qeqpiw3011ihh, 5f8kjgsaabn2li5r7bvpebbsa, 91te5xuankrla4g3s7as3htxx, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, cspjsye2x9pmnvdxjmghwnyi2, 7h0b81yjiiu356rycsakgd0yc, 6gy8t82tqi12q2odz974xcbh0, e81bgheozbhng9yfmqss1jbl6, 1wylybleussatoxg8u6reao2y",3757736069,197,270,3757736063,130,4,3757736065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3757736067,194,6810qbng9pfg1bztczv11grmd,3757736059,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455824989,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-09-04T14:16:54.965Z,2022-09-04T14:16:58Z,3757998779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455824967,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-09-04T14:16:54.965Z,2022-09-05T03:29:09Z,3757998671,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825045,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.1,49.9,2022-09-04T14:16:55.138Z,2022-09-05T10:44:05Z,3757999075,213,2.2,3757999067,56,Back,3757999077,279,S,3760125063,178,,3757999073,212,2.6,3757999069,140,48.7,3757999071,141,53.0,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825049,4,1,1,0,1,3czravw89omgc9o4s0w3l1bg5,1,48.7,53.1,2022-09-04T14:16:56.229Z,2022-09-05T04:51:44Z,3760125071,178,,3757999113,141,63.6,3757999115,212,18.4,3757999109,56,Back,3757999117,213,2.7,3757999111,140,32.6,,,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825071,5,1,1,0,3,3czravw89omgc9o4s0w3l1bg5,1,32.2,62.7,2022-09-04T14:16:58.356Z,2022-09-05T04:51:54Z,3757999233,212,18.5,3757999235,213,4.7,3757999227,56,Back,3760125131,178,,3757999229,140,31.3,3757999231,141,35.6,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825099,6,1,1,0,5,3czravw89omgc9o4s0w3l1bg5,1,31.3,35.6,2022-09-04T14:17:00.594Z,2022-09-05T04:52:07Z,3757999351,213,0.4,3757999343,56,Back,3757999345,140,42.0,3757999347,141,43.4,3757999349,212,12.4,3760125231,178,,,,,,,,9d5h5wxf44qu4fw3jk2pgis16,Dani Vivian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825151,7,1,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,42,43.4,2022-09-04T14:17:01.262Z,2022-09-05T04:52:17Z,3760125805,178,,3757999699,140,35.7,3757999701,141,31.4,3757999705,213,4.0,3757999697,56,Back,3757999703,212,10.5,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455825211,8,1,1,0,11,3czravw89omgc9o4s0w3l1bg5,1,42.1,34.4,2022-09-04T14:17:06.146Z,2022-09-05T04:52:23Z,3758000063,56,Back,3758000065,140,34.1,3760125899,178,,3758000067,141,71.6,3758000071,213,1.9,3758000069,212,26.7,,,,,,,9d5h5wxf44qu4fw3jk2pgis16,Dani Vivian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
