id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value
2481594567,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-11-05T11:40:01.910Z,2022-11-05T11:43:55Z,3894805063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894805069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894805057,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3894805067,197,1579,3894805059,59,"13, 9, 21, 6, 23, 2, 20, 5, 10, 19, 11, 1, 4, 7, 8, 14, 15, 16, 22, 27, 17",3894805055,30,"vota9gwygxp3wc998tl7ldxx, 5l6e9nd0defapk1w2ucndowr9, 5lzbyj5i0cotpry4gneap8c89, cue88fm1v1ysfuwhql68czydx, 32sds4yk7ch30mng0gyzhdk9h, 9see13i1f0n1ju4uhs8sijutx, dkv5svrbfiq996qchro44dfpx, ch1lxxbn01at4jmkafy4uevh1, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, eiqt71z69beq7akuhot0foset, 1f2t5vsayiiluw330yiw4ft1x, qg0ok4244nmslpvxnoj6zn8q, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, 8lg4tqh5bepeexbhghyr7pze2, 2o3bka7gokfjkej1f600ovbo5, aso41hpuq5oh825n83boc5x0q, 1p6ccbu8hzugj05qtea21rw7p, 5mj2vxkh3pmkbwj139mp93n4l, entqiwoor6dhwqcg5s82krfth",3894805065,194,9see13i1f0n1ju4uhs8sijutx,3894805061,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481595873,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-11-05T11:42:27.476Z,2022-11-05T11:42:27Z,3894811775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894811769,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3894811763,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3894811773,197,1511,3894811765,59,"1, 23, 22, 24, 3, 32, 10, 8, 9, 7, 14, 4, 6, 11, 13, 15, 16, 17, 18, 19, 20, 21, 36",3894811767,130,2,3894811771,194,7s0xu9z5egw0sjf8qibdwa6s5,3894811761,30,"el98wqtf7w1ap9ei2bxqwtx3p, 6pfbtlfphouu35kbwjiavwgyd, 2qauzcv74cd8uqfv2ibl52ymt, aabvyjqpd63os1yzthx8ej6c5, 9wozklkj2p3a83j51p27a59ed, 8nbnru9t2qxaotxw0hiaocdt5, bpvxqbiu11k4ivohi3798kxxx, 7s0xu9z5egw0sjf8qibdwa6s5, 3ia1z3fooszynz9a81dn17oid, wwdfv8zkkgplnpbz12pv8frp, 92b22xcwri3rokbvu09htjhwq, 9c2cfavuofg0yz3307nkgi0ut, 2rn90c44nbr991vxlj2nmwxqt, cn3ocv5r0d0un0no4wlxl5y39, cfm1cx3wneiqljgyv0tthp0ph, a8ws0c0qiekoeqib6xxet0ixh, 8wh06x3xb8duroz673s3c43x1, 9rm0qaumcii8d9zqxkh9nq4lx, 3r9gdse50kyeq9ya1o3ul0e6t, 6ub3gmmh58vvk9yk3f0osmp5h, 91lln39q4rzbp8z000p0evn4l, d2z22er0uqxu3w3h3ta36wh61, 4zve4017u2i3zvxlnjruv25t5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481649039,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-11-05T13:02:11.181Z,2022-11-05T13:02:13Z,3895074541,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481649007,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-11-05T13:02:11.181Z,2022-11-06T01:28:22Z,3895074387,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481649069,3,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,49.9,49.9,2022-11-05T13:02:11.244Z,2022-11-06T02:25:33Z,3897945085,178,,3895074695,212,13.8,3895074701,213,3.2,3895074691,141,48.4,3895074683,56,Back,3895074703,279,S,3895074687,140,36.8,,,,dkv5svrbfiq996qchro44dfpx,N. Maksimović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481649087,4,1,1,0,2,1n1j0wsl763lq7ee1k0c11c02,0,37,49.6,2022-11-05T13:02:13.744Z,2022-11-06T02:25:46Z,3895074765,155,,3895074775,213,0.6,3895074771,141,78.2,3895074767,56,Center,3895074773,212,32.5,3895074769,140,61.8,3895074777,1,,3897945311,178,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481649111,3,1,1,0,5,82q9159y2u7mkfn3z6hy75r4o,0,34,18.2,2022-11-05T13:02:16.836Z,2022-11-06T02:26:07Z,3895074877,56,Back,3895074879,140,38.3,3895074883,212,7.9,3895074875,3,,3895074885,213,1.0,3895074881,141,27.7,3897945741,388,,,,,bpvxqbiu11k4ivohi3798kxxx,T. Bongonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481652245,27,1,1,0,6,1n1j0wsl763lq7ee1k0c11c02,1,62.2,70.6,2022-11-05T13:02:17.956Z,2022-11-06T02:26:17Z,3895090009,213,1.3,3895090007,212,14.7,3897945943,178,,3895089999,140,66.0,3895090005,141,91.4,3895089995,56,Left,,,,,,,dkv5svrbfiq996qchro44dfpx,N. Maksimović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481655253,38,1,1,0,10,1n1j0wsl763lq7ee1k0c11c02,1,57.4,80.2,2022-11-05T13:02:21.863Z,2022-11-06T02:26:21Z,3895104647,213,3.6,3895104643,141,75.4,3895104639,56,Center,3895104645,212,7.5,3895104641,140,51.0,3897946007,178,,,,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481653303,32,1,1,0,12,1n1j0wsl763lq7ee1k0c11c02,1,45.4,66,2022-11-05T13:02:24.171Z,2022-11-06T02:26:36Z,3895094945,56,Back,3895094953,213,4.5,3897946277,178,,3895094951,212,26.5,3895094947,140,41.0,3895094949,141,27.7,,,,,,,ch1lxxbn01at4jmkafy4uevh1,Luis Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
