id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value,assist
2473046667,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-16T15:21:32.800Z,2022-10-16T16:39:09Z,3850005173,197,16505,3849657585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849657583,194,7xmaybxu4zd5k338bi3drkxcl,3849657581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849657573,30,"6wfwy94p5bm0zv3aku0urfq39, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, adi6l78sdvet408eho4fi4xk9, 2rqxh5mex336ci45jaw428y5l, 6810qbng9pfg1bztczv11grmd, 6msjsxuolz1yhmongz6swkno5, 7xmaybxu4zd5k338bi3drkxcl, d67qj0sakwrfzbscleo4dbget, e5qp6dh1prc55llew51zpy1gp, 8qvqdjw1d58mw7420lpmk7bah, 5f8kjgsaabn2li5r7bvpebbsa, 74wjzeja92l4q8fpy1bkmcsfd, 91te5xuankrla4g3s7as3htxx, bjzhwuehd7jzlbh04129h2w9h, cspjsye2x9pmnvdxjmghwnyi2, agd2nhvdhp18dg1weape5olpl, 7h0b81yjiiu356rycsakgd0yc, 6gy8t82tqi12q2odz974xcbh0, 4ho3e7wi6z5tq8g87l8tjtwtm",3849657575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849657577,59,"13, 2, 14, 12, 5, 4, 22, 10, 9, 7, 20, 1, 6, 8, 16, 21, 25, 26, 28, 30",3849657579,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473049125,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-16T15:24:02.606Z,2022-10-16T16:33:16Z,3849670391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849670393,59,"1, 18, 12, 17, 5, 3, 4, 8, 7, 21, 10, 6, 9, 14, 16, 20, 24, 31, 32, 39",3849670395,130,4,3849670397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849670399,194,74gwlzg12wr9pkwmdh9xpa505,3850000201,197,273,3849670401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849670389,30,"74gwlzg12wr9pkwmdh9xpa505, 3zyib6lm9w7bi6lbek5m0dbrp, 7v5zw48zp3pxd39q1i2qmul79, b6rbjpzuq9vo9kdil1tlyl2ad, 9f83clp1v95kvlxdb376tgbth, 8vdhfk7vik10ia4uv8zh1lbyt, 66t7zm54jgmcjtiizl9g0rkkp, 234yd91ki5snm5wipuxzogkp, 25txz41mi9auu289jliapd6tx, 46gpq48n4d5bntwa8v2t78hcl, 2z101tpx36mno6neclyrym8yd, 1whtyw1adggpz4j1xp7sjbeg9, cj24ptt1lvwh7hakewqydobf9, bqckicfyy7s8vqugcwwvwp5n9, 1jffh172t15s6ws7nou0fc251, 458bvyiuixqgsysikrpoirxlh, 3fatiz92fyc3cn91ca11i0iqd, d8om2m3knmfqt17u5emlapi50, b64ooee68x644gdibifgssrh0, 9tp35qqu1heburu0g5wa6jv56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473111981,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-16T16:31:38.677Z,2022-10-17T07:43:39Z,3850005461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473111971,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-16T16:31:38.677Z,2022-10-16T16:31:38Z,3850005391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112031,3,1,1,0,0,4jelr92fsge73q39is6qvhxb3,1,50.4,50,2022-10-16T16:31:38.806Z,2022-10-17T08:10:19Z,3850005689,140,39.0,3850005687,56,Back,3850005697,279,S,3850005695,213,3.8,3851827221,178,,3850005693,212,15.3,3850005691,141,36.1,,,,25txz41mi9auu289jliapd6tx,Sergio León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112035,4,1,1,0,2,4jelr92fsge73q39is6qvhxb3,1,39,36.1,2022-10-16T16:31:40.750Z,2022-10-17T08:10:23Z,3850005727,213,4.7,3850005723,212,21.0,3850005721,141,5.2,3851827331,178,,3850005715,56,Back,3850005717,140,38.0,,,,,,,b6rbjpzuq9vo9kdil1tlyl2ad,Roque Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112209,5,1,1,0,4,4jelr92fsge73q39is6qvhxb3,1,38,5.2,2022-10-16T16:31:43.658Z,2022-10-17T08:10:28Z,3850006645,213,0.0,3851827477,178,,3850006641,141,5.5,3850006643,212,8.0,3850006639,140,45.6,3850006637,56,Back,,,,,,,3zyib6lm9w7bi6lbek5m0dbrp,Escudero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112217,6,4,1,0,8,4jelr92fsge73q39is6qvhxb3,1,41.4,8.4,2022-10-16T16:31:47.505Z,2022-10-17T08:10:35Z,3850006687,56,Back,3850006689,152,,3850006721,233,3,3850006685,13,,3850006693,286,,3850006691,265,,,,,,,,46gpq48n4d5bntwa8v2t78hcl,Iván Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112145,3,4,1,0,8,c8llrezkm3b3op4afrou6b487,0,58.6,91.6,2022-10-16T16:31:47.506Z,2022-10-17T08:10:34Z,3850006337,285,,3851827591,178,,3850006331,152,,3850006333,265,,3850006753,233,6,3850006329,56,Left,3850006327,13,,,,,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473112373,7,1,1,0,25,4jelr92fsge73q39is6qvhxb3,1,37.4,14.5,2022-10-16T16:32:03.902Z,2022-10-17T08:11:16Z,3850007589,152,,3850007587,5,,3850007599,213,0.5,3850007597,212,6.1,3850007595,141,18.7,3850007593,140,42.5,3850007591,56,Back,3851827643,178,,3zyib6lm9w7bi6lbek5m0dbrp,Escudero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
