id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2454762731,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-09-03T10:59:39.717Z,2022-09-03T11:54:25Z,3752432445,194,8xd59g0c36012q6mg5f2fl239,3752432441,130,13,3752432447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752616921,197,16543,3752432435,30,"4wbwcfbeokv5j4nuudbxgaw2d, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, 8xd59g0c36012q6mg5f2fl239, 4o0ei8wawffrg2hvnbmcxipxx, 39dgr8s91agremy3nvp4q2221, cuqawmfekh86mgo758udxw7v9, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, 9iwptrplnmwst5nfimyuqekq2, bqmhsb2bsuuuijw2ci39l01k9, 8ikm0hxyz2qaonz3qmynu0xqt, 2y9jp3hak8dnf8cavdqrx1cyd, 2do89l8kf9yuelzq1b5mo549h, eavhyxb9dfjh0jp5yzg8p8udx, 3xxwjf3ymu1j9825xjuwuknah, ay89se5rytzay8md0yeadykq2, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, 618ct0ti4q9ksggep1allpmac, 25h51j4zz5m180na6sy5ybbpw, eonkaqrhhxzaa3nt0iena4us",3752432443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752432439,59,"1, 4, 3, 15, 5, 22, 18, 14, 9, 19, 17, 2, 10, 12, 13, 16, 20, 25, 26, 32, 33, 36",3752432437,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454763881,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-09-03T11:02:29.185Z,2022-09-03T12:01:50Z,3752437383,194,9dewnn65ylruq567thg7ebqhh,3752437373,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 2td3iejdken4orcduqrdutrhm, 4uuvyzac4sd4ysjpv9eng1d5h, 3pwr7lqvo4o08c4nvzqpuue39, 8b3igmuipfhfzm39ack89de96, 9e7b5cm66oxf26fmp33yuppsl, esk1w6ycz34w1r3te22shohrd, 7ubtan6a51o79w469zawrqqqd, cjtqtr93yjd3ee7tslzi1bd9l, 3h58t56r9if0oh4qd3gz1wfrp, 2wdjbfzaiokiawrbn5wzsx61h, 6v5jjz9ryqacsd8vovugvlsyd, 9n447dc5s8na89g3ovx9zvbv9, ew9uk1caw2zx4qkxj3vb02kx6, 6939qujfav8wf66i6ae3rbnfu, 5qh2kdatvb03o8oiqvkaaxje2, da4isu80fnw6rmv53gbjv8qcq, 4rcsvuxnotyjoo72f8okudh5g",3752625587,197,348,3752437375,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752437385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752437381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752437377,59,"1, 15, 18, 6, 21, 24, 10, 16, 7, 19, 14, 3, 4, 5, 8, 9, 11, 20, 29, 30, 31, 33, 34",3752437379,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454803945,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-09-03T12:01:05.532Z,2022-09-03T12:01:05Z,3752632659,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454803955,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-09-03T12:01:05.532Z,2022-09-04T03:12:25Z,3752632691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454803977,3,1,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,50.4,49.9,2022-09-03T12:01:05.602Z,2022-09-04T03:45:48Z,3752632851,279,S,3752632843,140,32.7,3756713691,178,,3752632845,141,46.6,3752632841,56,Back,3752632847,212,18.7,3752632849,213,3.3,,,,2td3iejdken4orcduqrdutrhm,Antonio Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454804001,4,1,1,0,2,50x1m4u58lffhq6v6ga1hbxmy,1,32.7,46.6,2022-09-03T12:01:07.766Z,2022-09-04T03:45:50Z,3756713711,178,,3752632973,141,45.8,3752632969,56,Back,3752632971,140,46.2,3752632975,212,14.2,3752632977,213,6.2,,,,,,,4uuvyzac4sd4ysjpv9eng1d5h,R. Battaglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454805183,13,1,1,0,3,50x1m4u58lffhq6v6ga1hbxmy,1,51.5,53.7,2022-09-03T12:01:08.772Z,2022-09-04T03:45:57Z,3752638637,141,43.9,3752638633,56,Center,3756713947,178,,3752638639,212,6.7,3752638641,213,4.8,3752638635,140,52.1,,,,,,,2td3iejdken4orcduqrdutrhm,Antonio Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455610843,1030,43,1,0,3,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-09-03T12:01:08.778Z,2022-09-04T07:03:37Z,3756905249,178,0,3756905359,144,82,,,,,,,,,,,,,,,,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454804013,5,1,1,0,4,50x1m4u58lffhq6v6ga1hbxmy,0,52.8,44.5,2022-09-03T12:01:09.837Z,2022-09-04T03:46:00Z,3752633033,213,1.0,3756714023,178,,3752633027,140,77.4,3752633029,141,100.0,3752633035,1,,3752633031,212,46.1,3752633021,155,,3752633025,56,Left,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454804007,3,5,1,0,6,7h7eg7q7dbwvzww78h9d5eh0h,1,21.6,-1.6,2022-09-03T12:01:12.327Z,2022-09-04T03:46:01Z,3752633081,233,6,3752632999,347,,3752632997,56,Back,,,,,,,,,,,,,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
