id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/15/value,qualifier/14/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2521080361,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-03-17T18:55:29.172Z,2023-03-17T20:01:54Z,4103185189,197,273,4102893613,59,"13, 27, 18, 4, 5, 15, 11, 8, 25, 21, 10, 2, 6, 7, 12, 24, 31, 32, 39, 44",4102893621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102893617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102893609,30,"5vyiq10fusxvrx4tajz9lmg9h, dka9aakcyyvh98m2uhkvs6qz8, 3zyib6lm9w7bi6lbek5m0dbrp, 66t7zm54jgmcjtiizl9g0rkkp, 9f83clp1v95kvlxdb376tgbth, 81egd7oua1lfq2j8lke5z0ueh, 2z183ceh099zdd3wq5fvs1aay, 234yd91ki5snm5wipuxzogkp, 3rrges782prcprsn207dk4zit, 46gpq48n4d5bntwa8v2t78hcl, 2z101tpx36mno6neclyrym8yd, d8v7fh30bn0rbhj0lgn1j17th, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, 7v5zw48zp3pxd39q1i2qmul79, 3fatiz92fyc3cn91ca11i0iqd, d8om2m3knmfqt17u5emlapi50, b64ooee68x644gdibifgssrh0, 9tp35qqu1heburu0g5wa6jv56, dacjsyu4cr4wetpsiz5vxe6ms",4102893615,130,8,4102893619,194,2z101tpx36mno6neclyrym8yd,4102893611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521081645,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-03-17T18:57:46.935Z,2023-03-17T20:11:58Z,4103167683,197,12043,4102900463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102900451,30,"1tctbwsidibct7wphjgv8mdm2, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, ddvvwqxpsqqboupi3gx1ijhed, 1rjzsyc8yt25tyelzg820if2t, 3tzvbdszdrj1tayik9igbve8l, dfcbvsb7o18lavmonbp5ucwoa, 66jotyvbhtz5cjvhbby6luelm, 9d5h5wxf44qu4fw3jk2pgis16, do5tibysnhbnbw18nwdo39kut, 81png9xvfr224o03vaksp6aqd, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",4102900459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102900461,194,e9wu8g45hq2c1vp07jktx0set,4102900455,59,"13, 18, 17, 6, 5, 4, 9, 14, 12, 8, 11, 3, 7, 10, 16, 19, 21, 22, 24, 31, 35",4102900457,130,8,4102900453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135495,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-03-17T20:01:24.889Z,2023-03-17T20:01:25Z,4103183423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135533,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-03-17T20:01:24.889Z,2023-03-18T04:56:14Z,4103183589,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135541,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.1,49.9,2023-03-17T20:01:25.414Z,2023-03-18T05:22:19Z,4103183653,279,S,4103183649,212,2.6,4103916669,178,,4103183645,140,52.5,4103183647,141,48.8,4103183651,213,6.0,4103183643,56,Center,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135573,4,1,1,0,3,3czravw89omgc9o4s0w3l1bg5,1,53.8,44.6,2023-03-17T20:01:28.081Z,2023-03-18T05:22:24Z,4103916777,178,,4103183831,140,44.6,4103183829,56,Back,4103183833,141,29.0,4103183837,213,4.0,4103183835,212,14.3,,,,,,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135631,5,1,1,0,7,3czravw89omgc9o4s0w3l1bg5,1,47,31.3,2023-03-17T20:01:32.121Z,2023-03-18T05:22:28Z,4103184151,1,,4103184143,140,98.4,4103916849,178,,4103184147,212,55.7,4103184145,141,11.3,4103184149,213,6.0,4103184141,56,Right,4103184139,155,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135643,6,1,1,0,11,3czravw89omgc9o4s0w3l1bg5,0,98.6,12,2023-03-17T20:01:36.510Z,2023-03-18T05:22:34Z,4103184189,141,38.6,4103184181,2,,4103184187,140,96.4,4103184185,56,Center,4103184193,212,18.2,4103603933,387,,4103916999,178,,4103603931,225,,e9wu8g45hq2c1vp07jktx0set,De Marcos,4103603935,20,4103184183,155,4103184195,213,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135689,3,12,1,0,12,4jelr92fsge73q39is6qvhxb3,1,6.2,61.2,2023-03-17T20:01:37.248Z,2023-03-18T05:22:39Z,4103184433,167,,4103917097,388,,4103184373,140,0.0,4103184377,212,10.3,4103184375,141,70.5,4103184379,213,2.5,4103184371,56,Back,4103184533,15,,81egd7oua1lfq2j8lke5z0ueh,J. El Yamiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521135693,4,6,1,0,13,4jelr92fsge73q39is6qvhxb3,0,0.9,62.8,2023-03-17T20:01:37.941Z,2023-03-18T05:22:45Z,4103184495,233,7,4103184405,73,,4103184403,56,Back,,,,,,,,,,,,,,,,81egd7oua1lfq2j8lke5z0ueh,J. El Yamiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
