id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2478555063,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-10-29T10:47:56.236Z,2022-10-29T12:00:59Z,3878800887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3878800891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3878800889,194,cs2yx3hiqjsb4i5ul2r5kmdat,3878800885,130,21,3879015379,197,17362,3878800879,30,"c1b9p5bk8hfyw0bi6thva0lw5, c3sl9ajm4q424r4u37iath3hl, 40gxfsz7bgrkdudqewlpxzyzt, e3czx0nsuw10acnftbr8ud0bt, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, 37b6tzaexinmfadvi4you5wmi, cs2yx3hiqjsb4i5ul2r5kmdat, 2ge9oa66xgsefhhpvuboua76x, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 59ndqnsvggsoek170rdqyd1w5, 9g4devlvymukexrvfgkipd6tx, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 3sy16pz110zmyq073ao24l1ck, 9ksvo095xi2t4q4pvgxa836z8",3878800881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3878800883,59,"1, 3, 17, 8, 15, 4, 7, 28, 10, 18, 5, 9, 11, 13, 14, 19, 20, 26, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478555687,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-29T10:50:31.241Z,2022-10-29T12:28:04Z,3878803991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3878803987,194,1htx8ub2kxvq0vnzarbrynyt,3878803975,30,"c3secspt4xvu1q4g6aonn7zyt, 9bbu1yne0l9j862yodiuldw4p, azzdqp6lcd4g9d4jy55pz0549, 1htx8ub2kxvq0vnzarbrynyt, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 3cu2brlp37h4u00mm5n4hb651, 5rabxq8qyxf2q2ak506xim9rd, e6ok0deqkoe80184iu509gzu2, 6kpscy08tl4fkie4w4hl49n11, 63yktdky9m0aus8ebkaqzdhhx, bglk6tokkpgjltpzljp1p345x, 497cy3s5ck9f5h563c4aixfdg, 36lk52zhgyn11s1pax3y7wout, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 6mz6fzrfndfv7zpm38a6msmw9, 3flv9yp9x61ph57xugztva9nu, a5x0poaqzssg2yuou57qgyead, 1km9nvqz03yoj9cxpv127id7u, 8zvsos5fsrrf9aizqmyhtt9m",3878803979,59,"13, 24, 15, 6, 19, 22, 12, 5, 9, 3, 10, 1, 2, 4, 7, 8, 11, 14, 17, 18, 21, 23, 26",3878803983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3878803981,130,7,3878803977,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879016825,197,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598807,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-29T12:00:50.026Z,2022-10-30T03:25:31Z,3879020567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598831,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2022-10-29T12:00:50.026Z,2022-10-29T12:00:52Z,3879020675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598839,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50.1,50,2022-10-29T12:00:50.037Z,2022-10-30T06:36:18Z,3879020719,212,3.3,3879020717,141,51.6,3879020723,279,S,3879020721,213,2.8,3882569659,178,,3879020715,140,47.1,3879020713,56,Back,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598869,4,1,1,0,1,cobffe32r7g4skka9m19qib63,1,47,51.6,2022-10-29T12:00:51.802Z,2022-10-30T06:36:24Z,3879020885,213,4.2,3882569671,178,,3879020879,140,40.1,3879020883,212,14.9,3879020881,141,32.5,3879020877,56,Back,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598909,5,1,1,0,3,cobffe32r7g4skka9m19qib63,1,40.1,32.5,2022-10-29T12:00:53.364Z,2022-10-30T06:36:28Z,3882569897,178,,3879021085,213,2.8,3879021079,140,29.8,3879021083,212,11.6,3879021081,141,38.6,3879021077,56,Back,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598925,6,1,1,0,5,cobffe32r7g4skka9m19qib63,1,28.5,39.2,2022-10-29T12:00:55.681Z,2022-10-30T06:36:33Z,3879021165,212,21.2,3879021161,141,53.4,3879021157,56,Back,3882570063,178,,3879021159,140,10.5,3879021169,213,2.7,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598947,7,1,1,0,9,cobffe32r7g4skka9m19qib63,0,10.3,57.5,2022-10-29T12:00:59.273Z,2022-10-30T06:36:38Z,3879021251,1,,3879021247,212,36.1,3879021249,213,0.5,3882570175,178,,3879021243,140,40.6,3879021241,56,Back,3879021245,141,82.7,3879021239,155,,c3secspt4xvu1q4g6aonn7zyt,Fernando Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478598959,3,1,1,0,11,6f27yvbqcngegwsg2ozxxdj4,1,63.2,23.8,2022-10-29T12:01:01.914Z,2022-10-30T06:37:25Z,3879021305,56,Back,3879021303,3,,3879021309,141,17.9,3879021311,212,15.0,3879021313,213,3.4,3879021307,140,49.4,3882571053,388,,,,,64h0x8sur55l07oaiuog4v2z9,Carles Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
