id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2508732549,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-02-17T18:45:37.909Z,2023-02-17T23:47:38Z,4037608473,194,8xd59g0c36012q6mg5f2fl239,4037608465,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4037608467,59,"13, 4, 16, 18, 22, 15, 8, 14, 9, 24, 17, 1, 2, 5, 7, 12, 19, 23, 25, 26, 33, 36",4037608475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037608463,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 8xd59g0c36012q6mg5f2fl239, 3auwtiburdxrp2i5me2d97f11, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, 4o0ei8wawffrg2hvnbmcxipxx, 6navc0x6p4yqy76zyo3zocwr9, 2do89l8kf9yuelzq1b5mo549h, 9iwptrplnmwst5nfimyuqekq2, 9um7x9zd0e000zt57l3yearqh, cabhrleu1pd1z0aarmf1zgkwl, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw, eonkaqrhhxzaa3nt0iena4us",4037608469,130,2,4037812433,197,704,4037608471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508733453,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-17T18:47:59.862Z,2023-02-17T19:58:22Z,4037613329,194,1htx8ub2kxvq0vnzarbrynyt,4037613323,59,"13, 24, 15, 6, 19, 22, 5, 23, 16, 12, 10, 1, 2, 3, 4, 7, 8, 9, 11, 14, 18, 20, 21",4037613327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037613319,30,"c3secspt4xvu1q4g6aonn7zyt, 9bbu1yne0l9j862yodiuldw4p, azzdqp6lcd4g9d4jy55pz0549, 1htx8ub2kxvq0vnzarbrynyt, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 5rabxq8qyxf2q2ak506xim9rd, 1km9nvqz03yoj9cxpv127id7u, d1d3v27d4r6vme6n2w5umaacp, 3cu2brlp37h4u00mm5n4hb651, 63yktdky9m0aus8ebkaqzdhhx, cvcyevmxcd2ly0yoxi0djquol, 497cy3s5ck9f5h563c4aixfdg, 6kpscy08tl4fkie4w4hl49n11, 36lk52zhgyn11s1pax3y7wout, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, a5x0poaqzssg2yuou57qgyead",4037613331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4037613325,130,4,4037813025,197,16924,4037613321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774881,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-17T20:02:09.128Z,2023-02-17T20:02:09Z,4037822075,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774891,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-02-17T20:02:09.128Z,2023-02-18T04:27:14Z,4037822125,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774925,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,50.1,50.3,2023-02-17T20:02:09.164Z,2023-02-18T05:06:57Z,4037822259,56,Back,4037822267,213,3.0,4037822263,141,53.1,4037822269,279,S,4038527399,178,,4037822265,212,14.6,4037822261,140,36.3,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774941,4,1,1,0,2,7h7eg7q7dbwvzww78h9d5eh0h,1,36.5,53.6,2023-02-17T20:02:11.809Z,2023-02-18T05:07:02Z,4037822347,141,92.6,4038528181,178,,4037822335,155,,4037822343,140,70.9,4037822355,213,0.6,4037822339,56,Left,4037822353,212,44.8,4037822357,1,,39dgr8s91agremy3nvp4q2221,S. Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774951,5,1,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,0,70.9,92.6,2023-02-17T20:02:14.148Z,2023-02-18T05:07:07Z,4037822387,141,82.6,4037822389,212,7.8,4037822383,56,Left,4038528333,178,,4037822391,213,5.2,4037822385,140,74.6,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774957,3,49,1,0,5,cobffe32r7g4skka9m19qib63,1,27.3,15.6,2023-02-17T20:02:15.014Z,2023-02-18T05:07:11Z,,,,,,,,,,,,,,,,,,,,,,,,,9bbu1yne0l9j862yodiuldw4p,H. Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774979,4,1,1,0,5,cobffe32r7g4skka9m19qib63,0,27.3,15.6,2023-02-17T20:02:15.023Z,2023-02-18T05:07:16Z,4037822507,141,41.2,4037822509,212,21.2,4037822513,1,,4037822503,56,Back,4038528543,178,,4037822505,140,38.8,4037822511,213,1.0,4037822501,157,,9bbu1yne0l9j862yodiuldw4p,H. Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508774993,6,44,1,0,8,7h7eg7q7dbwvzww78h9d5eh0h,1,62,60,2023-02-17T20:02:17.524Z,2023-02-18T06:08:51Z,4037822603,233,5,4037822595,56,Center,4037822597,286,,,,,,,,,,,,,,,,,cuqawmfekh86mgo758udxw7v9,Oriol Romeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
