id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2468429065,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-10-07T17:46:53.345Z,2022-10-07T19:12:05Z,3825057113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3825057127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825350063,197,278,3825057119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825057115,59,"1, 2, 3, 7, 4, 23, 12, 22, 18, 6, 16, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20, 25, 31",3825057111,30,"amjegysk3et638l4od103c7o5, akjusy9dt1qd2fjhttviek6ol, 8ij122duxc65thlj8flk2xdjp, f4gpe0pxov8sea9e0fs24h8q2, 7ms6l8qho3p4jm1soleldqvv9, 94jrxsnf1ta2u65ommyge7bo5, 96cbv23es0gucmd2v0qvk3iwa, bpf2fcb73l96fwspo72shmkiy, 4l2rgx65vzgrrxorbc1edq8yd, d3pdr28q2n295ldry2lc1uklx, 5t2ngljfiapcn98qlnbifg53p, 3o41frgi9jxrms6rvc6ml1plh, cuxm7t8cql3v06hqf18wvcul1, e5d9nvrs4l1kvcosvnrb2mor9, 2zcha0sd7axiu2s2c0bccz2s5, 8ktlzedieskw7pjsgatlac4q1, 9xbo6c8uq29ueuyinngjjiaj9, 1vupjbihmf0b4gzjskmrmptqt, 946z96r5q70ryslp3hlhafnx1, eqw6fu3no9qxejk17tqgeey5m, d34tmogp5h4rwuo3pcxtwp0fe, 15no5m0njma23gf0ygu9agt05, 5b9awsil5bgqrsc13xsoj35nu",3825057123,194,7ms6l8qho3p4jm1soleldqvv9,3825057117,130,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468430013,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-10-07T17:48:46.705Z,2022-10-07T19:01:50Z,3825062379,194,5b1q9bpe23j98eoy4fwi7ld5h,3825062373,59,"25, 2, 14, 6, 24, 12, 9, 8, 7, 18, 16, 1, 3, 4, 5, 13, 15, 19, 20, 21, 29, 33",3825062369,30,"20o2dr1mdk18xhxmkujzgak89, 8vmrboswsfyb5bfoq07s6susp, 5b1q9bpe23j98eoy4fwi7ld5h, e7del0ovpcpntqdgh8idxok4p, 5uig03vbbv71f0q31cp3vfbv9, eucssbf7wamb41y1gixfodivp, 5qgc6zjc38a5xjl35gs7h3vu1, 64ctdbd0w5ikj0fkcuu9jdbhm, afyga3n1mliw0btcuixt6xolx, 9dc4qkvh0vk5kwymibji00kp, 7yngrviue4iji7w0f9ql07j6x, 23zkmpw4902qf9xvd8z5wptcl, f1e3gi3dx3er2vz7loriw6e39, b2e12l3s3dxgyr8d2rk5qb9ey, 96w1jlcwuci7kqqfskfsp6191, bqrz2xmu25taby17bl7cycjqh, csqsdjsa4leo6z86qphjuectm, 7yieh5r0uzk6d6x9o060c2bfu, wlqj34ev5mucxtfx6j4tr9at, d6kzekcwqw0q8fq6wt6rmyusq, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8",3825062381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825062377,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825356775,197,1597,3825062375,130,2,3825062371,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483821,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2022-10-07T19:00:17.368Z,2023-03-09T20:23:54Z,3825350997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483781,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2022-10-07T19:00:17.368Z,2022-10-07T19:00:17Z,3825350835,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483841,3,1,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,50,50,2022-10-07T19:00:17.384Z,2022-10-08T04:23:26Z,3825351111,141,63.4,3825351115,213,2.6,3825351107,56,Back,3825351117,279,S,3825351113,212,19.1,3825981481,178,,3825351109,140,34.0,,,,afyga3n1mliw0btcuixt6xolx,E. Cavani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483855,4,1,1,0,4,ba5e91hjacvma2sjvixn00pjo,1,34.3,72,2022-10-07T19:00:21.772Z,2022-10-08T04:23:32Z,3825981495,178,,3825351197,212,25.8,3825351195,141,73.3,3825351191,56,Center,3825351199,213,0.0,3825351193,140,58.9,,,,,,,eucssbf7wamb41y1gixfodivp,M. Diakhaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483875,5,1,1,0,5,ba5e91hjacvma2sjvixn00pjo,1,58.9,73.3,2022-10-07T19:00:22.808Z,2022-10-08T04:23:37Z,3825351307,141,90.2,3825351311,213,2.2,3825351305,140,50.9,3825351309,212,14.2,3825981561,178,,3825351303,56,Left,,,,,,,7yngrviue4iji7w0f9ql07j6x,Samuel Lino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483911,6,1,1,0,7,ba5e91hjacvma2sjvixn00pjo,0,52,91.4,2022-10-07T19:00:25.168Z,2022-10-08T04:23:43Z,3825981585,178,,3825351527,213,6.2,3825351519,56,Left,3825351525,212,40.7,3825351521,140,90.7,3825351529,1,,3825351523,141,89.1,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483909,3,49,1,0,11,2l0ldgiwsgb8d6y3z0sfgjzyj,1,10.7,12.3,2022-10-07T19:00:28.871Z,2022-10-08T04:23:58Z,,,,,,,,,,,,,,,,,,,,,,,,,akjusy9dt1qd2fjhttviek6ol,Nacho Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468483943,4,1,1,0,12,2l0ldgiwsgb8d6y3z0sfgjzyj,0,9.8,11.1,2022-10-07T19:00:30.225Z,2022-10-08T04:24:02Z,3825351691,213,5.8,3825351683,56,Back,3825981661,178,,3825351689,212,18.9,3825351693,1,,3825351681,157,,3825351685,140,25.9,3825351687,141,0.0,akjusy9dt1qd2fjhttviek6ol,Nacho Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
