id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2501472533,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-28T16:14:49.740Z,2023-01-28T17:32:17Z,3999384307,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3999384311,59,"13, 16, 19, 20, 22, 4, 21, 10, 15, 7, 5, 2, 6, 8, 11, 12, 14, 18, 24, 27, 29, 31, 36",3999384323,194,2mg2n8e1d83gbeykfwzz0fumt,3999384319,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999384327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999845153,197,260,3999384315,130,4,3999384305,30,"c9cp6fxbxyc2a3kfotkompxx, 2mg2n8e1d83gbeykfwzz0fumt, djal5dsafpnhip4lu0ait94np, 65osnocfqxv6mmpb69hm446ad, rlgrvvibryod2g92hqc97ii2, b25dws1pbgbxuwt09of8xpe51, 8n4f10q0l2wjhhfdkpp8kfzdh, depu0zp8jqcyv0jzf5r9yums5, 4bbqmasyopxoymo4umcxd4e09, 5c4ku1hmhy6l9dq8a5jp1qf9x, 8ty68f4i1lwjdktycd2oy5a6t, 1y74tse0vpdxanxf152cc8jjd, 6vvwhgic29fekmmj2cg62ytp1, 8ycvfctf7c3yljnbtltsogkph, 7atmb373dynu9s9gnl613ox5h, 4sojot9t32l4a6fm3e39xkcfd, 2lwjtphx3bkjty9sds520l1ey, 4gqnyyx3i92fayq6cxvekqwut, 8tlfkcnlf3dq1katqazub1i39, 6gtfe9aysdrcht4v2rluu0ley, 9nwkxgbl8t933pzu60ye4xxxw, 944mc5icxdleh4kvaamvpa9zo, 4b6a6kfczcu6k6u16qpplbx90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501477133,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-01-28T16:17:04.879Z,2023-01-28T17:33:38Z,3999408313,130,17,3999408317,194,e18oezz5jq7pf3h4azgv3ofrp,3999408309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3999408315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999408311,59,"13, 14, 2, 6, 3, 4, 21, 20, 9, 16, 10, 1, 5, 7, 8, 17, 19, 22, 23, 24, 28",3999844913,197,18013,3999408307,30,"36bg0k385i4wwarffp6ak1syd, ewu1skobmxtz4f3z6dbnfm6dx, 61j22wr5t5irba2v3v4l1rnro, 33r4ae8aivh27ho0ix9mnkedx, 2zn2o5lzchz7oattq9pnjr8wl, b69uny9udp3ab2zccwa0qnrh1, bkvvapojagxvj17nzk3oy8ct1, f0a2qk3jzxercn67bben5eled, 9ivrglgy0tibv881e1a93psr9, e18oezz5jq7pf3h4azgv3ofrp, 1ore4ght7ls393tcpbmah9dcl, c0pl96o1zkrgvukte9zefl591, elb74prcilvsqzn9jdznrjavp, eo74fl3ctgkwbpsa099rkv6xh, 8axw2xc0dl8vsdub6nq4nhjo5, ac5f9msbvijksbq5s2ivwh979, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, 7wjmaxqunpd84il1p5w4xwrmd, agmcwbzoertg4l8njpdai7kl, 8twklnbsk3tiyw713l06n340k",3999408319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560681,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-01-28T17:30:52.266Z,2023-01-28T17:30:52Z,3999853985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560693,3,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-28T17:30:52.266Z,2023-01-28T23:59:15Z,3999854035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560723,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,50,50,2023-01-28T17:30:52.302Z,2023-01-29T01:13:45Z,3999854209,212,7.6,4001123377,178,,3999854213,279,S,3999854205,140,45.3,3999854207,141,58.5,3999854211,213,2.3,3999854203,56,Back,,,,9ivrglgy0tibv881e1a93psr9,L. Boyé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560765,4,1,1,0,2,4yg9ttzw0m51048doksv8uq5r,1,44.9,61.1,2023-01-28T17:30:55.101Z,2023-01-29T01:13:53Z,3999854335,141,85.3,3999854331,56,Back,4001123691,178,,3999854339,213,2.3,3999854337,212,22.4,3999854333,140,30.4,,,,,,,f0a2qk3jzxercn67bben5eled,Gumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560835,5,1,1,0,6,4yg9ttzw0m51048doksv8uq5r,0,32.8,87.5,2023-01-28T17:30:58.751Z,2023-01-29T01:13:57Z,3999854665,141,65.7,3999854669,213,6.0,4001123789,178,,3999854661,56,Center,3999854671,1,,3999854659,155,,3999854663,140,88.5,3999854667,212,60.3,33r4ae8aivh27ho0ix9mnkedx,Bigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501560819,4,52,1,0,11,10eyb18v5puw4ez03ocaug09m,1,10.1,42.9,2023-01-28T17:31:03.289Z,2023-01-29T01:14:03Z,4001123961,178,,4000636543,377,,,,,,,,,,,,,,,,,,,,c9cp6fxbxyc2a3kfotkompxx,Y. Bounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501561009,5,1,1,0,23,10eyb18v5puw4ez03ocaug09m,1,11.6,51.9,2023-01-28T17:31:15.962Z,2023-01-29T01:14:14Z,3999855595,141,65.9,3999855587,56,Center,3999855603,213,0.2,3999855607,1,,3999855599,212,51.2,3999855591,140,59.5,3999855585,199,,,,,c9cp6fxbxyc2a3kfotkompxx,Y. Bounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501561013,6,61,1,0,25,10eyb18v5puw4ez03ocaug09m,0,60.9,66,2023-01-28T17:31:17.832Z,2023-01-29T01:14:24Z,4001124647,21,,4001124649,388,,3999855615,56,Center,,,,,,,,,,,,,,,,4bbqmasyopxoymo4umcxd4e09,Y. En-Nesyri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
