id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2518171193,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-03-11T11:52:50.083Z,2023-03-11T13:03:19Z,4087483085,59,"13, 2, 4, 12, 23, 24, 27, 15, 9, 10, 17, 1, 5, 6, 7, 14, 16, 18, 19, 20, 21, 22, 25",4087483089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087483093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087483083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087483087,130,2,4087649845,197,16505,4087483081,30,"bglk6tokkpgjltpzljp1p345x, 8rm2kkceowwtj3p0k6g7id0mi, 6810qbng9pfg1bztczv11grmd, adi6l78sdvet408eho4fi4xk9, cbhdq57m8kxdeqjf42z0i3rop, eyhvr45vc1n690dxobcthmndh, 4ypoy27moehhbiaf3o1bntht6, 32fnehcyqzc55h6auev06odwq, d67qj0sakwrfzbscleo4dbget, 7xmaybxu4zd5k338bi3drkxcl, 92pz9nafg5h4qeqpiw3011ihh, 5f8kjgsaabn2li5r7bvpebbsa, 2rqxh5mex336ci45jaw428y5l, 28psc296gj3umo59qqha8jil1, e5qp6dh1prc55llew51zpy1gp, 3nchjse4ej0qhilo395td7u1h, bjzhwuehd7jzlbh04129h2w9h, 9hz4s6zmelmg4ix47xbre3q3t, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, 6msjsxuolz1yhmongz6swkno5, agd2nhvdhp18dg1weape5olpl",4087483091,194,7xmaybxu4zd5k338bi3drkxcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518171329,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-03-11T11:53:23.190Z,2023-03-11T13:06:03Z,4087483741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087659775,197,239,4087483739,30,"6crmq7vzqts58wg196q48sc7p, 7oykphzczagr975xsqt70s89h, en2c7z1raqmcwee78297pbnu2, aipyotc87m5bdvmvizd5n69k9, 8wvkrrbqqthuwda8twg03yuax, 7o4nc6jwsi3quvnwinstqwyj9, diod1hv5hv7v7z7mfleev1txx, cdcbi6xmy0uts703489e0acb9, broq8imimhtlejtffissquy5m, 1i9wi65k2foqwudeqiyih87hl, b4witgokm49tidm1a83qcvbop, eihwzqtt27l2l8iu990h68edx, 54h69199gtsavspwblux98dsl, 127eg3g8ig8j7obxtyc2tl8t1, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, bf2pf3hs8gcvub4ivlve12ymt, i48mf81fxn2af1xxjzfi8gr9, 6fzbp94hf19ysotdassrqdc5x, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a, osme4gegtnhlldt4lsqf56ac",4087483747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087483743,59,"1, 2, 12, 18, 3, 6, 10, 8, 21, 15, 20, 5, 7, 11, 13, 16, 17, 19, 22, 24, 26, 39",4087483751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087483749,194,7o4nc6jwsi3quvnwinstqwyj9,4087483745,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518208921,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-03-11T13:02:10.117Z,2023-03-11T13:02:10Z,4087667333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518208931,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-03-11T13:02:10.117Z,2023-03-12T03:24:06Z,4087667377,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518208947,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,50.1,49.9,2023-03-11T13:02:10.273Z,2023-03-12T03:29:16Z,4087667465,212,26.1,4087667469,279,S,4087667463,141,64.8,4087667467,213,2.7,4087667459,56,Back,4091361239,178,,4087667461,140,27.2,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518209021,4,1,1,0,3,c8llrezkm3b3op4afrou6b487,1,29.2,63.3,2023-03-11T13:02:13.351Z,2023-03-12T03:29:20Z,4087667813,1,,4087667801,155,,4087667809,212,54.4,4091361431,178,,4087667811,213,5.8,4087667805,140,74.9,4087667807,141,25.5,4087667803,56,Center,eyhvr45vc1n690dxobcthmndh,Sergi Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518209031,5,44,1,0,6,c8llrezkm3b3op4afrou6b487,1,75.4,25.8,2023-03-11T13:02:16.913Z,2023-03-12T05:51:43Z,4087667867,233,3,4087667851,286,,4087667849,56,Center,,,,,,,,,,,,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518209005,3,44,1,0,6,3kq9cckrnlogidldtdie2fkbl,0,24.6,74.2,2023-03-11T13:02:16.914Z,2023-03-12T03:29:28Z,4087667747,285,,4087667745,56,Back,4087667899,233,5,,,,,,,,,,,,,,,,7o4nc6jwsi3quvnwinstqwyj9,Nacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518209051,6,1,1,0,6,c8llrezkm3b3op4afrou6b487,0,74.9,25.5,2023-03-11T13:02:17.104Z,2023-03-12T05:51:43Z,4087667957,213,1.5,4087667945,3,,4087667953,141,65.1,4087667949,140,77.5,4087667947,56,Center,4087667955,212,27.1,4091361919,388,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518209071,4,49,1,0,11,3kq9cckrnlogidldtdie2fkbl,1,23.4,25.5,2023-03-11T13:02:21.155Z,2023-03-12T05:28:25Z,,,,,,,,,,,,,,,,,,,,,,,,,7oykphzczagr975xsqt70s89h,Dani Carvajal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
