id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/16/value
2502031173,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-29T14:15:38.026Z,2023-01-29T15:18:04Z,4002312017,130,2,4002312025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002312019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002312013,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002312023,194,b9kfek16otvdorssn0wzkb36d,4002312015,59,"13, 16, 23, 6, 2, 22, 5, 24, 10, 8, 11, 1, 3, 4, 9, 17, 18, 19, 20, 21, 29, 36",4002312011,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, b9kfek16otvdorssn0wzkb36d, 548jzfl9higq44w9bgqvcjh05, am5gj5qg3gjtyhvwfnj8sjz6d, 3ga7qj3h3dbmqucxmaxhmrjdh, 9e7ybe0nsu3byq2tteey3zuy2, 6fdvv4zs5pl6qj7pp6tsp5iad, 716n1970vi9rvw5b4w9qmjfth, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, b6gclblu9lz3sstpla966ik7p, 58qeglyxdi7y8ttg8sddv8set, b37h0rc96jh4e34x6iru2plud, 40h47dhimsmeiury61w1ourx1, f30avgacyfz88ppw9mh8v57md, 46kq5653o302ebz4o5yzsss0l, 59234as8h70fejyfm7492np3p, 20m7tijt8jnedjd4x87olmaqd, c90gk99jn34wxtlad784hpnv8, e7ezci1jed1hnvdq8kf6lq3qi",4002586409,197,17281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502031687,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-01-29T14:16:02.385Z,2023-01-29T15:13:10Z,4002586865,197,278,4002314691,30,"15no5m0njma23gf0ygu9agt05, ao3iplhzj0tiu5uhte7vq7m96, d34tmogp5h4rwuo3pcxtwp0fe, d3pdr28q2n295ldry2lc1uklx, 94jrxsnf1ta2u65ommyge7bo5, 6dx2fxufm98xtdobuwppis34l, eqw6fu3no9qxejk17tqgeey5m, 5t2ngljfiapcn98qlnbifg53p, cuxm7t8cql3v06hqf18wvcul1, 9xbo6c8uq29ueuyinngjjiaj9, 96cbv23es0gucmd2v0qvk3iwa, amjegysk3et638l4od103c7o5, 8ij122duxc65thlj8flk2xdjp, 7ms6l8qho3p4jm1soleldqvv9, f4gpe0pxov8sea9e0fs24h8q2, 3o41frgi9jxrms6rvc6ml1plh, 2zcha0sd7axiu2s2c0bccz2s5, 946z96r5q70ryslp3hlhafnx1, 4l2rgx65vzgrrxorbc1edq8yd, bpf2fcb73l96fwspo72shmkiy",4002314703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002314699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002314693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002314701,194,6dx2fxufm98xtdobuwppis34l,4002314697,130,4,4002314695,59,"25, 35, 20, 6, 23, 5, 19, 16, 9, 14, 12, 1, 3, 4, 7, 8, 11, 17, 18, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502084767,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-29T15:14:35.271Z,2023-01-29T15:14:35Z,4002594417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502084847,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-01-29T15:14:35.271Z,2023-01-30T00:50:51Z,4002594805,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502084859,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50.1,50.1,2023-01-29T15:14:35.292Z,2023-01-30T05:37:48Z,4002594861,279,S,4004064869,178,,4002594851,141,60.2,4002594853,212,15.7,4002594857,213,2.7,4002594847,56,Back,4002594849,140,36.7,,,,3ga7qj3h3dbmqucxmaxhmrjdh,R. De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502084919,4,1,1,0,2,4ku8o6uf87yd8iecdalipo6wd,1,37.3,59,2023-01-29T15:14:38.227Z,2023-01-30T05:37:57Z,4002595171,141,3.5,4002595169,140,65.2,4002595167,56,Right,4002595163,155,,4004064965,178,,4002595173,212,47.8,4002595177,1,,4002595175,213,5.4,am5gj5qg3gjtyhvwfnj8sjz6d,Hermoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502084931,5,1,1,0,5,4ku8o6uf87yd8iecdalipo6wd,0,65.2,3.5,2023-01-29T15:14:40.665Z,2023-01-30T05:38:04Z,4002595221,56,Center,4002595219,155,,4002595225,141,34.3,4002595223,140,74.1,4002595229,213,1.2,4002595227,212,22.9,4004065061,178,,,,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502085043,3,1,1,0,7,2l0ldgiwsgb8d6y3z0sfgjzyj,1,28.8,62.9,2023-01-29T15:14:42.278Z,2023-01-30T05:38:17Z,4002595811,140,56.8,4004065187,178,,4002595805,157,,4002595815,212,36.1,4002595819,1,,4002595809,56,Left,4002595813,141,93.8,4002595817,213,0.6,94jrxsnf1ta2u65ommyge7bo5,Aridane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502085045,4,61,1,0,10,2l0ldgiwsgb8d6y3z0sfgjzyj,0,55.7,96.8,2023-01-29T15:14:46.190Z,2023-01-30T08:57:01Z,4004066151,178,,4002595823,56,Left,,,,,,,,,,,,,,,,,,,96cbv23es0gucmd2v0qvk3iwa,A. Ezzalzouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502085101,5,5,1,0,11,2l0ldgiwsgb8d6y3z0sfgjzyj,0,54.8,101.5,2023-01-29T15:14:46.977Z,2023-01-30T08:57:06Z,4002596053,347,,4002596051,56,Left,4002596403,233,6,,,,,,,,,,,,,,,,96cbv23es0gucmd2v0qvk3iwa,A. Ezzalzouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
