id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2493863013,2,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-12-29T14:48:46.068Z,2022-12-29T16:07:17Z,3959398485,59,"1, 20, 3, 21, 16, 19, 7, 6, 34, 8, 18, 2, 4, 9, 10, 12, 13, 15, 17, 22, 24, 28, 29",3959398489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959398493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959428775,197,16463,3959398487,130,8,3959398481,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, 1ho7koiegfhsuevuum2meibu2, lp63o37czdwete0smmu62k89, 533095rnz0k8mxqe6gzn0mfo5, 3ca7tqrdasmeop6ud9zot0wdl, b5rea5r4h8bclpenau2au142x, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 8eh38t4oyyt728co362f6uqqd, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 1p5trokpmvi15fii87mrawkb9, 4yzk41dkluqfxb8o3dbq06zqi, 9xwog4v0ij8m1vs7doi52li39, amt4voyjzhnvr55t08hzlw50q, u04ao1ldrjjesgqq52o7ghqt, 9zgqiq6ksmits5apgsfk2yyfp, c3rreq5bz6smx1ynf9zsune1h, e50ehbl0rdfs4ms26jtz1pic4, 6xohxbkjdcqw7zc7c272i1qfo",3959398491,194,676ehh6cwla4o9igey7qr1uqd,3959398483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493863065,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-12-29T14:50:46.236Z,2022-12-29T17:31:30Z,3959398743,197,704,3959398733,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3959398731,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, ay89se5rytzay8md0yeadykq2, 9um7x9zd0e000zt57l3yearqh, 27hwtukeqxh91ch1f3qr1it49, 2udtmz4lvh4vil16mxvo0j4l, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 6navc0x6p4yqy76zyo3zocwr9, 20ebw399jhbq0i5x2eacrrs6i, 2y9jp3hak8dnf8cavdqrx1cyd, 8tnz3pqkqdhbr08p96i9w8i96, 2do89l8kf9yuelzq1b5mo549h, c320492cbp1otejfp1i1oane1, 1acqdy7jz9v4i1jwf5u809byt, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw, 2imwi9csq62zol9a3f9gl711w",3959398741,194,2udtmz4lvh4vil16mxvo0j4l,3959398735,59,"13, 4, 3, 18, 22, 5, 20, 23, 9, 14, 17, 1, 7, 8, 10, 11, 12, 21, 24, 25, 26, 33, 34",3959398739,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959398745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959398737,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869811,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-12-29T16:00:13.136Z,2022-12-30T03:07:39Z,3959436985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869813,3,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2022-12-29T16:00:13.136Z,2022-12-29T16:00:17Z,3959436993,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869815,4,1,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,49.9,50.1,2022-12-29T16:00:13.211Z,2022-12-30T04:10:37Z,3960315545,178,,3959437003,213,3.3,3959436997,140,40.9,3959437005,279,S,3959436995,56,Back,3959436999,141,47.2,3959437001,212,9.7,,,,676ehh6cwla4o9igey7qr1uqd,Ó. Trejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869817,5,1,1,0,1,3budh3j9xivsid3ptm8ptpy4k,1,38,48.1,2022-12-29T16:00:15.044Z,2022-12-30T04:10:50Z,3959437023,212,10.9,3959437019,140,42.0,3960315575,178,,3959437017,56,Back,3959437025,213,5.1,3959437021,141,33.3,,,,,,,b5rea5r4h8bclpenau2au142x,Santi Comesaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869825,6,1,1,0,2,3budh3j9xivsid3ptm8ptpy4k,1,42.6,33.7,2022-12-29T16:00:15.283Z,2022-12-30T04:10:55Z,3959437065,212,13.1,3960315595,178,,3959437053,56,Back,3959437061,141,24.1,3959437057,140,31.8,3959437071,213,3.7,,,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869835,7,1,1,0,4,3budh3j9xivsid3ptm8ptpy4k,0,32.9,23,2022-12-29T16:00:18.130Z,2022-12-30T04:12:47Z,3959437091,140,56.2,3959437097,213,5.7,3959437095,212,29.6,3959437093,141,0.0,3959437087,155,,3960315961,178,,3959437089,56,Right,,,,1ho7koiegfhsuevuum2meibu2,P. Ciss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869849,3,5,1,0,5,7h7eg7q7dbwvzww78h9d5eh0h,1,42.9,101.8,2022-12-29T16:00:18.912Z,2022-12-30T04:13:04Z,3959437161,347,,3959437163,233,8,3959437159,56,Back,,,,,,,,,,,,,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493869837,8,5,1,0,5,3budh3j9xivsid3ptm8ptpy4k,0,57.1,-1.8,2022-12-29T16:00:18.912Z,2022-12-30T04:13:05Z,3959437101,347,,3959437167,233,3,3959437099,56,Right,,,,,,,,,,,,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
