id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/11/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value
2514947657,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-03-04T11:54:52.261Z,2023-03-04T12:59:27Z,4070399493,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070399503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070594119,197,1579,4070399499,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070399501,194,9see13i1f0n1ju4uhs8sijutx,4070399491,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5l6e9nd0defapk1w2ucndowr9, 2o3bka7gokfjkej1f600ovbo5, cue88fm1v1ysfuwhql68czydx, 9see13i1f0n1ju4uhs8sijutx, dkv5svrbfiq996qchro44dfpx, aso41hpuq5oh825n83boc5x0q, b64p21hmhsqgrn6n04mk00zpx, 52e2ogoex674bz6pcwluapdxx, entqiwoor6dhwqcg5s82krfth, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, qg0ok4244nmslpvxnoj6zn8q, ch1lxxbn01at4jmkafy4uevh1, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, eiqt71z69beq7akuhot0foset, 8lg4tqh5bepeexbhghyr7pze2, 5lzbyj5i0cotpry4gneap8c89, 32sds4yk7ch30mng0gyzhdk9h, bh4a2zneilpvi1t7etuhkfl61, 5mj2vxkh3pmkbwj139mp93n4l",4070399495,59,"13, 22, 9, 15, 6, 2, 20, 16, 10, 19, 17, 1, 3, 4, 5, 7, 8, 11, 14, 21, 23, 24, 27",4070399497,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514948471,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-04T11:58:08.473Z,2023-03-04T13:05:15Z,4070586187,197,16543,4070404403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070404413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070404407,130,7,4070404405,59,"13, 4, 16, 18, 22, 15, 8, 14, 9, 24, 17, 1, 2, 3, 5, 7, 11, 12, 19, 23, 26, 33, 36",4070404401,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 8xd59g0c36012q6mg5f2fl239, 3auwtiburdxrp2i5me2d97f11, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, d7pzcnoztn30xoj5b2sr9slt6, 4o0ei8wawffrg2hvnbmcxipxx, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 2do89l8kf9yuelzq1b5mo549h, 9iwptrplnmwst5nfimyuqekq2, 9um7x9zd0e000zt57l3yearqh, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw, eonkaqrhhxzaa3nt0iena4us",4070404411,194,8xd59g0c36012q6mg5f2fl239,4070404409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987149,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-04T13:00:57.438Z,2023-03-04T13:00:57Z,4070596917,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987163,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2023-03-04T13:00:57.438Z,2023-03-04T19:17:13Z,4070596975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987167,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,50,50,2023-03-04T13:00:57.494Z,2023-03-04T19:26:50Z,4070597003,212,21.8,4070596997,56,Back,4070596999,140,30.1,4072940331,178,,4070597007,279,S,4070597001,141,41.0,4070597005,213,3.4,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987171,4,1,1,0,3,7h7eg7q7dbwvzww78h9d5eh0h,0,30.1,41,2023-03-04T13:01:00.498Z,2023-03-04T19:26:57Z,4070597029,140,69.1,4070597027,56,Left,4072940737,178,,4070597025,155,,4070597035,213,0.6,4070597031,141,82.9,4070597037,1,,4070597033,212,49.9,39dgr8s91agremy3nvp4q2221,S. Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987181,3,1,1,0,5,1n1j0wsl763lq7ee1k0c11c02,0,28.6,14.1,2023-03-04T13:01:03.333Z,2023-03-04T19:27:03Z,4072941081,178,,4070597107,213,5.6,4070597105,212,16.0,4070597101,140,40.1,4070597099,56,Back,4070597097,3,,4070597103,141,0.0,,,,aso41hpuq5oh825n83boc5x0q,Ángel Algobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987183,4,5,1,0,8,1n1j0wsl763lq7ee1k0c11c02,0,41.2,-1.2,2023-03-04T13:01:05.512Z,2023-03-04T19:27:13Z,4070597109,56,Back,4070598393,233,5,4070597111,347,,,,,,,,,,,,,,,,,aso41hpuq5oh825n83boc5x0q,Ángel Algobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987293,5,5,1,0,8,7h7eg7q7dbwvzww78h9d5eh0h,1,58.8,101.2,2023-03-04T13:01:05.512Z,2023-03-04T19:27:12Z,4070598389,233,4,4070597697,347,,4070597695,56,Left,,,,,,,,,,,,,,,,2udtmz4lvh4vil16mxvo0j4l,Aleix García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987321,6,1,1,0,25,7h7eg7q7dbwvzww78h9d5eh0h,1,54.6,100,2023-03-04T13:01:23.180Z,2023-03-04T19:27:17Z,4070597839,56,Back,4070597835,107,,4070598905,189,,4070597849,212,20.4,4070597853,213,3.6,4070597841,140,37.2,4070597845,141,87.4,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
