id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499608699,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-01-22T11:54:44.427Z,2023-01-22T13:08:39Z,3989703639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989703637,130,4,3989703633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989703631,30,"76r2yw3wtql61qh5l0yumdn85, 7c2qwyzh82a45s25zmdahrd91, dfjph36vcwfj5cevut4x3vf11, c29mprqv2ulztd22b6uckczx1, aza9jho12wrfa3oczxoj670mh, 57s7gfvt5btbfzm600wn7df55, 5mx86rwy0u4xi1b5kqin4lhx, 5zoz3mjooujpv0wdcphyrztd6, 2biwwlvzgsu5kmyw5w1adpmtx, 3bm08rp9rgzh6cjhk0picxs6h, 4eezya3lwcwur6c8s6rl0rzvu, 5soi8e2hlk77rlsbsl76hg3xl, 9m2qujt0h0zrd0n1akjqjo0r9, a3w1uczgmswm3cwk4vmvoglhx, 12qc3dkodeb8ykg6pc0kqf2l1, 9y7202khwzb48ea7im646m11x, agik49oxbq54j7m1tj4unqj56, 2axpdlm1cc3n8zi8rvwonjx90, 313x9xk65v0e1qoqvbqqy5u96, eiqcjlj9kmitoj8g50vaglawa",3989703645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989703641,194,2biwwlvzgsu5kmyw5w1adpmtx,3989703635,59,"1, 23, 12, 10, 5, 4, 6, 16, 7, 11, 21, 8, 14, 18, 20, 22, 27, 33, 34, 35",3989703643,197,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499609777,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-01-22T11:57:50.206Z,2023-01-22T16:03:41Z,3989709271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989709257,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, 2udtmz4lvh4vil16mxvo0j4l, 39dgr8s91agremy3nvp4q2221, 8ikm0hxyz2qaonz3qmynu0xqt, 2do89l8kf9yuelzq1b5mo549h, cuqawmfekh86mgo758udxw7v9, 6navc0x6p4yqy76zyo3zocwr9, 9um7x9zd0e000zt57l3yearqh, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 3auwtiburdxrp2i5me2d97f11, 27hwtukeqxh91ch1f3qr1it49, 8tnz3pqkqdhbr08p96i9w8i96, 8xd59g0c36012q6mg5f2fl239, 3xxwjf3ymu1j9825xjuwuknah, ay89se5rytzay8md0yeadykq2, c320492cbp1otejfp1i1oane1, 1acqdy7jz9v4i1jwf5u809byt, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw",3989709263,130,8,3989709261,59,"13, 4, 3, 14, 22, 2, 12, 18, 7, 23, 17, 1, 8, 9, 11, 15, 16, 20, 21, 24, 25, 26, 33",3989709259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989709269,197,704,3989709267,194,6navc0x6p4yqy76zyo3zocwr9,3989709265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635689,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-01-22T13:01:03.659Z,2023-01-23T02:57:31Z,3989842781,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635693,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-01-22T13:01:03.659Z,2023-01-22T13:01:05Z,3989842801,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635699,3,1,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,50,50,2023-01-22T13:01:03.670Z,2023-01-23T03:21:41Z,3989842845,213,3.1,3989842839,140,34.0,3991535249,178,,3989842837,56,Back,3989842841,141,50.0,3989842843,212,16.8,3989842849,279,S,,,,2biwwlvzgsu5kmyw5w1adpmtx,Gerard Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635715,4,1,1,0,1,74mcjsm72vr3l9pw2i4qfjchj,1,36.8,50.5,2023-01-22T13:01:05.473Z,2023-01-23T03:21:50Z,3989842929,141,56.5,3989842927,140,31.3,3991535305,178,,3989842925,56,Back,3989842931,212,7.1,3989842933,213,2.5,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635735,5,1,1,0,4,74mcjsm72vr3l9pw2i4qfjchj,0,33.2,59.4,2023-01-22T13:01:08.580Z,2023-01-23T03:21:53Z,3989843025,212,49.7,3991535321,178,,3989843023,141,29.7,3989843021,140,76.4,3989843029,1,,3989843017,155,,3989843019,56,Center,3989843027,213,5.9,57s7gfvt5btbfzm600wn7df55,Pau Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635731,3,44,1,0,7,7h7eg7q7dbwvzww78h9d5eh0h,1,22.8,70.8,2023-01-22T13:01:11.619Z,2023-01-23T09:57:39Z,3989843003,285,,3989843001,56,Back,3989843065,233,6,,,,,,,,,,,,,,,,8ikm0hxyz2qaonz3qmynu0xqt,B. Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635737,6,44,1,0,7,74mcjsm72vr3l9pw2i4qfjchj,0,77.2,29.2,2023-01-22T13:01:11.620Z,2023-01-23T03:21:59Z,3989843075,233,3,3989843035,286,,3989843033,56,Center,,,,,,,,,,,,,,,,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499635739,4,1,1,0,7,7h7eg7q7dbwvzww78h9d5eh0h,0,21.1,73.8,2023-01-22T13:01:11.634Z,2023-01-23T09:57:40Z,3989843043,141,69.9,3989843041,140,34.2,3989843047,213,6.1,3989843045,212,14.0,3989843037,3,,3991535409,388,,3989843039,56,Back,,,,8ikm0hxyz2qaonz3qmynu0xqt,B. Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
