id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value
2446708447,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-08-15T14:13:09.405Z,2022-08-15T15:26:47Z,3709615261,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 8b3igmuipfhfzm39ack89de96, 3h58t56r9if0oh4qd3gz1wfrp, 3pwr7lqvo4o08c4nvzqpuue39, 4uuvyzac4sd4ysjpv9eng1d5h, 9e7b5cm66oxf26fmp33yuppsl, esk1w6ycz34w1r3te22shohrd, cjtqtr93yjd3ee7tslzi1bd9l, 2wdjbfzaiokiawrbn5wzsx61h, 2td3iejdken4orcduqrdutrhm, 6v5jjz9ryqacsd8vovugvlsyd, baax58gbtxlbuj3duulpms4q1, 9n447dc5s8na89g3ovx9zvbv9, ew9uk1caw2zx4qkxj3vb02kx6, 5qh2kdatvb03o8oiqvkaaxje2, da4isu80fnw6rmv53gbjv8qcq",3709615263,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709615267,130,11,3709615271,194,9dewnn65ylruq567thg7ebqhh,3709660331,197,349,3709615269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709615273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709615265,59,"1, 15, 18, 6, 21, 24, 19, 8, 7, 16, 14, 3, 5, 9, 10, 11, 12, 20, 29, 31, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446708469,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-08-15T14:13:20.039Z,2022-08-15T15:44:41Z,3709615399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709615395,59,"1, 18, 17, 6, 3, 5, 8, 10, 20, 9, 7, 11, 12, 14, 15, 16, 19, 21, 22, 23, 29, 31, 35",3709660647,197,12043,3709615403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709615391,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, dfcbvsb7o18lavmonbp5ucwoa, 81png9xvfr224o03vaksp6aqd, egt3tl6hu2bfi16pqyxwv4onp, ddvvwqxpsqqboupi3gx1ijhed, do5tibysnhbnbw18nwdo39kut, 66jotyvbhtz5cjvhbby6luelm, 3tzvbdszdrj1tayik9igbve8l, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, 9hb2co2qsvykd7vn0asbncjjd, 2blue4kkn5uryu76u55b3wp3o, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",3709615397,130,4,3709615393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709615401,194,81png9xvfr224o03vaksp6aqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716447,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-08-15T15:30:36.197Z,2022-08-15T22:24:58Z,3709662693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716449,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-08-15T15:30:36.197Z,2022-08-15T15:30:41Z,3709662697,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716455,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,49.9,50.1,2022-08-15T15:30:36.200Z,2022-08-16T04:38:48Z,3709662713,56,Back,3709662717,141,17.5,3709662715,140,39.7,3709662721,213,4.3,3709662723,279,S,3709662719,212,24.6,3710484641,178,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716459,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,1,39.7,17,2022-08-15T15:30:39.065Z,2022-08-16T04:38:55Z,3709662733,141,41.2,3709662737,213,1.8,3709662731,140,36.6,3710484719,178,,3709662735,212,16.8,3709662729,56,Back,,,,,,,e9wu8g45hq2c1vp07jktx0set,De Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716463,5,1,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,44.1,49.6,2022-08-15T15:30:42.266Z,2022-08-16T04:39:00Z,3709662751,141,90.8,3710484781,178,,3709662753,212,29.5,3709662749,140,35.4,3709662747,56,Back,3709662755,213,1.9,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716471,6,50,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,36.6,94.1,2022-08-15T15:30:45.826Z,2022-08-16T04:39:15Z,3709662849,286,,3709662811,56,Back,3709662851,233,3,,,,,,,,,,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716475,3,7,1,0,9,50x1m4u58lffhq6v6ga1hbxmy,0,63.4,5.9,2022-08-15T15:30:46.135Z,2022-08-16T04:39:20Z,3709662883,189,,3709662821,233,6,3709662819,285,,3709662817,56,Right,3710484975,178,,3709907405,383,,,,,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446716499,7,1,1,0,12,3czravw89omgc9o4s0w3l1bg5,1,26.4,94.7,2022-08-15T15:30:48.476Z,2022-08-16T04:39:34Z,3709662939,213,4.3,3709662941,1,,3709662935,141,49.9,3709662931,56,Back,3710485115,178,,3709662933,140,12.2,3709662937,212,33.9,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
