id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2536664765,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-04-21T17:53:09.113Z,2023-04-21T19:05:33Z,4206402947,59,"13, 2, 3, 4, 24, 23, 21, 15, 9, 17, 10, 5, 6, 7, 8, 12, 16, 18, 19, 20, 22, 25, 27",4206661001,197,270,4206402943,30,"bglk6tokkpgjltpzljp1p345x, 8rm2kkceowwtj3p0k6g7id0mi, 8rprxly1blrhq9cwhfqoheeax, 6810qbng9pfg1bztczv11grmd, eyhvr45vc1n690dxobcthmndh, cbhdq57m8kxdeqjf42z0i3rop, cspjsye2x9pmnvdxjmghwnyi2, 32fnehcyqzc55h6auev06odwq, d67qj0sakwrfzbscleo4dbget, 92pz9nafg5h4qeqpiw3011ihh, 7xmaybxu4zd5k338bi3drkxcl, 2rqxh5mex336ci45jaw428y5l, 28psc296gj3umo59qqha8jil1, e5qp6dh1prc55llew51zpy1gp, 91te5xuankrla4g3s7as3htxx, adi6l78sdvet408eho4fi4xk9, bjzhwuehd7jzlbh04129h2w9h, 9hz4s6zmelmg4ix47xbre3q3t, 30jru4rizkqobfinh8o2jw92h, 8qvqdjw1d58mw7420lpmk7bah, 6msjsxuolz1yhmongz6swkno5, agd2nhvdhp18dg1weape5olpl, 4ypoy27moehhbiaf3o1bntht6",4206402955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206402953,194,7xmaybxu4zd5k338bi3drkxcl,4206402945,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206402949,130,10,4206402951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536666571,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-04-21T17:57:19.531Z,2023-04-21T19:01:35Z,4206412383,130,2,4206412385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206412389,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206412381,59,"1, 20, 22, 4, 23, 3, 10, 24, 16, 19, 7, 2, 5, 6, 8, 11, 12, 13, 15, 18, 21, 32, 42",4206412379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206666715,197,14175,4206412377,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 9c2cfavuofg0yz3307nkgi0ut, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, bpvxqbiu11k4ivohi3798kxxx, aabvyjqpd63os1yzthx8ej6c5, 2gaojeqbhh6oj3ao7b3nxxx0q, 1jffh172t15s6ws7nou0fc251, wwdfv8zkkgplnpbz12pv8frp, 2vvr0pc9xgoiq1pmxpjysyr8q, 4ktnru3pqurww9h9af7n2959l, 2rn90c44nbr991vxlj2nmwxqt, 7s0xu9z5egw0sjf8qibdwa6s5, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, cfm1cx3wneiqljgyv0tthp0ph, aziqdd6dqjjgr6ifmzve0cz4l, 3r9gdse50kyeq9ya1o3ul0e6t, d2z22er0uqxu3w3h3ta36wh61, 8nbnru9t2qxaotxw0hiaocdt5, 7k2nyntjqyzzxbtrenx5jqf4k",4206412387,194,2qauzcv74cd8uqfv2ibl52ymt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714045,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-04-21T19:01:03.738Z,2023-04-21T19:01:06Z,4206664581,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713997,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-04-21T19:01:03.738Z,2023-04-22T05:44:23Z,4206664381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714053,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,50.1,50,2023-04-21T19:01:04.054Z,2023-04-22T06:32:58Z,4206664631,279,S,4206664629,213,3.4,4206664621,56,Back,4206664625,141,41.8,4206664623,140,31.3,4207538651,178,,4206664627,212,20.5,,,,92pz9nafg5h4qeqpiw3011ihh,M. Braithwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714105,4,1,1,0,3,c8llrezkm3b3op4afrou6b487,1,34.8,38.6,2023-04-21T19:01:06.915Z,2023-04-22T06:33:38Z,4206664943,56,Left,4206664955,213,0.7,4206664953,212,43.8,4206664941,155,,4206664951,141,81.8,4206664957,1,,4206664947,140,65.8,4207539141,178,,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714113,5,1,1,0,6,c8llrezkm3b3op4afrou6b487,0,65.8,81.8,2023-04-21T19:01:09.932Z,2023-04-22T06:33:43Z,4206665005,213,5.4,4206664995,3,,4207539203,388,,4206665003,212,14.0,4206664999,140,73.9,4206665001,141,65.4,4206664997,56,Center,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714131,3,49,1,0,7,82q9159y2u7mkfn3z6hy75r4o,1,21.5,26.1,2023-04-21T19:01:11.021Z,2023-04-22T06:33:56Z,,,,,,,,,,,,,,,,,,,,,,,,,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714137,4,1,1,0,7,82q9159y2u7mkfn3z6hy75r4o,0,21.5,26.1,2023-04-21T19:01:11.037Z,2023-04-22T06:33:53Z,4207539333,178,,4206665159,212,16.5,4206665151,157,,4206665161,213,6.2,4206665153,56,Back,4206665163,1,,4206665155,140,37.1,4206665157,141,23.5,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536714133,6,1,1,0,8,c8llrezkm3b3op4afrou6b487,0,62.4,78.7,2023-04-21T19:01:12.139Z,2023-04-22T06:34:00Z,4206665137,56,Center,4206665139,140,77.4,4206665141,141,70.7,4206665145,213,6.0,4206665143,212,16.7,4207539429,178,,,,,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
