id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,assist,qualifier/14/value,qualifier/17/value,qualifier/10/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2508058275,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-02-15T18:32:31.533Z,2023-02-15T20:04:28Z,4034003777,194,c1mm3hdfcs78obhxmhailzidx,4034003779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4034003771,59,"13, 2, 4, 12, 3, 6, 15, 19, 9, 11, 21, 5, 10, 16, 17, 18, 22, 24, 26, 30, 33",4034221895,197,239,4034003767,30,"38bp85766w04a0nuulq5fiig9, 7oykphzczagr975xsqt70s89h, 6w5wyari2p4bh2zzy2x2f6hg5, en2c7z1raqmcwee78297pbnu2, 8wvkrrbqqthuwda8twg03yuax, 7o4nc6jwsi3quvnwinstqwyj9, 1i9wi65k2foqwudeqiyih87hl, i48mf81fxn2af1xxjzfi8gr9, c1mm3hdfcs78obhxmhailzidx, 127eg3g8ig8j7obxtyc2tl8t1, broq8imimhtlejtffissquy5m, eihwzqtt27l2l8iu990h68edx, diod1hv5hv7v7z7mfleev1txx, 5nluxvc0wi0u1d5zcy7be5rkl, bf2pf3hs8gcvub4ivlve12ymt, aipyotc87m5bdvmvizd5n69k9, 6fzbp94hf19ysotdassrqdc5x, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a, 4jxlkq0x33agt01vjlou0yk4q, cu52a54iqv8lec3e4104vh84q",4034003773,130,4,4034003775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4034003769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508063931,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-15T18:55:10.870Z,2023-02-15T20:16:56Z,4034033787,59,"13, 40, 23, 7, 3, 4, 8, 16, 19, 18, 20, 1, 2, 5, 6, 9, 11, 12, 17, 22, 24, 28",4034033789,130,12,4034220009,197,283,4034033791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4034033793,194,e18oezz5jq7pf3h4azgv3ofrp,4034033785,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4034033783,30,"36bg0k385i4wwarffp6ak1syd, 6jq376l673aizjxxhhos2j52i, 7wjmaxqunpd84il1p5w4xwrmd, eo74fl3ctgkwbpsa099rkv6xh, 2zn2o5lzchz7oattq9pnjr8wl, b69uny9udp3ab2zccwa0qnrh1, 8axw2xc0dl8vsdub6nq4nhjo5, e18oezz5jq7pf3h4azgv3ofrp, a971j313ztjvcgojpg6u390b9, a045sz2acqbfgyq9puwsu8sx6, f0a2qk3jzxercn67bben5eled, c0pl96o1zkrgvukte9zefl591, 61j22wr5t5irba2v3v4l1rnro, elb74prcilvsqzn9jdznrjavp, 33r4ae8aivh27ho0ix9mnkedx, 9ivrglgy0tibv881e1a93psr9, 1i9mqbswolg91evnmsrf5katx, 5b839eahyhf1vrzti55pzpplh, ac5f9msbvijksbq5s2ivwh979, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl, 8twklnbsk3tiyw713l06n340k",4034033795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096739,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-02-15T20:02:06.508Z,2023-02-16T06:50:38Z,4034212345,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096755,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-15T20:02:06.508Z,2023-02-15T20:02:09Z,4034212425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096785,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50,50,2023-02-15T20:02:06.583Z,2023-02-16T06:55:45Z,4034212601,212,7.2,4034212599,141,47.6,4034212597,140,56.7,4035064191,178,,4034212605,279,S,4034212595,56,Center,4034212603,213,6.1,,,,c1mm3hdfcs78obhxmhailzidx,K. Benzema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096819,4,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,1,68.9,44.9,2023-02-15T20:02:09.830Z,2023-02-16T06:55:59Z,4034212765,141,17.7,4034212763,140,61.5,4034212767,212,20.1,4034212769,213,4.3,4035064487,178,,4034212761,56,Right,,,,,,,broq8imimhtlejtffissquy5m,Rodrygo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096853,5,1,1,0,6,3kq9cckrnlogidldtdie2fkbl,1,61.5,17.7,2023-02-15T20:02:12.783Z,2023-02-16T06:56:03Z,4034212969,141,41.7,4034212973,213,2.1,4034212967,140,52.7,4034212971,212,18.8,4034212965,56,Center,4035064559,178,,,,,,,,7oykphzczagr975xsqt70s89h,Dani Carvajal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096919,6,1,1,0,8,3kq9cckrnlogidldtdie2fkbl,1,53.1,43.5,2023-02-15T20:02:15.141Z,2023-02-16T06:56:08Z,4035064721,178,,4034213321,213,1.3,4034213313,56,Center,4034213315,140,58.4,4034213317,141,77.2,4034213319,212,23.6,,,,,,,en2c7z1raqmcwee78297pbnu2,E. Camavinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096939,7,1,1,0,13,3kq9cckrnlogidldtdie2fkbl,1,61.2,72,2023-02-15T20:02:20.009Z,2023-02-16T06:56:12Z,4034213447,140,64.0,4034213453,213,5.4,4034213449,141,66.9,4035064805,178,,4034213445,56,Center,4034213451,212,4.5,,,,,,,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096945,8,1,1,0,14,3kq9cckrnlogidldtdie2fkbl,1,64,66.9,2023-02-15T20:02:20.625Z,2023-02-16T06:56:18Z,4034213483,141,71.8,4034213485,212,6.7,4034213487,213,2.6,4035064961,178,,4034213479,56,Center,4034213481,140,58.5,,,,,,,c1mm3hdfcs78obhxmhailzidx,K. Benzema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508096959,9,1,1,0,15,3kq9cckrnlogidldtdie2fkbl,0,58.5,71.8,2023-02-15T20:02:21.733Z,2023-02-16T06:56:28Z,4034213553,213,0.9,4034213625,286,,4034213545,56,Center,4034213551,212,2.4,4034213621,233,3,4034213619,236,,4034213549,141,74.5,4035065191,178,,i48mf81fxn2af1xxjzfi8gr9,Dani Ceballos,4034213547,140,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
