id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,assist,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/13/value,qualifier/16/value,qualifier/14/value
2512700741,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-26T11:45:46.976Z,2023-02-26T13:00:12Z,4058526121,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, dfcbvsb7o18lavmonbp5ucwoa, uzzq2p3s1qnb3wv1pee3mcph, 5kd57453a90zahgdxwkghr816, ddvvwqxpsqqboupi3gx1ijhed, 83n1qv6ypl625aolzjeqifv11, 3tzvbdszdrj1tayik9igbve8l, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, ebj1tatpfyuedmk2y40i393h1, 7bgioq7hxo5sco6m2ouji0gdl",4058734699,197,12043,4058526129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058526127,130,8,4058526131,194,81png9xvfr224o03vaksp6aqd,4058526123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058526125,59,"1, 18, 17, 8, 5, 31, 9, 6, 12, 10, 7, 2, 13, 14, 15, 16, 19, 21, 22, 24, 35",4058526133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512701925,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-02-26T11:47:51.001Z,2023-02-26T13:17:08Z,4058532553,59,"13, 4, 16, 18, 22, 15, 8, 14, 9, 24, 17, 1, 2, 3, 5, 7, 11, 19, 23, 26, 33, 36",4058532561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058734523,197,16543,4058532555,130,7,4058532557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058532559,194,8xd59g0c36012q6mg5f2fl239,4058532545,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, 3xxwjf3ymu1j9825xjuwuknah, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 8xd59g0c36012q6mg5f2fl239, 3auwtiburdxrp2i5me2d97f11, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, d7pzcnoztn30xoj5b2sr9slt6, 4o0ei8wawffrg2hvnbmcxipxx, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 9iwptrplnmwst5nfimyuqekq2, 9um7x9zd0e000zt57l3yearqh, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw, eonkaqrhhxzaa3nt0iena4us",4058532551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741033,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-02-26T13:01:20.176Z,2023-02-26T13:01:20Z,4058738061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741041,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-26T13:01:20.176Z,2023-02-26T19:06:33Z,4058738103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741065,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,49.6,50.1,2023-02-26T13:01:20.195Z,2023-02-26T21:20:32Z,4058738239,212,21.7,4058738243,279,S,4058738237,141,46.6,4060690687,178,,4058738241,213,3.3,4058738233,56,Back,4058738235,140,29.1,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741107,4,1,1,0,2,7h7eg7q7dbwvzww78h9d5eh0h,1,29.3,46.9,2023-02-26T13:01:23.025Z,2023-02-26T21:27:19Z,4060707741,178,,4058738401,141,92.0,4058738387,155,,4058738407,1,,4058738393,56,Left,4058738403,212,49.7,4058738405,213,0.7,4058738397,140,66.6,39dgr8s91agremy3nvp4q2221,S. Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741123,5,1,1,0,8,7h7eg7q7dbwvzww78h9d5eh0h,0,64.4,74.4,2023-02-26T13:01:28.894Z,2023-02-26T21:27:24Z,4060707959,178,,4058738453,213,5.8,4058738445,56,Center,4058738451,212,10.7,4058738449,141,67.5,4058738447,140,73.6,,,,,,,3xxwjf3ymu1j9825xjuwuknah,Javi Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741129,3,49,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,24.8,30.6,2023-02-26T13:01:29.677Z,2023-02-26T21:27:29Z,,,,,,,,,,,,,,,,,,,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512741167,4,1,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,24.5,30.6,2023-02-26T13:01:29.763Z,2023-02-26T21:27:32Z,4058738661,213,0.4,4058738655,140,30.9,4058738653,56,Back,4060708289,178,,4058738657,141,34.5,4058738659,212,7.2,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512925125,953,3,1,0,12,3czravw89omgc9o4s0w3l1bg5,0,31.9,23.6,2023-02-26T13:01:33.174Z,2023-02-27T07:08:25Z,4059672411,56,Back,4059672417,467,cuqawmfekh86mgo758udxw7v9,4059672415,464,,4060708763,178,,4059672413,285,,,,,,,,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
