id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/16/value
2510090227,1,34,16,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-02-19T18:41:27.237Z,2023-02-19T20:05:17Z,4044960367,197,16152,4044725679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044725673,130,4,4044725667,30,"2e55g4q93y382cg7h0yk5rtud, cscn06kwqfzo09h0dc5ybt1pl, bzgh5psb1janz9y3btpswngbu, ezviixcyaaj162saxs2yl27s9, 1av9mmv19jwvc4xdr0p9owyxh, 4ggz7e009bq3yltc9o6mifbah, eb3ci3a120om80v80mobsus8a, 4q6kuikopbgls8y2rwqiu415h, afxjicw89683nlpms9yy5x51x, 2szgrzcosfeifh664tgt3mfvt, 308krssmz6irpfntht1ka78tm, calrbl0kagr6zgnw2l8k626s5, 4mxx1oxkiexm0ha34utcmb17t, 9i7lb16qty1t21bnc5h7skclx, 4o6f3mnd39fx700o3jvj0wct1, 4ct72ovumvt09au6gpulwpjv9, 2wl6h1rlrfnn2mr65vuo3t815, 5kodjbsarkql4vhs126p2vhwq, 4ffmlhvbjvfjjnhr0byktvt62, bnl1o2m4xcvwgaopuva7rnsb8",4044725675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044725671,59,"1, 23, 28, 21, 15, 24, 6, 20, 9, 11, 10, 5, 13, 17, 18, 19, 22, 32, 36, 38",4044725669,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044725677,194,4q6kuikopbgls8y2rwqiu415h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510090917,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-19T18:42:28.848Z,2023-02-19T20:03:08Z,4044729255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044729249,130,8,4044729251,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044729243,30,"el98wqtf7w1ap9ei2bxqwtx3p, 91lln39q4rzbp8z000p0evn4l, d2z22er0uqxu3w3h3ta36wh61, 9c2cfavuofg0yz3307nkgi0ut, 6pfbtlfphouu35kbwjiavwgyd, 9wozklkj2p3a83j51p27a59ed, bpvxqbiu11k4ivohi3798kxxx, bmmahw4ww36w4tokk3xhvvvmd, aziqdd6dqjjgr6ifmzve0cz4l, 7s0xu9z5egw0sjf8qibdwa6s5, 92b22xcwri3rokbvu09htjhwq, 2vvr0pc9xgoiq1pmxpjysyr8q, 4ktnru3pqurww9h9af7n2959l, wwdfv8zkkgplnpbz12pv8frp, 3ia1z3fooszynz9a81dn17oid, cn3ocv5r0d0un0no4wlxl5y39, dbj7ww9wogmp0dod5aj4ys0a2, 2gaojeqbhh6oj3ao7b3nxxx0q, aabvyjqpd63os1yzthx8ej6c5, 54ojuo12zxzasi4a6vpmhxfbp, 8h6je56fe74djcd3va7iq6yhg",4044956207,197,1511,4044729245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044729253,194,7s0xu9z5egw0sjf8qibdwa6s5,4044729247,59,"1, 20, 21, 4, 23, 3, 10, 17, 15, 8, 14, 2, 5, 7, 9, 11, 12, 16, 24, 25, 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134205,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2023-02-19T20:02:46.528Z,2023-02-19T20:02:46Z,4044965603,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134227,2,32,1,0,0,agh9ifb2mw3ivjusgedj7c3fe,1,0,0,2023-02-19T20:02:46.528Z,2023-02-20T05:11:37Z,4044965687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134265,3,1,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,49.9,49.5,2023-02-19T20:02:46.566Z,2023-02-20T08:45:31Z,4044965909,279,S,4044965895,56,Back,4044965903,141,50.1,4045932419,178,,4044965905,212,8.6,4044965907,213,3.1,4044965899,140,41.7,,,,bmmahw4ww36w4tokk3xhvvvmd,G. Escalante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134287,4,1,1,0,4,82q9159y2u7mkfn3z6hy75r4o,1,46,53.6,2023-02-19T20:02:50.636Z,2023-02-20T08:45:36Z,4044966049,213,2.8,4044966043,140,32.8,4044966045,141,60.8,4045932459,178,,4044966041,56,Back,4044966047,212,14.7,,,,,,,9c2cfavuofg0yz3307nkgi0ut,Rubén Alcaraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134297,5,1,1,0,7,82q9159y2u7mkfn3z6hy75r4o,0,38.5,72.6,2023-02-19T20:02:53.860Z,2023-02-20T08:45:41Z,4044966113,212,48.5,4044966109,140,84.7,4044966115,213,6.2,4044966107,56,Center,4045932489,178,,4044966111,141,69.9,4044966117,1,,4044966105,155,,9wozklkj2p3a83j51p27a59ed,Fali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134305,3,52,1,0,11,agh9ifb2mw3ivjusgedj7c3fe,1,13.9,32.2,2023-02-19T20:02:57.561Z,2023-02-20T08:45:43Z,4045495679,376,,4045932509,178,,,,,,,,,,,,,,,,,,,,2e55g4q93y382cg7h0yk5rtud,M. ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134325,4,1,1,0,13,agh9ifb2mw3ivjusgedj7c3fe,1,14.4,44.1,2023-02-19T20:02:59.846Z,2023-02-20T08:45:47Z,4044966253,140,23.3,4044966245,123,,4044966259,213,1.1,4044966257,212,19.6,4045932535,178,,4044966255,141,69.4,4044966249,56,Back,,,,2e55g4q93y382cg7h0yk5rtud,M. ter Stegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510134359,5,1,1,0,15,agh9ifb2mw3ivjusgedj7c3fe,1,24.6,71.2,2023-02-19T20:03:02.380Z,2023-02-20T08:46:18Z,4044966433,213,1.0,4044966425,56,Back,4044966427,140,35.8,4044966429,141,96.7,4044966431,212,21.0,4045932963,178,,,,,,,,4ggz7e009bq3yltc9o6mifbah,Eric García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
