id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/11/value,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/19/value
2454827547,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-09-03T12:27:15.404Z,2022-09-03T13:05:59Z,3752747851,30,"6crmq7vzqts58wg196q48sc7p, 7oykphzczagr975xsqt70s89h, 6q69l3ppqfqbryjubcrujfi6t, aipyotc87m5bdvmvizd5n69k9, 8wvkrrbqqthuwda8twg03yuax, 6w5wyari2p4bh2zzy2x2f6hg5, diod1hv5hv7v7z7mfleev1txx, en2c7z1raqmcwee78297pbnu2, c1mm3hdfcs78obhxmhailzidx, broq8imimhtlejtffissquy5m, b4witgokm49tidm1a83qcvbop, 7o4nc6jwsi3quvnwinstqwyj9, 54h69199gtsavspwblux98dsl, cdcbi6xmy0uts703489e0acb9, 127eg3g8ig8j7obxtyc2tl8t1, 38bp85766w04a0nuulq5fiig9, 1i9wi65k2foqwudeqiyih87hl, bf2pf3hs8gcvub4ivlve12ymt, i48mf81fxn2af1xxjzfi8gr9, 6fzbp94hf19ysotdassrqdc5x, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",3752747859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752747853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752874427,197,239,3752747861,194,c1mm3hdfcs78obhxmhailzidx,3752747855,59,"1, 2, 23, 18, 3, 4, 10, 12, 9, 21, 20, 6, 7, 8, 11, 13, 15, 17, 19, 22, 24, 26",3752747863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752747857,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454852145,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-09-03T13:06:02.385Z,2022-09-03T13:06:02Z,3752874611,130,8,3752874619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752874605,30,"s96k2x2cts0vo6y6aaeui5zp, euy1s0xo19019kegzcpp1gez9, 3m7wjcmet9b8sc5tu0ct8j0et, 4pizap25enja9rtz4g6x5bkd1, f5blplnlgn04f54kqsfx1b7qh, 4hhuyat3grozmgba4f55zyajt, 75079gtd2efpviyo605ozsd79, 73efpm314q2paeacsvp4e8q8l, d12m2oz1lomkc1qxmpht38lat, 1he0x583esqw1ka0ybc2nlz9x, c4je25rkbg2n45xs5iurevhlh, 1vn3xi2x6vtjor1bt1ob1vk5x, e5rlll2fvd9wsk40o6pztsc0l, 1myo59ub6qouwvxpb699shhw5, 7hyo7fy8hospvlvtlfv7q73ai, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, 5gtoi90sxc43mbsfxwfv7wzxl, 9226xt1t1m3fy4ob9l2r16609, 6w3xe5mva9ob36uf482xem85x, 9jxofpmrfh2lil77f9xj22kiy, emvmn561wgd62zj0s3qi5j5rd",3752874613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752874607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752874609,59,"13, 23, 15, 18, 19, 3, 10, 5, 9, 8, 7, 1, 2, 6, 11, 12, 17, 21, 24, 25, 28, 33",3752874615,194,4pizap25enja9rtz4g6x5bkd1,3752874617,197,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938585,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-09-03T14:18:04.640Z,2022-09-03T22:33:56Z,3753317579,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938555,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-09-03T14:18:04.640Z,2022-09-03T14:18:04Z,3753317425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938753,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,49.4,49.6,2022-09-03T14:18:04.650Z,2022-09-03T22:44:51Z,3755908437,178,,3753318491,56,Back,3753318507,213,3.2,3753318511,278,,3753318505,212,4.7,3753318509,279,S,3753318501,141,49.0,3753318497,140,44.9,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938811,4,1,1,0,2,ah8dala7suqqkj04n2l8xz4zd,1,44.9,49,2022-09-03T14:18:06.821Z,2022-09-03T22:46:14Z,3753318809,212,24.4,3753318803,56,Back,3753318811,213,1.7,3753318805,140,40.9,3755908805,178,,3753318807,141,84.3,,,,,,,1he0x583esqw1ka0ybc2nlz9x,N. Fekir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938851,5,1,1,0,4,ah8dala7suqqkj04n2l8xz4zd,1,40.2,83.3,2022-09-03T14:18:09.573Z,2022-09-03T22:46:23Z,3753319059,141,65.4,3753319055,56,Back,3755912441,178,,3753319061,212,19.9,3753319057,140,25.2,3753319063,213,3.8,,,,,,,3m7wjcmet9b8sc5tu0ct8j0et,Álex Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454938959,6,1,1,0,6,ah8dala7suqqkj04n2l8xz4zd,1,25.2,65.4,2022-09-03T14:18:11.520Z,2022-09-03T22:46:27Z,3753319597,141,45.4,3753319593,140,9.2,3753319609,213,3.8,3755912703,178,,3753319591,56,Back,3753319603,212,21.6,,,,,,,4hhuyat3grozmgba4f55zyajt,Edgar González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454939089,7,1,1,0,10,ah8dala7suqqkj04n2l8xz4zd,1,9.2,45.4,2022-09-03T14:18:14.812Z,2022-09-03T22:46:29Z,3753320187,56,Back,3753320185,155,,3755912815,178,,3753320197,212,37.5,3753320199,213,5.5,3753320203,1,,3753320193,141,6.1,3753320189,140,34.2,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454939151,8,1,1,0,14,ah8dala7suqqkj04n2l8xz4zd,0,34.2,7,2022-09-03T14:18:18.941Z,2022-09-03T22:46:34Z,3753320561,140,43.7,3753320569,213,0.7,3753320555,56,Back,3753320563,141,19.6,3755913121,178,,3753320567,212,13.1,,,,,,,euy1s0xo19019kegzcpp1gez9,Y. Sabaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
