id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2499837793,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-01-22T18:50:26.479Z,2023-01-22T18:50:26Z,3990924407,194,c1mm3hdfcs78obhxmhailzidx,3990924405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3990924395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3990924409,197,239,3990924393,30,"6crmq7vzqts58wg196q48sc7p, 7o4nc6jwsi3quvnwinstqwyj9, 6q69l3ppqfqbryjubcrujfi6t, en2c7z1raqmcwee78297pbnu2, 8wvkrrbqqthuwda8twg03yuax, 6fzbp94hf19ysotdassrqdc5x, 1i9wi65k2foqwudeqiyih87hl, i48mf81fxn2af1xxjzfi8gr9, c1mm3hdfcs78obhxmhailzidx, 127eg3g8ig8j7obxtyc2tl8t1, b4witgokm49tidm1a83qcvbop, eihwzqtt27l2l8iu990h68edx, cdcbi6xmy0uts703489e0acb9, diod1hv5hv7v7z7mfleev1txx, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, broq8imimhtlejtffissquy5m, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",3990924403,130,4,3990924399,59,"1, 6, 23, 12, 3, 22, 15, 19, 9, 11, 20, 5, 8, 10, 13, 16, 21, 24, 26",3990924411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499838463,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-01-22T18:51:48.534Z,2023-01-22T20:10:20Z,3990928075,59,"1, 18, 17, 6, 3, 31, 11, 19, 9, 8, 7, 2, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24",3990928077,130,8,3990928083,197,12043,3990928081,194,e9wu8g45hq2c1vp07jktx0set,3990928079,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990928085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990928071,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, 5kd57453a90zahgdxwkghr816, 66jotyvbhtz5cjvhbby6luelm, 488vwilxllk6nhf4o1wrh0gve, ddvvwqxpsqqboupi3gx1ijhed, dfcbvsb7o18lavmonbp5ucwoa, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 81png9xvfr224o03vaksp6aqd, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, v7isqpxiursyjhj5rmhyhjv9, 7x2c4pr7hvku5zp0dnjcpy0yy, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, aow6cahecmexgd5qxt3esmaxh, e40eqhxzzid2chfyxph37tuxh, ebj1tatpfyuedmk2y40i393h1",3990928073,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864863,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-01-22T20:01:38.859Z,2023-01-23T10:08:17Z,3991077021,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864869,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2023-01-22T20:01:38.859Z,2023-01-22T20:01:45Z,3991077055,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499865065,10,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,49.7,50.1,2023-01-22T20:01:38.930Z,2023-01-23T10:13:17Z,3991078103,212,3.2,3991078095,140,51.9,3991078177,279,S,3991078091,56,Center,3991078107,213,5.5,3991706391,178,,3991078099,141,46.8,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499865125,11,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,1,53.1,53,2023-01-22T20:01:41.304Z,2023-01-23T10:13:00Z,3991078425,140,60.4,3991078427,141,92.9,3991706499,178,,3991078423,56,Left,3991078431,213,1.3,3991078429,212,28.2,,,,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499882931,386,1,1,0,4,3czravw89omgc9o4s0w3l1bg5,1,57.1,90.2,2023-01-22T20:01:43.097Z,2023-01-23T10:13:04Z,3991706563,178,,3991177655,213,3.2,3991177653,212,14.9,3991177647,56,Back,3991177651,141,89.9,3991177649,140,42.9,,,,,,,do5tibysnhbnbw18nwdo39kut,Álex Berenguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499882949,387,1,1,0,6,3czravw89omgc9o4s0w3l1bg5,1,41.8,88.9,2023-01-22T20:01:45.155Z,2023-01-23T10:13:22Z,3991177759,141,62.4,3991177755,56,Back,3991177757,140,28.8,3991177761,212,22.6,3991177763,213,4.1,3991706711,178,,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499882975,388,1,1,0,8,3czravw89omgc9o4s0w3l1bg5,1,28.9,59.6,2023-01-22T20:01:47.427Z,2023-01-23T10:13:29Z,3991177929,212,21.7,3991177923,56,Back,3991177931,213,4.7,3991177927,141,27.7,3991177925,140,28.8,3991706767,178,,,,,,,,5kd57453a90zahgdxwkghr816,Aitor Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864897,3,43,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-01-22T20:01:47.994Z,2023-01-22T20:48:59Z,3991177995,144,49,,,,,,,,,,,,,,,,,,,,,,5kd57453a90zahgdxwkghr816,Aitor Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
