id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2504965381,1,34,16,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-02-06T18:48:44.436Z,2023-02-06T19:55:14Z,4017690031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017690027,59,"1, 20, 3, 6, 19, 5, 7, 23, 34, 8, 12, 2, 4, 9, 13, 14, 15, 16, 17, 18, 21, 22, 25",4017690023,30,"5dfvefxvwj8kixbajluw25mtx, bpfp895223p7w0px2ui3nb2l1, 39c5g6782qlrtw55fsre7exnt, b5rea5r4h8bclpenau2au142x, 533095rnz0k8mxqe6gzn0mfo5, bi8nrmyaxsgbhixw921fzvm5l, 3ca7tqrdasmeop6ud9zot0wdl, 8onruhr4es313aq52xsl7nxlh, 1bdnkqbxm2u5ror7ipig5m73e, 676ehh6cwla4o9igey7qr1uqd, 4yzk41dkluqfxb8o3dbq06zqi, 96kskr71ls9jtky9hn0iuk9d6, 5cfem3t7stlov2fqltu3faevp, 8oc3lpz3xttrnwxk1fnnv7owl, 9xwog4v0ij8m1vs7doi52li39, d7mgn0oexyymir3upflm8gfyt, amt4voyjzhnvr55t08hzlw50q, lp63o37czdwete0smmu62k89, u04ao1ldrjjesgqq52o7ghqt, 8eh38t4oyyt728co362f6uqqd, 1ho7koiegfhsuevuum2meibu2, 9zgqiq6ksmits5apgsfk2yyfp, diixuwl5rn7f8vjleqfqy4st1",4017690029,130,8,4017690033,194,676ehh6cwla4o9igey7qr1uqd,4017690035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017690025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4017807395,197,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504965855,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-06T18:50:35.676Z,2023-02-06T19:55:08Z,4017692537,130,4,4017692543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017807127,197,8338,4017692539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4017692533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4017692535,59,"13, 17, 15, 23, 19, 22, 5, 3, 16, 12, 10, 4, 6, 7, 8, 9, 11, 14, 18, 20, 21, 24, 25",4017692541,194,5rabxq8qyxf2q2ak506xim9rd,4017692531,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1km9nvqz03yoj9cxpv127id7u, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 5rabxq8qyxf2q2ak506xim9rd, 6kpscy08tl4fkie4w4hl49n11, d1d3v27d4r6vme6n2w5umaacp, 3cu2brlp37h4u00mm5n4hb651, 63yktdky9m0aus8ebkaqzdhhx, 36lk52zhgyn11s1pax3y7wout, 1htx8ub2kxvq0vnzarbrynyt, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, a5x0poaqzssg2yuou57qgyead, 9bbu1yne0l9j862yodiuldw4p, e3me5pr7zub5dbfqil1con59m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988711,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-06T20:00:10.628Z,2023-02-06T20:00:10Z,4017815763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988713,2,32,1,0,0,3budh3j9xivsid3ptm8ptpy4k,1,0,0,2023-02-06T20:00:10.628Z,2023-02-07T01:52:01Z,4017815767,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988739,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50,50,2023-02-06T20:00:10.736Z,2023-02-07T01:57:50Z,4017815871,140,44.7,4017815869,56,Back,4017815879,279,S,4017815873,141,51.4,4017815875,212,5.6,4018208413,178,,4017815877,213,3.0,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988745,4,1,1,0,2,cobffe32r7g4skka9m19qib63,1,44.9,48.6,2023-02-06T20:00:13.382Z,2023-02-07T01:57:56Z,4017815901,56,Back,4017815907,212,15.1,4017815905,141,26.4,4017815909,213,4.6,4018208441,178,,4017815903,140,44.0,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988761,5,1,1,0,5,cobffe32r7g4skka9m19qib63,1,44,25.6,2023-02-06T20:00:15.727Z,2023-02-07T01:58:01Z,4017815983,213,4.7,4018208475,178,,4017815977,140,44.5,4017815981,212,14.6,4017815975,56,Back,4017815979,141,4.1,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988779,6,1,1,0,7,cobffe32r7g4skka9m19qib63,1,44.5,4.1,2023-02-06T20:00:17.672Z,2023-02-07T01:58:05Z,4017816061,212,24.7,4018208503,178,,4017816055,56,Center,4017816059,141,29.5,4017816063,213,0.8,4017816057,140,61.3,,,,,,,6mz6fzrfndfv7zpm38a6msmw9,Alejandro Pozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988799,7,1,1,0,9,cobffe32r7g4skka9m19qib63,1,57.7,32.5,2023-02-06T20:00:19.974Z,2023-02-07T01:58:07Z,4017816147,56,Back,4018208523,178,,4017816149,140,41.0,4017816155,213,2.8,4017816153,212,18.7,4017816151,141,42.0,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504988811,8,1,1,0,11,cobffe32r7g4skka9m19qib63,1,43.4,47.2,2023-02-06T20:00:22.579Z,2023-02-07T01:58:12Z,4017816219,141,80.2,4017816221,212,22.6,4017816215,56,Back,4017816223,213,1.4,4017816217,140,46.1,4018208553,178,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
