id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2527326339,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-04-02T10:54:04.067Z,2023-04-02T12:03:56Z,4156788165,194,7k2alak95p1u2ysftwwiaqsid,4156788157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4156788161,130,2,4156788169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156788155,30,"59ndqnsvggsoek170rdqyd1w5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, e8s9ssopq5nmp51zymvqp8jbp, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, at2bp41y9n3nd1phr2e3wrcnp, cs2yx3hiqjsb4i5ul2r5kmdat, 1lym8zscp7l8icay2cya7cauh, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, 9g4devlvymukexrvfgkipd6tx, 2ge9oa66xgsefhhpvuboua76x, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, 3sy16pz110zmyq073ao24l1ck, 3bl6xuomwt9qso3q5xp6plca2, 9ano8w4jrlk6zq92rxchzaru2, bmcz7nkdpxopn3g89dekqa8a2, c60m17adgxbewkrzizwtzd91w",4156788163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156788167,197,279,4156788159,59,"13, 2, 17, 24, 15, 4, 7, 8, 22, 10, 23, 5, 9, 11, 14, 18, 19, 20, 26, 27, 29, 31, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527327831,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-04-02T10:55:52.091Z,2023-04-02T12:16:17Z,4156796131,194,1trnf7miqmcgr67c4808t4yj9,4156796135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4156796127,130,2,4156796123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4156796133,197,16924,4156796125,59,"13, 21, 20, 3, 19, 22, 18, 23, 16, 12, 5, 1, 2, 6, 7, 8, 10, 14, 17, 24, 25, 26",4156796121,30,"c3secspt4xvu1q4g6aonn7zyt, a5x0poaqzssg2yuou57qgyead, e53c7z5bdud6uycw32s3qgx9m, 6kpscy08tl4fkie4w4hl49n11, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 3flv9yp9x61ph57xugztva9nu, 1km9nvqz03yoj9cxpv127id7u, d1d3v27d4r6vme6n2w5umaacp, 3cu2brlp37h4u00mm5n4hb651, 5rabxq8qyxf2q2ak506xim9rd, cvcyevmxcd2ly0yoxi0djquol, 497cy3s5ck9f5h563c4aixfdg, 1htx8ub2kxvq0vnzarbrynyt, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, 63yktdky9m0aus8ebkaqzdhhx, ec4coej1l0a7he2896hjbz04q, 6mz6fzrfndfv7zpm38a6msmw9, 9bbu1yne0l9j862yodiuldw4p, e3me5pr7zub5dbfqil1con59m, 8zvsos5fsrrf9aizqmyhtt9m",4156796129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527404973,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-04-02T12:02:01.464Z,2023-04-02T12:02:01Z,4157188921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527404999,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-04-02T12:02:01.464Z,2023-04-02T12:02:02Z,4157189033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405073,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,49.9,50.1,2023-04-02T12:02:01.564Z,2023-04-02T12:02:05Z,4157189381,140,36.2,4157189387,213,2.9,4157189383,141,54.5,4157189379,56,Back,4157189389,279,S,4157189385,212,14.7,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405115,4,1,1,0,3,cobffe32r7g4skka9m19qib63,1,34.3,57.5,2023-04-02T12:02:04.964Z,2023-04-02T12:56:18Z,4157189581,212,9.7,4157189579,141,65.2,4157189575,56,Back,4157189583,213,0.6,4157189577,140,42.1,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405155,5,1,1,0,5,cobffe32r7g4skka9m19qib63,1,42,65.2,2023-04-02T12:02:07.061Z,2023-04-02T12:56:21Z,4157189725,212,6.7,4157189719,56,Back,4157189727,213,3.7,4157189723,141,60.2,4157189721,140,36.5,,,,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405175,6,1,1,0,7,cobffe32r7g4skka9m19qib63,1,37.4,60.5,2023-04-02T12:02:08.517Z,2023-04-02T12:56:25Z,4157189847,213,2.4,4157189843,141,67.5,4157189841,140,32.7,4157189845,212,6.9,4157189839,56,Back,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405213,7,1,1,0,8,cobffe32r7g4skka9m19qib63,1,32.3,67.5,2023-04-02T12:02:09.733Z,2023-04-02T12:56:34Z,4157190067,212,23.7,4157190063,140,29.1,4157190065,141,33.0,4157190069,213,4.6,4157190061,56,Back,,,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527405243,8,1,1,0,10,cobffe32r7g4skka9m19qib63,1,28.9,29.5,2023-04-02T12:02:11.493Z,2023-04-02T12:56:35Z,4157190197,141,25.5,4157190193,56,Back,4157190195,140,34.0,4157190201,213,5.8,4157190199,212,6.0,,,,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
