id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/17/value,assist
2509778607,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-02-19T11:53:15.345Z,2023-02-19T13:08:45Z,4043127935,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043127933,130,12,4043127929,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043127927,30,"bglk6tokkpgjltpzljp1p345x, 4ypoy27moehhbiaf3o1bntht6, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, 32fnehcyqzc55h6auev06odwq, eyhvr45vc1n690dxobcthmndh, 7xmaybxu4zd5k338bi3drkxcl, 28psc296gj3umo59qqha8jil1, e5qp6dh1prc55llew51zpy1gp, 92pz9nafg5h4qeqpiw3011ihh, adi6l78sdvet408eho4fi4xk9, 5f8kjgsaabn2li5r7bvpebbsa, bjzhwuehd7jzlbh04129h2w9h, 9hz4s6zmelmg4ix47xbre3q3t, 8qvqdjw1d58mw7420lpmk7bah, cspjsye2x9pmnvdxjmghwnyi2, 6msjsxuolz1yhmongz6swkno5, agd2nhvdhp18dg1weape5olpl, 6gy8t82tqi12q2odz974xcbh0, 4ho3e7wi6z5tq8g87l8tjtwtm",4043127941,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043127937,194,7xmaybxu4zd5k338bi3drkxcl,4043127931,59,"13, 27, 2, 14, 15, 24, 10, 6, 7, 17, 12, 1, 16, 18, 20, 21, 22, 25, 28, 30",4043127939,197,16505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509779077,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-19T11:55:06.904Z,2023-02-19T13:08:50Z,4043130817,194,e18oezz5jq7pf3h4azgv3ofrp,4043130811,59,"13, 40, 23, 7, 3, 14, 21, 20, 9, 19, 16, 1, 2, 5, 6, 8, 11, 12, 17, 18, 22, 24",4043130819,197,281,4043130821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043130815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043130809,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043130807,30,"36bg0k385i4wwarffp6ak1syd, 6jq376l673aizjxxhhos2j52i, 7wjmaxqunpd84il1p5w4xwrmd, eo74fl3ctgkwbpsa099rkv6xh, 2zn2o5lzchz7oattq9pnjr8wl, ewu1skobmxtz4f3z6dbnfm6dx, bkvvapojagxvj17nzk3oy8ct1, f0a2qk3jzxercn67bben5eled, 9ivrglgy0tibv881e1a93psr9, a971j313ztjvcgojpg6u390b9, e18oezz5jq7pf3h4azgv3ofrp, c0pl96o1zkrgvukte9zefl591, 61j22wr5t5irba2v3v4l1rnro, elb74prcilvsqzn9jdznrjavp, 33r4ae8aivh27ho0ix9mnkedx, 8axw2xc0dl8vsdub6nq4nhjo5, 1i9mqbswolg91evnmsrf5katx, 5b839eahyhf1vrzti55pzpplh, ac5f9msbvijksbq5s2ivwh979, a045sz2acqbfgyq9puwsu8sx6, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl",4043130813,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813363,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-19T13:00:45.586Z,2023-02-19T19:51:03Z,4043302761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813375,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2023-02-19T13:00:45.586Z,2023-02-19T13:00:50Z,4043302811,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813425,3,1,1,0,0,c8llrezkm3b3op4afrou6b487,1,49.9,50.1,2023-02-19T13:00:45.640Z,2023-02-19T22:21:29Z,4043302993,141,57.6,4045293831,178,,4043302995,212,12.9,4043302989,56,Back,4043302999,279,S,4043302997,213,2.7,4043302991,140,38.6,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813439,4,1,1,0,1,c8llrezkm3b3op4afrou6b487,1,38.6,57.6,2023-02-19T13:00:47.307Z,2023-02-19T22:21:35Z,4043303049,56,Back,4043303051,140,35.0,4043303057,213,4.6,4043303053,141,17.4,4043303055,212,27.6,4045293977,178,,,,,,,,28psc296gj3umo59qqha8jil1,Denis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813487,5,1,1,0,4,c8llrezkm3b3op4afrou6b487,1,35,17.4,2023-02-19T13:00:50.549Z,2023-02-19T22:21:39Z,4043303281,140,29.4,4043303287,213,1.8,4043303285,212,21.6,4043303283,141,47.9,4045294083,178,,4043303277,56,Back,,,,,,,eyhvr45vc1n690dxobcthmndh,Sergi Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813511,6,1,1,0,7,c8llrezkm3b3op4afrou6b487,1,29.4,47.9,2023-02-19T13:00:53.003Z,2023-02-19T22:21:48Z,4043303361,213,1.3,4045294235,178,,4043303353,56,Back,4043303359,212,28.8,4043303355,140,36.1,4043303357,141,89.0,,,,,,,32fnehcyqzc55h6auev06odwq,José Gragera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813543,7,1,1,0,10,c8llrezkm3b3op4afrou6b487,0,36.3,89.9,2023-02-19T13:00:56.353Z,2023-02-19T22:21:53Z,4043303543,56,Left,4043303553,1,,4043303545,140,75.4,4045294423,178,,4043303549,212,41.1,4043303541,155,,4043303547,141,88.4,4043303551,213,6.3,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509813559,3,1,1,0,13,4yg9ttzw0m51048doksv8uq5r,0,19.3,7.4,2023-02-19T13:00:58.959Z,2023-02-19T22:22:15Z,4045294893,388,,4043303623,141,6.7,4043303621,140,22.4,4043303627,213,6.1,4043303625,212,3.3,4043303619,56,Back,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
