id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/13/value,qualifier/9/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/19/value
2530133913,1,34,16,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-04-08T10:53:13.743Z,2023-04-08T12:05:29Z,4171730295,194,7ms6l8qho3p4jm1soleldqvv9,4171730293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171730289,59,"25, 2, 20, 8, 4, 5, 19, 16, 17, 11, 12, 1, 3, 7, 15, 18, 22, 31, 33, 34",4171730297,197,278,4171730299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171730287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171730291,130,4,4171730285,30,"15no5m0njma23gf0ygu9agt05, akjusy9dt1qd2fjhttviek6ol, d34tmogp5h4rwuo3pcxtwp0fe, 3o41frgi9jxrms6rvc6ml1plh, 7ms6l8qho3p4jm1soleldqvv9, 6dx2fxufm98xtdobuwppis34l, eqw6fu3no9qxejk17tqgeey5m, 5t2ngljfiapcn98qlnbifg53p, 946z96r5q70ryslp3hlhafnx1, 2zcha0sd7axiu2s2c0bccz2s5, 96cbv23es0gucmd2v0qvk3iwa, amjegysk3et638l4od103c7o5, 8ij122duxc65thlj8flk2xdjp, f4gpe0pxov8sea9e0fs24h8q2, 1vupjbihmf0b4gzjskmrmptqt, 4l2rgx65vzgrrxorbc1edq8yd, bpf2fcb73l96fwspo72shmkiy, 5b9awsil5bgqrsc13xsoj35nu, 6nq6p1kfoejfmnzpckquv4tn8, 1wezo3pjdktc0iqaxze3uh2sq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530134403,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-08T10:55:21.468Z,2023-04-08T12:52:06Z,4171732753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171732741,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171732749,194,e18oezz5jq7pf3h4azgv3ofrp,4171732739,30,"36bg0k385i4wwarffp6ak1syd, ewu1skobmxtz4f3z6dbnfm6dx, 7wjmaxqunpd84il1p5w4xwrmd, clrlsy05spf55w39f84b7p3sa, bkvvapojagxvj17nzk3oy8ct1, 33r4ae8aivh27ho0ix9mnkedx, f0a2qk3jzxercn67bben5eled, e18oezz5jq7pf3h4azgv3ofrp, 9ivrglgy0tibv881e1a93psr9, 1ore4ght7ls393tcpbmah9dcl, 1i9mqbswolg91evnmsrf5katx, c0pl96o1zkrgvukte9zefl591, 61j22wr5t5irba2v3v4l1rnro, 2zn2o5lzchz7oattq9pnjr8wl, b69uny9udp3ab2zccwa0qnrh1, elb74prcilvsqzn9jdznrjavp, eo74fl3ctgkwbpsa099rkv6xh, 8axw2xc0dl8vsdub6nq4nhjo5, defkaykmw8lmts2gumfa1jyzt, ac5f9msbvijksbq5s2ivwh979, a971j313ztjvcgojpg6u390b9, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl",4171732747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171732743,59,"13, 14, 23, 26, 21, 6, 20, 16, 9, 10, 11, 1, 2, 3, 4, 5, 7, 8, 15, 17, 19, 22, 24",4171732751,197,281,4171732745,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165355,2,32,1,0,0,2l0ldgiwsgb8d6y3z0sfgjzyj,1,0,0,2023-04-08T12:00:16.884Z,2023-04-09T04:25:15Z,4171883685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165359,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-04-08T12:00:16.884Z,2023-04-08T12:00:19Z,4171883693,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165367,3,1,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,49.9,50.3,2023-04-08T12:00:17.134Z,2023-04-09T06:14:19Z,4171883719,279,S,4171883711,140,50.3,4175377119,178,,4171883709,56,Center,4171883715,212,1.9,4171883713,141,47.6,4171883717,213,4.9,,,,1ore4ght7ls393tcpbmah9dcl,Pere Milla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165381,4,1,1,0,2,4yg9ttzw0m51048doksv8uq5r,1,54.4,55.3,2023-04-08T12:00:18.913Z,2023-04-09T06:14:22Z,4171883789,56,Left,4171883797,213,1.3,4171883795,212,28.1,4171883793,141,95.2,4175377333,178,,4171883787,155,,4171883791,140,61.3,,,,9ivrglgy0tibv881e1a93psr9,L. Boyé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165389,5,1,1,0,5,4yg9ttzw0m51048doksv8uq5r,1,61.8,96,2023-04-08T12:00:22.843Z,2023-04-09T06:14:25Z,4171883835,56,Back,4171883843,213,3.9,4171883837,140,46.7,4171883839,141,74.8,4171883841,212,21.4,4175377443,178,,,,,,,,1i9mqbswolg91evnmsrf5katx,Tete Morente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165435,6,1,1,0,8,4yg9ttzw0m51048doksv8uq5r,1,46.7,68.6,2023-04-08T12:00:25.309Z,2023-04-09T06:14:27Z,4171884021,140,36.9,4175377553,178,,4171884027,213,4.2,4171884019,56,Back,4171884025,212,22.1,4171884023,141,39.8,,,,,,,clrlsy05spf55w39f84b7p3sa,John Nwankwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165443,7,1,1,0,12,4yg9ttzw0m51048doksv8uq5r,1,39,27.1,2023-04-08T12:00:28.944Z,2023-04-09T06:14:31Z,4175377693,178,,4171884075,213,4.3,4171884067,56,Back,4171884073,212,13.4,4171884069,140,34.3,4171884071,141,8.8,,,,,,,bkvvapojagxvj17nzk3oy8ct1,Omar Mascarell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530165453,8,1,1,0,14,4yg9ttzw0m51048doksv8uq5r,1,34.3,8.8,2023-04-08T12:00:31.440Z,2023-04-09T06:14:34Z,4171884117,213,6.0,4175377839,178,,4171884113,141,4.4,4171884115,212,10.3,4171884109,56,Back,4171884111,140,43.7,,,,,,,ewu1skobmxtz4f3z6dbnfm6dx,H. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
