id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId
2507004945,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-12T14:05:36.896Z,2023-02-12T15:29:47Z,4028400405,194,cs2yx3hiqjsb4i5ul2r5kmdat,4028400403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028400407,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028400397,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028400401,130,2,4028741365,197,279,4028400399,59,"13, 3, 17, 24, 15, 14, 7, 8, 18, 10, 23, 2, 5, 9, 11, 19, 20, 21, 22, 25, 26, 34, 37",4028400395,30,"59ndqnsvggsoek170rdqyd1w5, c3sl9ajm4q424r4u37iath3hl, 40gxfsz7bgrkdudqewlpxzyzt, 37b6tzaexinmfadvi4you5wmi, 3qrk8nw6nc8o96n7jr1az21ux, 9g4devlvymukexrvfgkipd6tx, 64h0x8sur55l07oaiuog4v2z9, e3czx0nsuw10acnftbr8ud0bt, 2ge9oa66xgsefhhpvuboua76x, cs2yx3hiqjsb4i5ul2r5kmdat, 1lym8zscp7l8icay2cya7cauh, 7k2alak95p1u2ysftwwiaqsid, ea5xlslcii56ycrlmyo6uiimt, 2aumz6rtq4ufba7z7zn5v8frp, 5ez2huoeh2g3ijpgr7m15lg5, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, at2bp41y9n3nd1phr2e3wrcnp, 5c46t1feyeb4vdqz1cifb4yd, 3sy16pz110zmyq073ao24l1ck, 2pfq7ljnpwocjpsbna6r7i99m, c60m17adgxbewkrzizwtzd91w",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507007359,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-02-12T14:07:24.668Z,2023-02-12T15:24:51Z,4028411881,194,b9kfek16otvdorssn0wzkb36d,4028411877,130,4,4028411873,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028411879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028411875,59,"13, 16, 23, 6, 15, 22, 5, 24, 19, 14, 8, 1, 2, 3, 4, 9, 10, 11, 12, 17, 20, 21",4028411883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028411871,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, b9kfek16otvdorssn0wzkb36d, av5g4nr853anks78vl6jh4s7p, am5gj5qg3gjtyhvwfnj8sjz6d, 3ga7qj3h3dbmqucxmaxhmrjdh, 9e7ybe0nsu3byq2tteey3zuy2, 46kq5653o302ebz4o5yzsss0l, amxunh6enoc99r07cp7qt621h, 716n1970vi9rvw5b4w9qmjfth, cfhk5255hz4wbs2zsrq219a6t, 548jzfl9higq44w9bgqvcjh05, b6gclblu9lz3sstpla966ik7p, 58qeglyxdi7y8ttg8sddv8set, b37h0rc96jh4e34x6iru2plud, 6fdvv4zs5pl6qj7pp6tsp5iad, ejcyvgclry4g5pc2rtptifphx, 31wf775s975qy3il33oora8k5, 40h47dhimsmeiury61w1ourx1, 59234as8h70fejyfm7492np3p, 20m7tijt8jnedjd4x87olmaqd",4028705423,197,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507070859,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-02-12T15:16:34.093Z,2023-02-12T15:16:34Z,4028736087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507070887,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-02-12T15:16:34.093Z,2023-02-13T06:17:10Z,4028736211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507070923,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50.1,49.9,2023-02-12T15:16:34.102Z,2023-02-13T07:52:40Z,4028736405,279,S,4028736403,213,2.9,4028736397,140,33.0,4030503039,178,,4028736399,141,55.4,4028736401,212,18.3,4028736395,56,Back,,,,716n1970vi9rvw5b4w9qmjfth,A. Griezmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507070975,4,1,1,0,3,4ku8o6uf87yd8iecdalipo6wd,0,33.2,54.8,2023-02-12T15:16:37.280Z,2023-02-13T07:52:44Z,4028736693,155,,4028736697,140,71.0,4028736705,1,,4028736695,56,Right,4030503071,178,,4028736703,213,5.7,4028736699,141,18.5,4028736701,212,46.7,am5gj5qg3gjtyhvwfnj8sjz6d,Hermoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507246501,881,44,1,0,5,6f27yvbqcngegwsg2ozxxdj4,1,31.7,79.5,2023-02-12T15:16:39.361Z,2023-02-13T12:27:30Z,4030402905,233,945,4029681701,285,,4029681699,56,Back,,,,,,,,,,,,,,,,1lym8zscp7l8icay2cya7cauh,L. de la Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507246399,945,44,1,0,5,4ku8o6uf87yd8iecdalipo6wd,0,68.3,20.5,2023-02-12T15:16:39.362Z,2023-02-13T07:52:49Z,4029681037,286,,4029681035,56,Right,4030402909,233,881,,,,,,,,,,,,,,,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507071053,3,1,1,0,5,6f27yvbqcngegwsg2ozxxdj4,1,28.9,76,2023-02-12T15:16:39.425Z,2023-02-13T12:27:31Z,4028737103,213,1.0,4028737095,56,Back,4030503191,388,,4028737101,212,13.4,4028737099,141,92.3,4028737097,140,36.0,4028737093,3,,,,,1lym8zscp7l8icay2cya7cauh,L. de la Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507071055,4,49,1,0,8,6f27yvbqcngegwsg2ozxxdj4,1,36,92.3,2023-02-12T15:16:42.118Z,2023-02-13T07:53:30Z,,,,,,,,,,,,,,,,,,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
