id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2476392175,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-10-23T15:19:08.156Z,2022-10-23T16:26:21Z,3867639447,197,284,3867277177,130,8,3867277179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867277171,30,"1lgrnaje6y7un5dzzll84p91, 7c2qwyzh82a45s25zmdahrd91, dfjph36vcwfj5cevut4x3vf11, a7bs2dkwmy1cjryql6z3n9kut, e615cmv1tfzu84f0z8mwi5711, 57s7gfvt5btbfzm600wn7df55, 3bm08rp9rgzh6cjhk0picxs6h, c29mprqv2ulztd22b6uckczx1, 9y7202khwzb48ea7im646m11x, 5zoz3mjooujpv0wdcphyrztd6, a3w1uczgmswm3cwk4vmvoglhx, 76r2yw3wtql61qh5l0yumdn85, 6wpnjdlg2p8f19y3gjpz1su6t, aza9jho12wrfa3oczxoj670mh, 4rktv6j9sioe0gmu7jt77fsh5, 9m2qujt0h0zrd0n1akjqjo0r9, amcwh6w0brmkttg4uc5qm6z9w, dhtb9gizk25k1u3h0b7xgy4tl, 12qc3dkodeb8ykg6pc0kqf2l1, 4eezya3lwcwur6c8s6rl0rzvu, 32uxh37qc6ebx1z4h8qvuvdnt",3867277175,59,"13, 23, 12, 19, 3, 4, 11, 10, 22, 16, 18, 1, 2, 5, 9, 14, 15, 17, 20, 21, 31",3867277183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867277173,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867277181,194,e615cmv1tfzu84f0z8mwi5711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476394633,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-23T15:21:16.967Z,2022-10-23T16:24:25Z,3867290447,194,5rabxq8qyxf2q2ak506xim9rd,3867290437,30,"bglk6tokkpgjltpzljp1p345x, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, a5x0poaqzssg2yuou57qgyead, 99zc12kmr9893h24mo95wcn9x, 497cy3s5ck9f5h563c4aixfdg, 5rabxq8qyxf2q2ak506xim9rd, 36lk52zhgyn11s1pax3y7wout, e6ok0deqkoe80184iu509gzu2, 3cu2brlp37h4u00mm5n4hb651, 6kpscy08tl4fkie4w4hl49n11, 1htx8ub2kxvq0vnzarbrynyt, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, 63yktdky9m0aus8ebkaqzdhhx, c3secspt4xvu1q4g6aonn7zyt, ec4coej1l0a7he2896hjbz04q, 3flv9yp9x61ph57xugztva9nu, 1trnf7miqmcgr67c4808t4yj9, 1km9nvqz03yoj9cxpv127id7u, 9bbu1yne0l9j862yodiuldw4p, 8zvsos5fsrrf9aizqmyhtt9m, 7grh7aamrlrf1oagk8sn85zbo",3867290439,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867290445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867290449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867290441,59,"1, 17, 15, 21, 19, 2, 5, 4, 9, 12, 3, 6, 7, 8, 10, 13, 14, 18, 22, 23, 24, 26, 28",3867290443,130,10,3867631227,197,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466267,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2022-10-23T16:31:08.242Z,2022-10-24T02:40:43Z,3867661681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466249,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-23T16:31:08.242Z,2022-10-23T16:31:08Z,3867661615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466315,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,50,50.5,2022-10-23T16:31:08.341Z,2022-10-24T03:12:36Z,3867661927,279,S,3867661917,56,Back,3867661919,140,41.3,3869195571,178,,3867661923,212,9.1,3867661925,213,3.1,3867661921,141,50.9,,,,e6ok0deqkoe80184iu509gzu2,E. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466339,4,1,1,0,2,cobffe32r7g4skka9m19qib63,1,47.4,52,2022-10-23T16:31:10.533Z,2022-10-24T03:12:40Z,3867662027,140,34.3,3867662031,212,13.8,3867662025,56,Back,3867662033,213,3.2,3869195625,178,,3867662029,141,51.3,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466357,5,1,1,0,3,cobffe32r7g4skka9m19qib63,1,35.6,48.9,2022-10-23T16:31:11.692Z,2022-10-24T03:12:44Z,3869195689,178,,3867662107,213,5.0,3867662101,140,38.9,3867662105,212,10.7,3867662097,56,Back,3867662103,141,34.0,,,,,,,36lk52zhgyn11s1pax3y7wout,Íñigo Eguaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466423,6,1,1,0,4,cobffe32r7g4skka9m19qib63,1,40.3,32.4,2022-10-23T16:31:12.941Z,2022-10-24T03:12:48Z,3867662471,140,27.2,3867662475,212,14.7,3867662473,141,40.0,3869195751,178,,3867662469,56,Back,3867662477,213,2.8,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466439,7,1,1,0,7,cobffe32r7g4skka9m19qib63,1,29.1,39.6,2022-10-23T16:31:15.292Z,2022-10-24T03:13:07Z,3869196051,178,,3867662565,56,Back,3867662575,213,4.8,3867662567,140,31.9,3867662571,141,6.4,3867662573,212,22.8,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476466487,8,1,1,0,9,cobffe32r7g4skka9m19qib63,1,29.2,15.7,2022-10-23T16:31:18.192Z,2022-10-24T03:13:13Z,3867662797,212,27.6,3869196115,178,,3867662793,140,24.5,3867662795,141,55.7,3867662791,56,Back,3867662799,213,1.8,,,,,,,497cy3s5ck9f5h563c4aixfdg,Kaiky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
