id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2456366705,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-05T17:52:12.590Z,2022-09-05T18:46:17Z,3760912055,194,b6rbjpzuq9vo9kdil1tlyl2ad,3760912057,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760912053,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3761057689,197,273,3760912051,130,4,3760912049,59,"25, 2, 18, 17, 24, 5, 6, 4, 16, 21, 10, 20, 1, 3, 7, 8, 9, 11, 12, 14, 15, 23, 27",3760912047,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760912045,30,"5vyiq10fusxvrx4tajz9lmg9h, d8v7fh30bn0rbhj0lgn1j17th, 3zyib6lm9w7bi6lbek5m0dbrp, b6rbjpzuq9vo9kdil1tlyl2ad, 3fatiz92fyc3cn91ca11i0iqd, 9f83clp1v95kvlxdb376tgbth, 1whtyw1adggpz4j1xp7sjbeg9, 66t7zm54jgmcjtiizl9g0rkkp, 1jffh172t15s6ws7nou0fc251, 46gpq48n4d5bntwa8v2t78hcl, 2z101tpx36mno6neclyrym8yd, 458bvyiuixqgsysikrpoirxlh, 74gwlzg12wr9pkwmdh9xpa505, 8vdhfk7vik10ia4uv8zh1lbyt, 25txz41mi9auu289jliapd6tx, 234yd91ki5snm5wipuxzogkp, cj24ptt1lvwh7hakewqydobf9, 2z183ceh099zdd3wq5fvs1aay, 7v5zw48zp3pxd39q1i2qmul79, bqckicfyy7s8vqugcwwvwp5n9, 81egd7oua1lfq2j8lke5z0ueh, 6sj650wwmo08r10xzz2l9xkut, dka9aakcyyvh98m2uhkvs6qz8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367961,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-05T18:00:33.653Z,2022-09-05T19:00:11Z,3760920819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760920829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760920823,130,8,3761085535,197,8338,3760920817,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1km9nvqz03yoj9cxpv127id7u, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 3cu2brlp37h4u00mm5n4hb651, 1htx8ub2kxvq0vnzarbrynyt, 8b6idfe7dx59wkbc8zf539zv9, 5rabxq8qyxf2q2ak506xim9rd, blvf8qsi6iy6ejyer58okyxka, bglk6tokkpgjltpzljp1p345x, 497cy3s5ck9f5h563c4aixfdg, 8zlr9xkh9dkt1pbw3w91uazmd, e6ok0deqkoe80184iu509gzu2, 63yktdky9m0aus8ebkaqzdhhx, ec4coej1l0a7he2896hjbz04q, aj68ohnw0hxqnfxzjhpcwsavo, 3flv9yp9x61ph57xugztva9nu, a5x0poaqzssg2yuou57qgyead, 9bbu1yne0l9j862yodiuldw4p, 7grh7aamrlrf1oagk8sn85zbo, b9hzmsqkt2p1tu9ql6cip5ppm",3760920827,194,1htx8ub2kxvq0vnzarbrynyt,3760920825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760920821,59,"13, 17, 15, 23, 19, 22, 12, 6, 11, 5, 7, 1, 2, 8, 9, 10, 14, 16, 18, 21, 24, 28, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456397951,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-09-05T19:00:01.612Z,2022-09-05T19:00:03Z,3761088811,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456397943,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-05T19:00:01.612Z,2022-09-06T04:33:53Z,3761088765,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456397955,3,1,1,0,1,4jelr92fsge73q39is6qvhxb3,1,50,50,2022-09-05T19:00:02.727Z,2022-09-06T04:47:55Z,3761680915,178,,3761088853,279,S,3761088847,141,56.6,3761088845,140,44.7,3761088843,56,Back,3761088851,213,2.5,3761088849,212,7.1,,,,1jffh172t15s6ws7nou0fc251,Sergi Guardiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456397967,4,1,1,0,2,4jelr92fsge73q39is6qvhxb3,1,46.2,59.2,2022-09-05T19:00:04.556Z,2022-09-06T04:48:01Z,3761088915,56,Left,3761088917,140,54.1,3761088913,155,,3761088923,213,1.3,3761088919,141,98.5,3761680985,178,,3761088921,212,28.0,,,,b6rbjpzuq9vo9kdil1tlyl2ad,Roque Mesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456397979,5,1,1,0,4,4jelr92fsge73q39is6qvhxb3,1,58.3,98.1,2022-09-05T19:00:06.593Z,2022-09-06T04:48:16Z,3761088981,213,3.3,3761088971,3,,3761088973,56,Back,3761088979,212,15.2,3761088977,141,94.2,3761088975,140,44.0,3761681073,388,,,,,2z101tpx36mno6neclyrym8yd,Óscar Plano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456398001,6,1,1,0,7,4jelr92fsge73q39is6qvhxb3,1,41.3,89.7,2022-09-05T19:00:09.294Z,2022-09-06T04:51:46Z,3761089083,212,21.0,3761089077,56,Back,3761089085,213,3.7,3761089079,140,24.6,3761089081,141,72.7,3761682981,178,,,,,,,,3zyib6lm9w7bi6lbek5m0dbrp,Escudero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456398009,7,1,1,0,10,4jelr92fsge73q39is6qvhxb3,1,22.5,70.9,2022-09-05T19:00:11.674Z,2022-09-06T04:51:53Z,3761089151,56,Back,3761089157,212,25.4,3761089155,141,33.6,3761683023,178,,3761089159,213,4.7,3761089153,140,22.0,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456398027,8,1,1,0,12,4jelr92fsge73q39is6qvhxb3,1,25.9,25.8,2022-09-05T19:00:14.551Z,2022-09-06T04:51:59Z,3761683049,178,,3761089247,141,9.5,3761089245,140,34.0,3761089243,56,Back,3761089251,213,5.4,3761089249,212,14.0,,,,,,,3fatiz92fyc3cn91ca11i0iqd,Joaquín Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
