id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,keyPass,qualifier/13/value,qualifier/16/value
2451771633,10,49,1,1,27,50x1m4u58lffhq6v6ga1hbxmy,1,22.3,2.9,2022-08-27T17:32:27.403Z,2022-08-28T03:31:01Z,,,,,,,,,,,,,,,,,,,,,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451771753,11,1,1,1,29,50x1m4u58lffhq6v6ga1hbxmy,0,24.2,1.9,2022-08-27T17:32:29.531Z,2022-08-28T03:31:06Z,3736373907,56,Center,3736373909,140,70.4,3736373905,155,,3736373913,212,50.5,3736373915,213,0.3,3738656155,178,,3736373917,1,,3736373911,141,22.5,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451771747,11,49,1,1,34,3budh3j9xivsid3ptm8ptpy4k,1,23,73.8,2022-08-27T17:32:35.171Z,2022-08-28T03:31:15Z,,,,,,,,,,,,,,,,,,,,,,,,,1ho7koiegfhsuevuum2meibu2,P. Ciss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452252397,1120,43,1,1,36,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-08-27T17:32:37.086Z,2022-08-28T07:32:06Z,3739001925,144,83,3739001825,399,441175,,,,,,,,,,,,,,,,,,,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451771861,12,1,1,1,36,3budh3j9xivsid3ptm8ptpy4k,1,20.7,62.4,2022-08-27T17:32:37.100Z,2022-08-28T03:31:18Z,3736374573,213,4.9,3736374567,140,25.9,3736374569,141,16.4,3736374565,56,Back,3738656681,178,,3736374571,212,31.8,,,,,,,1ho7koiegfhsuevuum2meibu2,P. Ciss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451771929,13,1,1,1,41,3budh3j9xivsid3ptm8ptpy4k,1,32.6,13,2022-08-27T17:32:41.793Z,2022-08-28T03:31:26Z,3736374883,140,25.8,3736374891,1,,3736374885,141,66.8,3736374889,213,1.8,3736374881,56,Back,3736374887,212,37.3,3738657051,178,,,,,bpfp895223p7w0px2ui3nb2l1,I. Balliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772023,14,1,1,1,44,3budh3j9xivsid3ptm8ptpy4k,1,23.7,67.4,2022-08-27T17:32:44.745Z,2022-08-28T03:31:30Z,3736375451,213,1.1,3736375443,56,Back,3738657225,178,,3736375447,141,94.1,3736375449,212,20.8,3736375445,140,33.3,,,,,,,bi8nrmyaxsgbhixw921fzvm5l,Catena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772051,15,1,1,1,49,3budh3j9xivsid3ptm8ptpy4k,1,45.5,95.9,2022-08-27T17:32:50.129Z,2022-08-28T03:31:35Z,3736375579,140,64.7,3736375581,141,96.0,3736375585,213,0.0,3736375577,56,Left,3736375583,212,20.2,3738657411,178,,,,,,,,39c5g6782qlrtw55fsre7exnt,Fran García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772069,16,1,1,1,50,3budh3j9xivsid3ptm8ptpy4k,0,64.6,96,2022-08-27T17:32:50.829Z,2022-08-28T03:31:41Z,3736375701,140,60.4,3736375707,213,4.5,3738657659,178,,3736375705,212,20.9,3736375699,56,Center,3736375703,141,66.0,,,,,,,8eh38t4oyyt728co362f6uqqd,Álvaro García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772077,12,49,1,1,52,50x1m4u58lffhq6v6ga1hbxmy,1,40.5,38.8,2022-08-27T17:32:52.941Z,2022-08-28T03:31:54Z,,,,,,,,,,,,,,,,,,,,,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
