id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/9/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2499280289,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-21T16:23:39.513Z,2023-01-21T17:32:10Z,3987951607,59,"13, 16, 23, 6, 20, 22, 10, 14, 19, 11, 8, 1, 4, 5, 9, 17, 18, 21, 30, 31, 34, 36",3987951615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987951611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987951613,194,b9kfek16otvdorssn0wzkb36d,3987951609,130,7,3987951605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987951603,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, b9kfek16otvdorssn0wzkb36d, 59234as8h70fejyfm7492np3p, am5gj5qg3gjtyhvwfnj8sjz6d, 6fdvv4zs5pl6qj7pp6tsp5iad, amxunh6enoc99r07cp7qt621h, 46kq5653o302ebz4o5yzsss0l, ejcyvgclry4g5pc2rtptifphx, 716n1970vi9rvw5b4w9qmjfth, cfhk5255hz4wbs2zsrq219a6t, 58qeglyxdi7y8ttg8sddv8set, 3ga7qj3h3dbmqucxmaxhmrjdh, b37h0rc96jh4e34x6iru2plud, 40h47dhimsmeiury61w1ourx1, f30avgacyfz88ppw9mh8v57md, 20m7tijt8jnedjd4x87olmaqd, d3kuh0z8x9e9ywc7g4agv1yxg, d0di86falsvqnl1c4ev98my5m, 9e7ybe0nsu3byq2tteey3zuy2, e7ezci1jed1hnvdq8kf6lq3qi",3988260095,197,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499283381,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-01-21T16:25:51.269Z,2023-01-21T20:26:58Z,3987968075,59,"1, 2, 12, 32, 15, 5, 4, 6, 7, 9, 10, 3, 11, 14, 16, 17, 20, 25, 27, 39",3987968085,194,74gwlzg12wr9pkwmdh9xpa505,3987968081,130,10,3987968071,30,"74gwlzg12wr9pkwmdh9xpa505, d8v7fh30bn0rbhj0lgn1j17th, 7v5zw48zp3pxd39q1i2qmul79, b64ooee68x644gdibifgssrh0, 81egd7oua1lfq2j8lke5z0ueh, 9f83clp1v95kvlxdb376tgbth, 66t7zm54jgmcjtiizl9g0rkkp, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, cj24ptt1lvwh7hakewqydobf9, 2z101tpx36mno6neclyrym8yd, 8vdhfk7vik10ia4uv8zh1lbyt, 2z183ceh099zdd3wq5fvs1aay, bqckicfyy7s8vqugcwwvwp5n9, 1jffh172t15s6ws7nou0fc251, b6rbjpzuq9vo9kdil1tlyl2ad, 458bvyiuixqgsysikrpoirxlh, 5vyiq10fusxvrx4tajz9lmg9h, dka9aakcyyvh98m2uhkvs6qz8, 9tp35qqu1heburu0g5wa6jv56",3987968083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987968073,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3988259761,197,273,3987968143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339833,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-21T17:31:42.407Z,2023-01-22T06:32:32Z,3988271639,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339841,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2023-01-21T17:31:42.407Z,2023-01-21T17:31:45Z,3988271671,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339855,3,1,1,0,0,4jelr92fsge73q39is6qvhxb3,1,50.1,49.9,2023-01-21T17:31:42.435Z,2023-01-22T06:52:08Z,3988271727,140,41.7,3989446029,178,,3988271725,56,Back,3988271735,279,S,3988271731,212,8.9,3988271733,213,3.0,3988271729,141,51.1,,,,25txz41mi9auu289jliapd6tx,Sergio León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339937,4,1,1,0,3,4jelr92fsge73q39is6qvhxb3,1,45.3,65.7,2023-01-21T17:31:46.378Z,2023-01-22T06:52:36Z,3988272153,212,17.4,3988272151,141,80.9,3988272155,213,2.5,3989446353,178,,3988272147,56,Back,3988272149,140,32.0,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339953,5,1,1,0,6,4jelr92fsge73q39is6qvhxb3,1,29.6,77.6,2023-01-21T17:31:48.856Z,2023-01-22T06:52:42Z,3988272239,213,4.7,3988272229,56,Back,3988272233,140,29.0,3988272235,141,50.9,3989446423,178,,3988272237,212,18.2,,,,,,,b64ooee68x644gdibifgssrh0,David Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339985,6,1,1,0,9,4jelr92fsge73q39is6qvhxb3,1,29.1,50.9,2023-01-21T17:31:52.403Z,2023-01-22T06:52:46Z,3989446477,178,,3988272389,212,14.7,3988272383,56,Back,3988272391,213,4.2,3988272385,140,22.5,3988272387,141,31.9,,,,,,,1whtyw1adggpz4j1xp7sjbeg9,Álvaro Aguado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499340027,7,1,1,0,12,4jelr92fsge73q39is6qvhxb3,1,22.4,31.9,2023-01-21T17:31:54.518Z,2023-01-22T06:52:54Z,3988272637,140,22.6,3988272643,213,1.6,3989446531,178,,3988272641,212,18.2,3988272639,141,58.7,3988272635,56,Back,,,,,,,81egd7oua1lfq2j8lke5z0ueh,J. El Yamiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499340065,8,1,1,0,17,4jelr92fsge73q39is6qvhxb3,1,33,68.2,2023-01-21T17:31:59.706Z,2023-01-22T06:53:03Z,3988272809,56,Back,3989446649,178,,3988272819,213,1.1,3988272811,140,40.7,3988272815,212,18.9,3988272813,141,93.3,,,,,,,1whtyw1adggpz4j1xp7sjbeg9,Álvaro Aguado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
