id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/16/value,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2537088695,3,5,1,0,12,3czravw89omgc9o4s0w3l1bg5,1,51.6,101.7,2023-04-22T14:15:54.416Z,2023-04-23T11:49:53Z,4208616921,347,,4208616919,56,Left,4208617143,233,8,,,,,,,,,,,,,,,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537088335,8,5,1,0,12,cobffe32r7g4skka9m19qib63,0,48.4,-1.7,2023-04-22T14:15:54.416Z,2023-04-23T11:49:54Z,4208615101,347,,4208617261,233,3,4208615099,56,Back,,,,,,,,,,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537088797,4,1,1,0,26,3czravw89omgc9o4s0w3l1bg5,1,46.3,100,2023-04-22T14:16:09.126Z,2023-04-23T11:49:56Z,4208617491,212,11.6,4208617487,140,48.0,4208617485,56,Back,4208617489,141,83.9,4208617483,107,,4208617493,213,4.9,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537088857,5,1,1,0,28,3czravw89omgc9o4s0w3l1bg5,0,46.3,82,2023-04-22T14:16:10.245Z,2023-04-23T11:50:00Z,4208617835,141,100.0,4208617839,213,0.8,4208617833,140,59.0,4213013017,178,,4208617837,212,18.9,4208617831,56,Left,,,,,,,e40eqhxzzid2chfyxph37tuxh,Ander Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537088867,6,5,1,0,30,3czravw89omgc9o4s0w3l1bg5,0,64.9,101.8,2023-04-22T14:16:12.233Z,2023-04-23T11:50:03Z,4208617883,347,,4208617881,56,Left,4208618841,233,9,,,,,,,,,,,,,,,,e40eqhxzzid2chfyxph37tuxh,Ander Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089017,9,5,1,0,30,cobffe32r7g4skka9m19qib63,1,35.1,-1.8,2023-04-22T14:16:12.233Z,2023-04-23T11:50:02Z,4208618721,347,,4208618827,233,6,4208618719,56,Back,,,,,,,,,,,,,,,,3flv9yp9x61ph57xugztva9nu,Arnau Puigmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089535,10,1,1,0,44,cobffe32r7g4skka9m19qib63,1,34.1,0,2023-04-22T14:16:26.224Z,2023-04-23T11:50:08Z,4208621413,140,53.4,4208621409,107,,4208621411,56,Right,4208621417,212,20.3,4208621419,213,0.1,4208621415,141,1.0,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089553,11,1,1,0,46,cobffe32r7g4skka9m19qib63,0,52.7,1.3,2023-04-22T14:16:28.708Z,2023-04-23T11:50:16Z,4213014141,178,,4208621517,140,53.8,4208621529,213,0.1,4208621527,212,1.2,4208621713,236,,4208621715,233,7,4208621719,286,,4208621523,141,1.4,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,4208621513,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089565,7,74,1,0,46,3czravw89omgc9o4s0w3l1bg5,1,45,95.7,2023-04-22T14:16:28.744Z,2023-04-23T11:50:19Z,4208621821,233,11,4208621597,56,Back,4213014443,178,,4208621601,285,,,,,,,,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089613,12,1,1,0,47,cobffe32r7g4skka9m19qib63,0,41.4,5.2,2023-04-22T14:16:29.932Z,2023-04-23T11:50:26Z,4208621849,212,12.5,4208621845,140,53.3,4208621851,213,6.2,4213014933,178,,4208621843,56,Right,4208621847,141,4.4,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089599,8,49,1,0,48,3czravw89omgc9o4s0w3l1bg5,1,44.6,95.6,2023-04-22T14:16:30.284Z,2023-04-23T11:50:33Z,,,,,,,,,,,,,,,,,,,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089675,9,1,1,0,48,3czravw89omgc9o4s0w3l1bg5,0,44.3,92.1,2023-04-22T14:16:31.122Z,2023-04-23T11:50:38Z,4213015627,178,,4208622183,140,45.0,4208637757,236,,4208622185,141,92.1,4208622189,213,0,4208637763,286,,4208622181,56,Back,4208622187,212,0.7,8hm6d6395johhjsoe8jz6dcyd,Yuri,4208637759,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089767,13,74,1,0,49,cobffe32r7g4skka9m19qib63,1,53.3,3.8,2023-04-22T14:16:31.183Z,2023-04-23T11:50:42Z,4213015917,178,,4208622699,56,Right,4208622701,285,,4208637801,233,9,,,,,,,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089707,10,1,1,0,49,3czravw89omgc9o4s0w3l1bg5,1,42.1,87,2023-04-22T14:16:32.068Z,2023-04-23T11:50:48Z,4208622361,212,15.6,4208622365,213,3.0,4208622355,140,27.4,4213016383,178,,4208622351,56,Back,4208622357,141,90.2,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089813,11,1,1,0,51,3czravw89omgc9o4s0w3l1bg5,1,27.4,90.2,2023-04-22T14:16:34.042Z,2023-04-23T11:50:51Z,4213016633,178,,4208622983,212,33.9,4208622979,140,33.7,4208622985,213,4.9,4208622987,1,,4208622981,141,41.3,4208622977,56,Back,,,,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537089911,12,1,1,0,54,3czravw89omgc9o4s0w3l1bg5,1,31.1,21.4,2023-04-22T14:16:36.791Z,2023-04-23T11:50:55Z,4208623663,212,11.6,4208623659,141,38.4,4208623657,140,29.8,4213016867,178,,4208623665,213,1.7,4208623653,56,Back,,,,,,,e9wu8g45hq2c1vp07jktx0set,De Marcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090039,13,1,1,0,59,3czravw89omgc9o4s0w3l1bg5,1,29.8,38.4,2023-04-22T14:16:41.411Z,2023-04-23T11:50:57Z,4208624343,140,30.0,4208624345,141,66.1,4213017059,178,,4208624349,213,1.6,4208624347,212,18.8,4208624341,56,Back,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090125,14,1,1,1,2,3czravw89omgc9o4s0w3l1bg5,1,29.5,82.3,2023-04-22T14:16:44.469Z,2023-04-23T11:51:00Z,4208624847,155,,4208624849,56,Center,4208624853,141,61.5,4208624859,1,,4213017159,178,,4208624855,212,36.4,4208624857,213,5.9,4208624851,140,61.4,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090139,15,1,1,1,4,3czravw89omgc9o4s0w3l1bg5,0,61.9,61.6,2023-04-22T14:16:46.555Z,2023-04-23T11:51:05Z,4208624967,213,0.5,4208624961,140,74.0,4208624965,212,14.7,4208624963,141,72.6,4211584027,168,,4208624959,56,Center,4213017603,388,,4208624957,3,,3tzvbdszdrj1tayik9igbve8l,Gorka Guruzeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090175,14,49,1,1,5,cobffe32r7g4skka9m19qib63,1,28.5,19.4,2023-04-22T14:16:47.298Z,2023-04-23T11:51:10Z,,,,,,,,,,,,,,,,,,,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
