id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2496929195,1,34,16,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-01-13T18:52:24.354Z,2023-01-13T20:05:57Z,3975554285,30,"c1b9p5bk8hfyw0bi6thva0lw5, 7k2alak95p1u2ysftwwiaqsid, 40gxfsz7bgrkdudqewlpxzyzt, e8s9ssopq5nmp51zymvqp8jbp, 3qrk8nw6nc8o96n7jr1az21ux, c3sl9ajm4q424r4u37iath3hl, e3czx0nsuw10acnftbr8ud0bt, ea5xlslcii56ycrlmyo6uiimt, cs2yx3hiqjsb4i5ul2r5kmdat, 37b6tzaexinmfadvi4you5wmi, 5ez2huoeh2g3ijpgr7m15lg5, 64h0x8sur55l07oaiuog4v2z9, 2aumz6rtq4ufba7z7zn5v8frp, 59ndqnsvggsoek170rdqyd1w5, 9g4devlvymukexrvfgkipd6tx, 2ge9oa66xgsefhhpvuboua76x, e91yegwfliqhfy9yyk19otafo, cbym98g15egnbeda05mt3drrp, adwkydlkclg8u72rxh51lvkyd, 1lym8zscp7l8icay2cya7cauh, 3sy16pz110zmyq073ao24l1ck, 9ksvo095xi2t4q4pvgxa836z8, bv6u6k40izwaoyzyahynyfqax",3975554295,194,7k2alak95p1u2ysftwwiaqsid,3975581061,197,279,3975554291,130,17,3975554287,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975554289,59,"1, 2, 17, 4, 15, 3, 8, 5, 10, 24, 11, 7, 9, 13, 14, 18, 19, 20, 21, 23, 26, 35, 36",3975554297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975554293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496930483,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-01-13T18:57:49.352Z,2023-01-13T20:09:09Z,3975560707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975560697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3975560703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3975560699,59,"1, 8, 12, 10, 23, 4, 11, 14, 7, 19, 22, 2, 5, 6, 9, 18, 20, 21, 35",3975560701,130,7,3975560705,194,9m2qujt0h0zrd0n1akjqjo0r9,3975560695,30,"76r2yw3wtql61qh5l0yumdn85, 5soi8e2hlk77rlsbsl76hg3xl, dfjph36vcwfj5cevut4x3vf11, c29mprqv2ulztd22b6uckczx1, 7c2qwyzh82a45s25zmdahrd91, 57s7gfvt5btbfzm600wn7df55, 3bm08rp9rgzh6cjhk0picxs6h, 9m2qujt0h0zrd0n1akjqjo0r9, 2biwwlvzgsu5kmyw5w1adpmtx, a7bs2dkwmy1cjryql6z3n9kut, 9y7202khwzb48ea7im646m11x, 6wpnjdlg2p8f19y3gjpz1su6t, aza9jho12wrfa3oczxoj670mh, 5mx86rwy0u4xi1b5kqin4lhx, 4rktv6j9sioe0gmu7jt77fsh5, a3w1uczgmswm3cwk4vmvoglhx, 12qc3dkodeb8ykg6pc0kqf2l1, 4eezya3lwcwur6c8s6rl0rzvu, eiqcjlj9kmitoj8g50vaglawa",3975678207,197,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953605,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-01-13T20:01:54.830Z,2023-01-13T20:01:55Z,3975681557,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953613,2,32,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,0,0,2023-01-13T20:01:54.830Z,2023-01-14T03:23:12Z,3975681605,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953627,3,1,1,0,0,6f27yvbqcngegwsg2ozxxdj4,1,50.1,50.1,2023-01-13T20:01:54.837Z,2023-01-14T04:48:38Z,3975681665,212,12.6,3976116445,178,,3975681659,56,Back,3975681663,141,54.8,3975681667,213,2.9,3975681669,279,S,3975681661,140,38.5,,,,cs2yx3hiqjsb4i5ul2r5kmdat,Iago Aspas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953657,4,1,1,0,1,6f27yvbqcngegwsg2ozxxdj4,1,40,59.7,2023-01-13T20:01:56.789Z,2023-01-14T04:48:45Z,3975681831,212,6.1,3975681829,141,52.5,3975681827,140,36.6,3975681833,213,4.1,3976116651,178,,3975681825,56,Back,,,,,,,ea5xlslcii56ycrlmyo6uiimt,Óscar Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953671,5,1,1,0,4,6f27yvbqcngegwsg2ozxxdj4,1,36.6,52.5,2023-01-13T20:01:58.901Z,2023-01-14T04:48:50Z,3975681909,141,78.6,3975681907,140,26.3,3976116673,178,,3975681911,212,20.8,3975681905,56,Back,3975681913,213,2.1,,,,,,,e3czx0nsuw10acnftbr8ud0bt,Fran Beltrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953703,6,1,1,0,6,6f27yvbqcngegwsg2ozxxdj4,1,26.3,78.6,2023-01-13T20:02:01.773Z,2023-01-14T04:48:55Z,3976116751,178,,3975682093,213,0.9,3975682075,56,Back,3975682083,141,92.1,3975682079,140,32.6,3975682087,212,11.3,,,,,,,e8s9ssopq5nmp51zymvqp8jbp,Unai Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953723,7,1,1,0,9,6f27yvbqcngegwsg2ozxxdj4,1,32.6,92.1,2023-01-13T20:02:04.156Z,2023-01-14T04:48:58Z,3975682195,56,Back,3975682197,140,16.9,3975682201,212,19.6,3975682203,213,3.7,3975682199,141,76.5,3976116767,178,,,,,,,,40gxfsz7bgrkdudqewlpxzyzt,Javi Galán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496953789,8,1,1,0,11,6f27yvbqcngegwsg2ozxxdj4,1,16.9,76.5,2023-01-13T20:02:06.573Z,2023-01-14T04:49:10Z,3976116949,178,,3975682559,212,21.5,3975682561,213,4.1,3975682555,140,5.5,3975682557,141,50.3,3975682553,56,Back,,,,,,,e8s9ssopq5nmp51zymvqp8jbp,Unai Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
