id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/13/value,qualifier/15/value
2474242171,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-19T15:50:42.960Z,2022-10-19T15:50:43Z,3855927537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3855927529,30,"1vn3xi2x6vtjor1bt1ob1vk5x, 9226xt1t1m3fy4ob9l2r16609, emvmn561wgd62zj0s3qi5j5rd, 10f06nit2xupshuz4lmazrvth, 7rfcycybym05sbe0j1g6yhfx1, 4hhuyat3grozmgba4f55zyajt, 7hyo7fy8hospvlvtlfv7q73ai, 73efpm314q2paeacsvp4e8q8l, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, 9jxofpmrfh2lil77f9xj22kiy, e5rlll2fvd9wsk40o6pztsc0l, dfytsnxfl78jnug9trsa9qv3d, 1myo59ub6qouwvxpb699shhw5, d12m2oz1lomkc1qxmpht38lat, 75079gtd2efpviyo605ozsd79, s96k2x2cts0vo6y6aaeui5zp, 3m7wjcmet9b8sc5tu0ct8j0et, 4pizap25enja9rtz4g6x5bkd1, f5blplnlgn04f54kqsfx1b7qh, 5gtoi90sxc43mbsfxwfv7wzxl, euy1s0xo19019kegzcpp1gez9, 4jjk6jqgz3w4uvm3bvhl9t016",3855927535,130,8,3855927533,59,"1, 24, 33, 14, 16, 3, 11, 5, 12, 17, 28, 2, 4, 6, 9, 10, 13, 15, 18, 19, 21, 23, 29",3855927531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3855927539,194,9anxnfthjotjwmr3o9j9lzsnp,3855927543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3855927541,197,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474242421,1,34,16,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-10-19T15:53:59.406Z,2022-10-19T17:00:24Z,3855928961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3855928963,59,"1, 2, 21, 24, 3, 5, 10, 8, 9, 15, 14, 4, 6, 7, 12, 16, 17, 18, 20, 22, 23, 26, 36",3855928969,194,7s0xu9z5egw0sjf8qibdwa6s5,3855928967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3855928959,30,"el98wqtf7w1ap9ei2bxqwtx3p, 87d9nk7nzy4blezcur66rz1ed, d2z22er0uqxu3w3h3ta36wh61, aabvyjqpd63os1yzthx8ej6c5, 9wozklkj2p3a83j51p27a59ed, 4ktnru3pqurww9h9af7n2959l, bpvxqbiu11k4ivohi3798kxxx, 7s0xu9z5egw0sjf8qibdwa6s5, 3ia1z3fooszynz9a81dn17oid, a8ws0c0qiekoeqib6xxet0ixh, 92b22xcwri3rokbvu09htjhwq, 9c2cfavuofg0yz3307nkgi0ut, 2rn90c44nbr991vxlj2nmwxqt, wwdfv8zkkgplnpbz12pv8frp, b9b44wsl4d24yps6luijnhgix, 8wh06x3xb8duroz673s3c43x1, 9rm0qaumcii8d9zqxkh9nq4lx, 3r9gdse50kyeq9ya1o3ul0e6t, 91lln39q4rzbp8z000p0evn4l, 2qauzcv74cd8uqfv2ibl52ymt, 6pfbtlfphouu35kbwjiavwgyd, 8h6je56fe74djcd3va7iq6yhg, 4zve4017u2i3zvxlnjruv25t5",3855928971,197,1511,3855928973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3855928965,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264213,2,32,1,0,0,82q9159y2u7mkfn3z6hy75r4o,1,0,0,2022-10-19T17:00:35.549Z,2023-03-15T09:38:58Z,3856049839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264201,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-19T17:00:35.549Z,2022-10-19T17:00:35Z,3856049779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264239,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50,50,2022-10-19T17:00:35.566Z,2022-10-20T07:24:28Z,3857376139,178,,3856049985,140,43.7,3856049987,141,53.5,3856049993,279,S,3856049991,213,2.8,3856049989,212,7.0,3856049983,56,Back,,,,8hn7wb9jf6unade238t4vl3o5,Willian José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264251,4,1,1,0,1,ah8dala7suqqkj04n2l8xz4zd,1,43.1,50.7,2022-10-19T17:00:37.441Z,2022-10-20T05:12:50Z,3856050049,56,Back,3856050055,212,21.3,3856050057,213,4.2,3856050053,141,23.1,3857376145,178,,3856050051,140,33.5,,,,,,,9anxnfthjotjwmr3o9j9lzsnp,Joaquín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264267,5,1,1,0,3,ah8dala7suqqkj04n2l8xz4zd,1,33.5,23.1,2022-10-19T17:00:39.344Z,2022-10-20T05:12:51Z,3856050145,140,21.0,3856050151,213,2.7,3856050147,141,32.6,3857376149,178,,3856050149,212,14.6,3856050143,56,Back,,,,,,,9226xt1t1m3fy4ob9l2r16609,Aitor Ruibal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264289,6,1,1,0,6,ah8dala7suqqkj04n2l8xz4zd,0,22.1,30.3,2022-10-19T17:00:42.001Z,2022-10-20T05:12:51Z,3856050243,141,25.5,3856050239,56,Center,3856050241,140,60.2,3856050249,1,,3856050247,213,6.2,3857376161,178,,3856050245,212,40.1,3856050237,157,,7rfcycybym05sbe0j1g6yhfx1,G. Pezzella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264313,3,1,1,0,9,82q9159y2u7mkfn3z6hy75r4o,0,34,71.8,2022-10-19T17:00:45.032Z,2022-10-20T05:12:51Z,3856050369,141,64.6,3856050363,3,,3856050375,1,,3856050371,212,39.7,3857376165,178,,3856050365,56,Center,3856050373,213,6.2,3856050367,140,71.5,4ktnru3pqurww9h9af7n2959l,M. Mbaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474264335,7,1,1,0,12,ah8dala7suqqkj04n2l8xz4zd,0,24.4,37.2,2022-10-19T17:00:47.999Z,2023-03-15T09:40:28Z,3856050505,212,9.6,3856050499,56,Back,3856050507,213,5.8,3857376177,178,,3856050497,157,,3856050509,1,,3856050501,140,32.4,3856050503,141,30.3,4hhuyat3grozmgba4f55zyajt,Edgar González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
