id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value
2506574395,1,34,16,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2023-02-11T18:46:19.153Z,2023-02-11T20:06:48Z,4026479001,197,1597,4026187045,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4026187043,30,"20o2dr1mdk18xhxmkujzgak89, wlqj34ev5mucxtfx6j4tr9at, 5b1q9bpe23j98eoy4fwi7ld5h, 9dc4qkvh0vk5kwymibji00kp, 5uig03vbbv71f0q31cp3vfbv9, eucssbf7wamb41y1gixfodivp, b2e12l3s3dxgyr8d2rk5qb9ey, 64ctdbd0w5ikj0fkcuu9jdbhm, afyga3n1mliw0btcuixt6xolx, 9z3aqwq5swt9qklwnzuhqcogl, 7yngrviue4iji7w0f9ql07j6x, 23zkmpw4902qf9xvd8z5wptcl, f1e3gi3dx3er2vz7loriw6e39, 5qgc6zjc38a5xjl35gs7h3vu1, bqrz2xmu25taby17bl7cycjqh, csqsdjsa4leo6z86qphjuectm, 7yieh5r0uzk6d6x9o060c2bfu, d6kzekcwqw0q8fq6wt6rmyusq, eiz5j566h4fq4wro1t9lfuw2x, 66fshzi5f86wt1lwa4kdhiooa, 6o76owze8y78ue9sb49g8kyz8, aqqd7tq7z6bj3wn3u3sz3uuqc",4026187047,59,"25, 20, 14, 18, 24, 12, 4, 8, 7, 11, 16, 1, 3, 9, 13, 15, 19, 21, 22, 29, 33, 36",4026187053,194,5b1q9bpe23j98eoy4fwi7ld5h,4026187055,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026187049,130,4,4026187051,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506574445,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-11T18:46:22.699Z,2023-02-11T19:57:18Z,4026472671,197,12043,4026187309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026187307,130,8,4026187311,194,81png9xvfr224o03vaksp6aqd,4026187313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4026187303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4026187305,59,"1, 18, 15, 6, 3, 5, 11, 8, 22, 10, 7, 2, 9, 12, 13, 14, 16, 19, 21, 24, 31, 35",4026187301,30,"4vlurpsi44g09g159t61u83bp, e9wu8g45hq2c1vp07jktx0set, v7isqpxiursyjhj5rmhyhjv9, 83n1qv6ypl625aolzjeqifv11, 9d5h5wxf44qu4fw3jk2pgis16, uzzq2p3s1qnb3wv1pee3mcph, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, aow6cahecmexgd5qxt3esmaxh, 81png9xvfr224o03vaksp6aqd, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, ddvvwqxpsqqboupi3gx1ijhed, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 1rjzsyc8yt25tyelzg820if2t, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, 8bpmnz5rz94ayk10hr0ekki51, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631369,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-02-11T20:02:16.202Z,2023-02-11T20:02:16Z,4026483981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631387,2,32,1,0,0,ba5e91hjacvma2sjvixn00pjo,1,0,0,2023-02-11T20:02:16.202Z,2023-02-12T07:48:00Z,4026484039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631397,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.1,49.9,2023-02-11T20:02:16.237Z,2023-02-12T08:08:58Z,4026484089,140,36.6,4026484087,56,Back,4026484097,279,S,4027657615,178,,4026484095,213,2.6,4026484093,212,16.1,4026484091,141,61.2,,,,81png9xvfr224o03vaksp6aqd,Muniain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631435,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,1,37.9,61.2,2023-02-11T20:02:18.839Z,2023-02-12T08:09:06Z,4026484303,56,Right,4026484305,140,70.5,4026484301,155,,4026484309,212,45.8,4026484307,141,16.5,4027657751,178,,4026484311,213,5.6,4026484313,1,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631437,5,44,1,0,5,3czravw89omgc9o4s0w3l1bg5,1,69.9,16.3,2023-02-11T20:02:22.159Z,2023-02-12T14:08:34Z,4026484335,233,3,4026484317,56,Right,4026484319,286,,,,,,,,,,,,,,,,,aow6cahecmexgd5qxt3esmaxh,Raúl García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631429,3,44,1,0,5,ba5e91hjacvma2sjvixn00pjo,0,30.1,83.7,2023-02-11T20:02:22.160Z,2023-02-12T08:09:12Z,4026484289,56,Back,4026484369,233,5,4026484291,285,,,,,,,,,,,,,,,,,64ctdbd0w5ikj0fkcuu9jdbhm,Ilaix Moriba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631449,6,1,1,0,5,3czravw89omgc9o4s0w3l1bg5,0,70.1,16.7,2023-02-11T20:02:22.175Z,2023-02-12T14:08:34Z,4026484395,140,94.4,4026484399,212,26.6,4026484397,141,5.8,4027658091,388,,4026484389,3,,4026484393,56,Right,4026484391,168,,4026484401,213,6.0,aow6cahecmexgd5qxt3esmaxh,Raúl García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631469,6,43,1,0,8,ba5e91hjacvma2sjvixn00pjo,1,0,0,2023-02-11T20:02:24.542Z,2023-02-11T20:02:28Z,4026484599,144,1,4026484489,213,1.3,4026484485,141,98.1,4026484483,140,11.0,4026484487,212,2.5,4026484481,56,Back,,,,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506631453,4,49,1,0,9,ba5e91hjacvma2sjvixn00pjo,1,5.7,93.6,2023-02-11T20:02:25.391Z,2023-02-12T08:09:25Z,,,,,,,,,,,,,,,,,,,,,,,,,5b1q9bpe23j98eoy4fwi7ld5h,José Gayà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
