id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2469534563,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-09T10:49:36.772Z,2022-10-09T10:49:37Z,3831009557,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831009559,59,"1, 27, 18, 17, 24, 5, 4, 6, 7, 21, 10, 3, 8, 9, 12, 14, 16, 20, 31, 32, 39",3831009565,194,74gwlzg12wr9pkwmdh9xpa505,3831009561,130,4,3831009567,197,273,3831009569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831009555,30,"74gwlzg12wr9pkwmdh9xpa505, dka9aakcyyvh98m2uhkvs6qz8, 3zyib6lm9w7bi6lbek5m0dbrp, b6rbjpzuq9vo9kdil1tlyl2ad, 3fatiz92fyc3cn91ca11i0iqd, 9f83clp1v95kvlxdb376tgbth, 66t7zm54jgmcjtiizl9g0rkkp, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, 46gpq48n4d5bntwa8v2t78hcl, 2z101tpx36mno6neclyrym8yd, 8vdhfk7vik10ia4uv8zh1lbyt, 234yd91ki5snm5wipuxzogkp, cj24ptt1lvwh7hakewqydobf9, 7v5zw48zp3pxd39q1i2qmul79, bqckicfyy7s8vqugcwwvwp5n9, 1jffh172t15s6ws7nou0fc251, 458bvyiuixqgsysikrpoirxlh, d8om2m3knmfqt17u5emlapi50, b64ooee68x644gdibifgssrh0, 9tp35qqu1heburu0g5wa6jv56",3831009563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469536821,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-09T10:55:45.486Z,2022-10-09T11:55:40Z,3831022113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831022105,30,"s96k2x2cts0vo6y6aaeui5zp, e5rlll2fvd9wsk40o6pztsc0l, 3m7wjcmet9b8sc5tu0ct8j0et, 10f06nit2xupshuz4lmazrvth, 7rfcycybym05sbe0j1g6yhfx1, 1myo59ub6qouwvxpb699shhw5, 7hyo7fy8hospvlvtlfv7q73ai, 73efpm314q2paeacsvp4e8q8l, d12m2oz1lomkc1qxmpht38lat, 75079gtd2efpviyo605ozsd79, 9jxofpmrfh2lil77f9xj22kiy, 1vn3xi2x6vtjor1bt1ob1vk5x, 4hhuyat3grozmgba4f55zyajt, dfytsnxfl78jnug9trsa9qv3d, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, 4pizap25enja9rtz4g6x5bkd1, 5gtoi90sxc43mbsfxwfv7wzxl, euy1s0xo19019kegzcpp1gez9, 9226xt1t1m3fy4ob9l2r16609, 4jjk6jqgz3w4uvm3bvhl9t016, emvmn561wgd62zj0s3qi5j5rd, 4fjw9xjyjmri6vncii6zrvhex",3831022117,197,16829,3831022119,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3831022109,59,"13, 2, 15, 14, 16, 6, 11, 5, 9, 10, 28, 1, 3, 4, 12, 17, 18, 21, 23, 24, 29, 33, 41",3831022107,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3831022111,130,8,3831022115,194,75079gtd2efpviyo605ozsd79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578223,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-09T12:00:11.255Z,2022-10-09T12:00:11Z,3831236841,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578397,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-09T12:00:11.255Z,2022-10-10T03:56:21Z,3831237731,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578247,3,1,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,50.1,50,2022-10-09T12:00:11.305Z,2022-10-10T04:26:00Z,3831236961,213,3.4,3834442541,178,,3831236953,56,Back,3831236957,141,47.3,3831236959,212,6.3,3831236963,279,S,3831236955,140,44.4,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578297,4,1,1,0,1,ah8dala7suqqkj04n2l8xz4zd,1,44,47.3,2022-10-09T12:00:12.873Z,2022-10-10T04:26:04Z,3831237237,56,Back,3831237239,140,35.2,3834442579,178,,3831237243,212,9.3,3831237245,213,3.3,3831237241,141,45.6,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578337,5,1,1,0,3,ah8dala7suqqkj04n2l8xz4zd,1,34.9,47.9,2022-10-09T12:00:14.535Z,2022-10-10T04:26:09Z,3834442623,178,,3831237427,141,71.6,3831237429,212,16.3,3831237423,56,Back,3831237431,213,1.7,3831237425,140,32.3,,,,,,,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578379,6,1,1,0,7,ah8dala7suqqkj04n2l8xz4zd,1,32.3,71.6,2022-10-09T12:00:18.785Z,2022-10-10T04:26:13Z,3834442663,178,,3831237631,213,3.5,3831237625,140,25.7,3831237629,212,7.4,3831237627,141,67.8,3831237623,56,Back,,,,,,,10f06nit2xupshuz4lmazrvth,William Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578415,7,1,1,0,9,ah8dala7suqqkj04n2l8xz4zd,1,27,69,2022-10-09T12:00:20.914Z,2022-10-10T04:26:18Z,3834442713,178,,3831237795,56,Left,3831237811,213,0.5,3831237807,212,39.9,3831237815,1,,3831237799,140,61.2,3831237793,155,,3831237803,141,94.7,1myo59ub6qouwvxpb699shhw5,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469578453,8,1,1,0,11,ah8dala7suqqkj04n2l8xz4zd,1,61.2,94.7,2022-10-09T12:00:23.054Z,2022-10-10T04:26:27Z,3831238013,140,70.4,3831238027,213,6.0,3831238017,212,9.9,3831238015,141,91.3,3831238011,56,Left,3831238007,3,,3834442829,178,,,,,9jxofpmrfh2lil77f9xj22kiy,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
