id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value,qualifier/19/value
2462143585,1,34,16,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-09-18T17:06:25.877Z,2022-09-18T18:59:32Z,3791603187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791603183,59,"1, 2, 23, 18, 3, 4, 10, 8, 21, 15, 20, 5, 6, 7, 11, 12, 13, 16, 19, 22, 24, 26",3791603185,130,4,3791603181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3792042337,197,239,3791603189,194,diod1hv5hv7v7z7mfleev1txx,3791603179,30,"6crmq7vzqts58wg196q48sc7p, 7oykphzczagr975xsqt70s89h, 6q69l3ppqfqbryjubcrujfi6t, aipyotc87m5bdvmvizd5n69k9, 8wvkrrbqqthuwda8twg03yuax, 6w5wyari2p4bh2zzy2x2f6hg5, diod1hv5hv7v7z7mfleev1txx, cdcbi6xmy0uts703489e0acb9, broq8imimhtlejtffissquy5m, 1i9wi65k2foqwudeqiyih87hl, b4witgokm49tidm1a83qcvbop, eihwzqtt27l2l8iu990h68edx, 7o4nc6jwsi3quvnwinstqwyj9, 54h69199gtsavspwblux98dsl, 127eg3g8ig8j7obxtyc2tl8t1, en2c7z1raqmcwee78297pbnu2, 38bp85766w04a0nuulq5fiig9, 5nluxvc0wi0u1d5zcy7be5rkl, i48mf81fxn2af1xxjzfi8gr9, 6fzbp94hf19ysotdassrqdc5x, eufpzdp76oumhybvscmu76vo5, 8blr43wb2ergbbialws9irq0a",3791603191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462172269,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-09-18T17:36:28.559Z,2022-09-18T18:59:09Z,3792041249,197,244,3791760225,30,"2yt9oajv9dkbju8tgy1g2nmqd, amxunh6enoc99r07cp7qt621h, 20m7tijt8jnedjd4x87olmaqd, cj3dik1dqyo2nf1jgmyn471sl, 59234as8h70fejyfm7492np3p, f30avgacyfz88ppw9mh8v57md, 3ga7qj3h3dbmqucxmaxhmrjdh, b9kfek16otvdorssn0wzkb36d, 4z60ztggqxzfbp8w9ijoqefop, 716n1970vi9rvw5b4w9qmjfth, 58qeglyxdi7y8ttg8sddv8set, cfhk5255hz4wbs2zsrq219a6t, 9rm3r46uzxlmuqnp0jo4danhm, 6fdvv4zs5pl6qj7pp6tsp5iad, ieu0x9fy8hpqyztdjg8bgpnt, 40h47dhimsmeiury61w1ourx1, 46kq5653o302ebz4o5yzsss0l, am5gj5qg3gjtyhvwfnj8sjz6d, d0di86falsvqnl1c4ev98my5m, e7ezci1jed1hnvdq8kf6lq3qi",3791760239,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791760227,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791760231,130,12,3791760235,194,b9kfek16otvdorssn0wzkb36d,3791760229,59,"13, 14, 21, 23, 20, 18, 5, 6, 7, 8, 4, 1, 9, 10, 16, 17, 19, 22, 31, 36",3791760233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223883,2,32,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,0,0,2022-09-18T19:01:48.802Z,2022-09-18T19:01:52Z,3792050073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223875,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2022-09-18T19:01:48.802Z,2022-09-19T01:55:24Z,3792050041,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223913,3,1,1,0,0,3kq9cckrnlogidldtdie2fkbl,1,50.4,50.3,2022-09-18T19:01:48.853Z,2022-09-19T04:41:03Z,3792050199,213,3.2,3792050191,140,34.3,3793203235,178,,3792050189,56,Back,3792050201,279,S,3792050195,212,16.9,3792050193,141,48.9,,,,broq8imimhtlejtffissquy5m,Rodrygo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223939,4,1,1,0,1,3kq9cckrnlogidldtdie2fkbl,1,30,41.8,2022-09-18T19:01:50.767Z,2022-09-19T04:41:11Z,3792050317,212,2.4,3792050313,140,31.0,3792050315,141,44.9,3792050311,56,Back,3792050319,213,1.1,3793203313,178,,,,,,,,8wvkrrbqqthuwda8twg03yuax,Éder Militão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223981,5,1,1,0,3,3kq9cckrnlogidldtdie2fkbl,0,31.1,44.9,2022-09-18T19:01:51.918Z,2022-09-19T04:41:17Z,3792050525,56,Right,3792050527,140,67.1,3792050531,212,46.1,3792050523,155,,3792050535,1,,3792050529,141,6.1,3792050533,213,5.7,3793203379,178,,6w5wyari2p4bh2zzy2x2f6hg5,D. Alaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223975,3,44,1,0,6,4ku8o6uf87yd8iecdalipo6wd,1,31.7,92.2,2022-09-18T19:01:54.940Z,2022-09-19T13:20:35Z,3792050487,56,Back,3792050605,233,6,3792050489,285,,,,,,,,,,,,,,,,,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462223989,6,44,1,0,6,3kq9cckrnlogidldtdie2fkbl,0,68.3,7.8,2022-09-18T19:01:54.941Z,2022-09-19T04:41:27Z,3792050561,56,Right,3792050563,286,,3792050611,233,3,,,,,,,,,,,,,,,,aipyotc87m5bdvmvizd5n69k9,A. Tchouaméni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462224005,4,1,1,0,6,4ku8o6uf87yd8iecdalipo6wd,0,30.9,90.6,2022-09-18T19:01:55.032Z,2022-09-19T13:20:35Z,3792050633,141,69.4,3792050635,212,34.2,3792050631,140,60.4,3793203597,388,,3792050627,3,,3792050639,1,,3792050637,213,5.8,3792050629,56,Center,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
