id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2519875169,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-13T18:49:43.159Z,2023-03-13T19:05:57Z,4096533259,197,704,4096506817,130,7,4096506823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096506819,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096506813,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096506811,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 3auwtiburdxrp2i5me2d97f11, 2udtmz4lvh4vil16mxvo0j4l, 27hwtukeqxh91ch1f3qr1it49, 1acqdy7jz9v4i1jwf5u809byt, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, 6navc0x6p4yqy76zyo3zocwr9, 8tnz3pqkqdhbr08p96i9w8i96, 2do89l8kf9yuelzq1b5mo549h, 8xd59g0c36012q6mg5f2fl239, 3xxwjf3ymu1j9825xjuwuknah, 9iwptrplnmwst5nfimyuqekq2, 9um7x9zd0e000zt57l3yearqh, bixz0as48s0jmvl2bdctr2tt6, eonkaqrhhxzaa3nt0iena4us",4096506815,59,"13, 4, 3, 18, 22, 5, 8, 14, 9, 24, 17, 1, 2, 7, 11, 12, 15, 16, 19, 23, 26, 36",4096506821,194,1acqdy7jz9v4i1jwf5u809byt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519875397,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-03-13T18:50:50.935Z,2023-03-13T21:01:12Z,4096533081,197,16765,4096508121,59,"13, 16, 21, 22, 2, 15, 14, 6, 9, 8, 11, 1, 4, 5, 10, 12, 17, 19, 20, 24",4096508125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096508119,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096508127,194,b9kfek16otvdorssn0wzkb36d,4096508129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096508117,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, 20m7tijt8jnedjd4x87olmaqd, am5gj5qg3gjtyhvwfnj8sjz6d, 548jzfl9higq44w9bgqvcjh05, av5g4nr853anks78vl6jh4s7p, amxunh6enoc99r07cp7qt621h, b9kfek16otvdorssn0wzkb36d, b37h0rc96jh4e34x6iru2plud, 716n1970vi9rvw5b4w9qmjfth, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, 58qeglyxdi7y8ttg8sddv8set, 3ga7qj3h3dbmqucxmaxhmrjdh, 6fdvv4zs5pl6qj7pp6tsp5iad, 31wf775s975qy3il33oora8k5, 40h47dhimsmeiury61w1ourx1, 46kq5653o302ebz4o5yzsss0l, 59234as8h70fejyfm7492np3p, 9e7ybe0nsu3byq2tteey3zuy2",4096508123,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905253,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-03-13T20:00:31.601Z,2023-03-14T06:43:59Z,4096671287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905265,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-03-13T20:00:31.601Z,2023-03-13T20:00:33Z,4096671337,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905273,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,50.1,50.1,2023-03-13T20:00:31.642Z,2023-03-14T06:58:18Z,4096671383,56,Back,4096671389,212,19.9,4096671387,141,64.1,4096671391,213,2.6,4097316241,178,,4096671393,279,S,4096671385,140,33.5,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905279,4,1,1,0,1,7h7eg7q7dbwvzww78h9d5eh0h,1,33.5,64.1,2023-03-13T20:00:33.581Z,2023-03-14T06:58:26Z,4096671415,213,1.0,4096671411,141,81.2,4096671413,212,13.8,4096671409,140,40.6,4096671407,56,Back,4097316307,178,,,,,,,,4o0ei8wawffrg2hvnbmcxipxx,David López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905309,5,1,1,0,4,7h7eg7q7dbwvzww78h9d5eh0h,1,41.4,83.6,2023-03-13T20:00:36.194Z,2023-03-14T06:58:30Z,4097316337,178,,4096671557,56,Left,4096671559,140,90.4,4096671561,141,87.5,4096671565,213,0.1,4096671555,155,,4096671563,212,51.5,4096671567,1,,d7pzcnoztn30xoj5b2sr9slt6,Miguel Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905317,6,1,1,0,8,7h7eg7q7dbwvzww78h9d5eh0h,0,92.8,88.5,2023-03-13T20:00:39.854Z,2023-03-14T06:58:37Z,4096671597,140,88.9,4096671593,3,,4096671599,141,92.7,4096671605,213,2.5,4097316385,388,,4096671595,56,Left,4096671603,212,5.0,,,,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905321,3,49,1,0,10,4ku8o6uf87yd8iecdalipo6wd,1,13.4,8.6,2023-03-13T20:00:41.680Z,2023-03-14T06:58:47Z,,,,,,,,,,,,,,,,,,,,,,,,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519905353,4,1,1,0,10,4ku8o6uf87yd8iecdalipo6wd,1,14.2,8.8,2023-03-13T20:00:41.749Z,2023-03-14T06:58:50Z,4096671777,157,,4096671779,56,Back,4096671785,212,29.9,4096671781,140,42.5,4096671787,213,0.1,4096671783,141,13.6,4096671789,1,,4097316489,178,,ieu0x9fy8hpqyztdjg8bgpnt,N. Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
