id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2481357593,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-11-04T18:53:21.004Z,2022-11-04T19:57:15Z,3893548129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893548127,130,7,3893548131,194,8tnz3pqkqdhbr08p96i9w8i96,3893548125,59,"13, 4, 3, 18, 22, 5, 12, 21, 9, 14, 11, 1, 2, 7, 8, 16, 17, 23, 25, 26, 32, 34, 36",3893548133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893776045,197,704,3893548121,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 2do89l8kf9yuelzq1b5mo549h, c320492cbp1otejfp1i1oane1, 27hwtukeqxh91ch1f3qr1it49, 2udtmz4lvh4vil16mxvo0j4l, 8tnz3pqkqdhbr08p96i9w8i96, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, 6navc0x6p4yqy76zyo3zocwr9, 20ebw399jhbq0i5x2eacrrs6i, 3xxwjf3ymu1j9825xjuwuknah, bqmhsb2bsuuuijw2ci39l01k9, 9um7x9zd0e000zt57l3yearqh, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, 618ct0ti4q9ksggep1allpmac, 2imwi9csq62zol9a3f9gl711w, eonkaqrhhxzaa3nt0iena4us",3893548123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481358683,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-11-04T18:56:40.611Z,2022-11-04T19:59:30Z,3893553745,30,"4vlurpsi44g09g159t61u83bp, v7isqpxiursyjhj5rmhyhjv9, 8hm6d6395johhjsoe8jz6dcyd, 83n1qv6ypl625aolzjeqifv11, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, 66jotyvbhtz5cjvhbby6luelm, dfcbvsb7o18lavmonbp5ucwoa, ddvvwqxpsqqboupi3gx1ijhed, aow6cahecmexgd5qxt3esmaxh, do5tibysnhbnbw18nwdo39kut, 99ecb8p6h4ak4rizuz4087s6i, 9d5h5wxf44qu4fw3jk2pgis16, 3tzvbdszdrj1tayik9igbve8l, 1tctbwsidibct7wphjgv8mdm2, 7x2c4pr7hvku5zp0dnjcpy0yy, e9wu8g45hq2c1vp07jktx0set, 488vwilxllk6nhf4o1wrh0gve, egt3tl6hu2bfi16pqyxwv4onp, 8bpmnz5rz94ayk10hr0ekki51, ebj1tatpfyuedmk2y40i393h1, 5kd57453a90zahgdxwkghr816",3893553749,59,"1, 15, 17, 6, 5, 4, 11, 8, 9, 22, 7, 2, 3, 12, 13, 16, 18, 19, 20, 21, 24, 31",3893553753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893781535,197,17183,3893553747,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893553751,130,8,3893553757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893553755,194,ddvvwqxpsqqboupi3gx1ijhed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402007,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2022-11-04T20:00:42.430Z,2022-11-04T20:00:46Z,3893784507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481401997,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-11-04T20:00:42.430Z,2022-11-05T10:37:44Z,3893784469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481405333,58,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50.2,50,2022-11-04T20:00:42.561Z,2022-11-05T10:47:02Z,3894703471,178,,3893802421,56,Back,3893802423,140,48.1,3893802425,141,47.0,3893802731,279,S,3893802429,213,3.9,3893802427,212,3.0,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402017,3,1,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,50,50,2022-11-04T20:00:42.991Z,2022-11-05T10:47:04Z,3893784585,212,5.1,3893784587,213,2.7,3894703525,178,,3893784579,56,Back,3893784581,140,45.7,3893784583,141,53.5,,,,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402041,4,1,1,0,2,3czravw89omgc9o4s0w3l1bg5,1,45.7,53.5,2022-11-04T20:00:45.176Z,2022-11-05T10:47:08Z,3893784725,212,20.0,3893784731,213,4.1,3893784717,56,Back,3894703565,178,,3893784719,140,34.1,3893784721,141,30.2,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402075,5,1,1,0,5,3czravw89omgc9o4s0w3l1bg5,1,34.1,30.2,2022-11-04T20:00:48.081Z,2022-11-05T10:47:10Z,3893784873,56,Back,3894703597,178,,3893784875,140,31.6,3893784879,212,24.6,3893784881,213,1.7,3893784877,141,66.2,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402123,6,1,1,0,9,3czravw89omgc9o4s0w3l1bg5,1,35.1,68,2022-11-04T20:00:51.863Z,2022-11-05T10:47:15Z,3893785085,213,1.3,3894703689,178,,3893785079,140,39.3,3893785081,141,94.3,3893785077,56,Back,3893785083,212,18.4,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402147,7,1,1,0,12,3czravw89omgc9o4s0w3l1bg5,1,40.2,91.9,2022-11-04T20:00:55.352Z,2022-11-05T10:47:18Z,3893785261,212,17.5,3893785263,213,4.2,3894703725,178,,3893785259,141,69.5,3893785257,140,32.0,3893785255,56,Back,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402177,8,1,1,0,17,3czravw89omgc9o4s0w3l1bg5,1,38.1,69.8,2022-11-04T20:00:59.491Z,2022-11-05T10:47:21Z,3893785425,140,43.1,3893785433,213,1.2,3894703791,178,,3893785431,212,16.1,3893785429,141,92.2,3893785421,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402189,9,1,1,0,18,3czravw89omgc9o4s0w3l1bg5,1,43.1,92.2,2022-11-04T20:01:01.383Z,2022-11-05T10:47:23Z,3893785491,140,56.2,3894703835,178,,3893785493,141,90.7,3893785495,212,13.8,3893785489,56,Left,3893785497,213,6.2,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402195,10,1,1,0,21,3czravw89omgc9o4s0w3l1bg5,1,56.2,90.7,2022-11-04T20:01:03.704Z,2022-11-05T10:47:29Z,3893785521,140,55.0,3893785519,56,Left,3894703907,178,,3893785523,141,97.3,3893785525,212,4.7,3893785527,213,1.8,,,,,,,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481402211,11,1,1,0,22,3czravw89omgc9o4s0w3l1bg5,1,55.1,97.2,2022-11-04T20:01:04.985Z,2022-11-05T10:47:33Z,3893785635,141,96.4,3893785637,212,14.2,3893785639,213,3.2,3893785633,140,41.6,3893785631,56,Back,3894703941,178,,,,,,,,do5tibysnhbnbw18nwdo39kut,Álex Berenguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
