id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2465482747,1,34,16,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-01T13:03:42.378Z,2022-10-01T14:26:54Z,3809303795,194,9see13i1f0n1ju4uhs8sijutx,3809303791,130,10,3809303797,197,1579,3809303793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809303789,59,"13, 22, 21, 4, 6, 2, 11, 18, 19, 10, 16, 1, 3, 7, 8, 12, 14, 15, 17, 23, 27, 28",3809303799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809303787,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809303785,30,"vota9gwygxp3wc998tl7ldxx, 1p6ccbu8hzugj05qtea21rw7p, 5lzbyj5i0cotpry4gneap8c89, qg0ok4244nmslpvxnoj6zn8q, cue88fm1v1ysfuwhql68czydx, 9see13i1f0n1ju4uhs8sijutx, eiqt71z69beq7akuhot0foset, 5gorfhj7uwpomrhlso1krxrkl, 52e2ogoex674bz6pcwluapdxx, b64p21hmhsqgrn6n04mk00zpx, aso41hpuq5oh825n83boc5x0q, 1f2t5vsayiiluw330yiw4ft1x, 2zgcbp9g85uxudxadiw3twmvp, ckne0j1fs5cxufyicjbygdi39, 3f673373jylbr4ir0bklci40l, bvbebtykj45j3luvemk8yc4ph, 8lg4tqh5bepeexbhghyr7pze2, 2o3bka7gokfjkej1f600ovbo5, entqiwoor6dhwqcg5s82krfth, 32sds4yk7ch30mng0gyzhdk9h, 5mj2vxkh3pmkbwj139mp93n4l, e8t77ifx5ddju8ihbgu5iy8lw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465487621,1,34,16,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-01T13:09:42.227Z,2022-10-01T15:14:26Z,3809329731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809329735,130,4,3809329733,59,"1, 27, 18, 17, 24, 5, 4, 6, 7, 11, 10, 3, 8, 9, 12, 14, 15, 20, 21, 31, 39",3809329737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809329741,197,273,3809329743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809329739,194,74gwlzg12wr9pkwmdh9xpa505,3809329729,30,"74gwlzg12wr9pkwmdh9xpa505, dka9aakcyyvh98m2uhkvs6qz8, 3zyib6lm9w7bi6lbek5m0dbrp, b6rbjpzuq9vo9kdil1tlyl2ad, 3fatiz92fyc3cn91ca11i0iqd, 9f83clp1v95kvlxdb376tgbth, 66t7zm54jgmcjtiizl9g0rkkp, 1whtyw1adggpz4j1xp7sjbeg9, 25txz41mi9auu289jliapd6tx, 2z183ceh099zdd3wq5fvs1aay, 2z101tpx36mno6neclyrym8yd, 8vdhfk7vik10ia4uv8zh1lbyt, 234yd91ki5snm5wipuxzogkp, cj24ptt1lvwh7hakewqydobf9, 7v5zw48zp3pxd39q1i2qmul79, bqckicfyy7s8vqugcwwvwp5n9, 81egd7oua1lfq2j8lke5z0ueh, 458bvyiuixqgsysikrpoirxlh, 46gpq48n4d5bntwa8v2t78hcl, d8om2m3knmfqt17u5emlapi50, 9tp35qqu1heburu0g5wa6jv56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465570753,2,32,1,0,0,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-10-01T14:15:19.595Z,2022-10-01T14:15:21Z,3809756135,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465570721,2,32,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-01T14:15:19.595Z,2022-10-02T01:01:27Z,3809755951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465570907,3,1,1,0,0,1n1j0wsl763lq7ee1k0c11c02,1,50.4,49.6,2022-10-01T14:15:19.662Z,2022-10-02T03:16:39Z,3809756833,279,S,3809756825,140,34.9,3809756823,56,Back,3809756827,141,54.9,3809756831,213,2.9,3809756829,212,16.7,3813210631,178,,,,,52e2ogoex674bz6pcwluapdxx,Borja Mayoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465570915,4,1,1,0,1,1n1j0wsl763lq7ee1k0c11c02,1,34.9,54.9,2022-10-01T14:15:21.126Z,2022-10-02T03:16:39Z,3809756901,140,23.8,3809756905,212,15.0,3809756899,56,Back,3809756903,141,68.7,3809756907,213,2.5,3813210637,178,,,,,,,,5gorfhj7uwpomrhlso1krxrkl,M. Arambarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465570991,5,1,1,0,4,1n1j0wsl763lq7ee1k0c11c02,1,23.8,68.7,2022-10-01T14:15:23.648Z,2022-10-02T03:16:39Z,3813210645,178,,3809757283,56,Back,3809757287,141,51.8,3809757285,140,24.6,3809757293,213,4.8,3809757289,212,11.5,,,,,,,qg0ok4244nmslpvxnoj6zn8q,G. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465571075,6,1,1,0,6,1n1j0wsl763lq7ee1k0c11c02,1,24.6,51.8,2022-10-01T14:15:25.841Z,2022-10-02T03:16:40Z,3809757729,213,3.2,3809757721,56,Back,3809757725,141,51.2,3809757727,212,14.4,3809757723,140,10.9,3813210705,178,,,,,,,,cue88fm1v1ysfuwhql68czydx,Domingos Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465571245,7,1,1,0,7,1n1j0wsl763lq7ee1k0c11c02,1,10.9,51.2,2022-10-01T14:15:27.551Z,2022-10-02T03:16:40Z,3813210711,178,,3809758671,212,26.0,3809758661,56,Back,3809758677,213,5.3,3809758667,141,18.6,3809758663,140,23.9,,,,,,,vota9gwygxp3wc998tl7ldxx,David Soria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465571405,8,1,1,0,14,1n1j0wsl763lq7ee1k0c11c02,1,39.1,6.5,2022-10-01T14:15:33.695Z,2022-10-02T03:16:41Z,3809759459,212,16.4,3813210747,178,,3809759449,56,Right,3809759457,141,16.1,3809759453,140,53.4,3809759461,213,0.4,,,,,,,9see13i1f0n1ju4uhs8sijutx,D. Dakonam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465571663,9,1,1,0,15,1n1j0wsl763lq7ee1k0c11c02,1,53.4,18.4,2022-10-01T14:15:34.623Z,2022-10-02T03:16:41Z,3809760791,141,15.9,3809760795,213,3.2,3809760793,212,31.4,3809760789,140,23.5,3812356979,156,,3809760787,56,Back,3813210765,178,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466264431,754,43,1,0,18,1n1j0wsl763lq7ee1k0c11c02,1,0,0,2022-10-01T14:15:38.138Z,2022-10-02T12:17:34Z,3814193889,144,82,3813502379,178,0,,,,,,,,,,,,,,,,,,,eiqt71z69beq7akuhot0foset,Carles Aleñá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
