id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/9/value,qualifier/11/value,qualifier/13/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2503709609,1,34,16,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-04T14:02:12.699Z,2023-02-04T14:02:12Z,4011157363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011157367,197,281,4011157357,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011157361,130,13,4011157359,59,"13, 40, 23, 7, 3, 14, 21, 20, 9, 19, 10, 1, 2, 4, 5, 8, 16, 17, 18, 22, 24",4011157365,194,36bg0k385i4wwarffp6ak1syd,4011157355,30,"36bg0k385i4wwarffp6ak1syd, 6jq376l673aizjxxhhos2j52i, 7wjmaxqunpd84il1p5w4xwrmd, eo74fl3ctgkwbpsa099rkv6xh, 2zn2o5lzchz7oattq9pnjr8wl, ewu1skobmxtz4f3z6dbnfm6dx, bkvvapojagxvj17nzk3oy8ct1, f0a2qk3jzxercn67bben5eled, 9ivrglgy0tibv881e1a93psr9, a971j313ztjvcgojpg6u390b9, 1ore4ght7ls393tcpbmah9dcl, c0pl96o1zkrgvukte9zefl591, 61j22wr5t5irba2v3v4l1rnro, b69uny9udp3ab2zccwa0qnrh1, elb74prcilvsqzn9jdznrjavp, 8axw2xc0dl8vsdub6nq4nhjo5, e18oezz5jq7pf3h4azgv3ofrp, ac5f9msbvijksbq5s2ivwh979, a045sz2acqbfgyq9puwsu8sx6, eg5xrgue41p7yq97ge9iri99m, agmcwbzoertg4l8njpdai7kl",4011157369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503719181,1,34,16,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-02-04T14:10:02.048Z,2023-02-04T14:10:02Z,4011204669,194,e615cmv1tfzu84f0z8mwi5711,4011204659,30,"76r2yw3wtql61qh5l0yumdn85, 5soi8e2hlk77rlsbsl76hg3xl, dfjph36vcwfj5cevut4x3vf11, c29mprqv2ulztd22b6uckczx1, e615cmv1tfzu84f0z8mwi5711, aza9jho12wrfa3oczxoj670mh, 5mx86rwy0u4xi1b5kqin4lhx, 5zoz3mjooujpv0wdcphyrztd6, 2biwwlvzgsu5kmyw5w1adpmtx, 3bm08rp9rgzh6cjhk0picxs6h, 4eezya3lwcwur6c8s6rl0rzvu, 6wpnjdlg2p8f19y3gjpz1su6t, 9m2qujt0h0zrd0n1akjqjo0r9, a3w1uczgmswm3cwk4vmvoglhx, a7bs2dkwmy1cjryql6z3n9kut, 9y7202khwzb48ea7im646m11x, 7c2qwyzh82a45s25zmdahrd91, agik49oxbq54j7m1tj4unqj56, 32uxh37qc6ebx1z4h8qvuvdnt, 313x9xk65v0e1qoqvbqqy5u96, 20ebw399jhbq0i5x2eacrrs6i",4011204665,130,4,4011204661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011204673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011204671,197,284,4011204663,59,"1, 8, 12, 10, 3, 5, 6, 16, 7, 11, 21, 2, 14, 18, 19, 22, 23, 27, 31, 34, 39",4011204667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503814709,2,32,1,0,0,74mcjsm72vr3l9pw2i4qfjchj,1,0,0,2023-02-04T15:17:02.285Z,2023-02-04T15:17:02Z,4011687705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503814743,2,32,1,0,0,4yg9ttzw0m51048doksv8uq5r,1,0,0,2023-02-04T15:17:02.285Z,2023-02-05T01:30:26Z,4011687863,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503814869,3,1,1,0,1,74mcjsm72vr3l9pw2i4qfjchj,1,49.9,50,2023-02-04T15:17:03.520Z,2023-02-05T05:52:34Z,4011688537,140,32.6,4011688533,56,Back,4011688543,213,2.9,4014050559,178,,4011688541,212,18.5,4012156651,189,,4011688545,279,S,4011688539,141,55.5,2biwwlvzgsu5kmyw5w1adpmtx,Gerard Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503814921,4,1,1,0,6,74mcjsm72vr3l9pw2i4qfjchj,1,32,56.9,2023-02-04T15:17:08.515Z,2023-02-05T05:52:52Z,4011688847,213,2.4,4011688843,141,69.4,4011688841,140,24.0,4011688845,212,12.0,4011688839,56,Back,4014050961,178,,,,,,,,c29mprqv2ulztd22b6uckczx1,Dani Parejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503815495,5,1,1,0,8,74mcjsm72vr3l9pw2i4qfjchj,1,23.9,65.5,2023-02-04T15:17:10.964Z,2023-02-05T05:53:01Z,4011691867,140,21.6,4011691871,212,19.6,4014051225,178,,4011691873,213,4.6,4011691869,141,36.9,4011691865,56,Back,,,,,,,aza9jho12wrfa3oczxoj670mh,Jorge Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503815589,6,1,1,0,22,74mcjsm72vr3l9pw2i4qfjchj,1,33.5,49,2023-02-04T15:17:24.991Z,2023-02-05T05:53:18Z,4011692283,56,Back,4011692287,141,20.7,4011692289,212,19.3,4011692285,140,32.3,4011692291,213,4.6,4014051615,178,,,,,,,,e615cmv1tfzu84f0z8mwi5711,Raúl Albiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503815671,7,1,1,0,24,74mcjsm72vr3l9pw2i4qfjchj,1,32.3,20.7,2023-02-04T15:17:27.202Z,2023-02-05T05:54:33Z,4011692649,213,5.4,4014053147,178,,4011692645,141,3.5,4011692643,140,40.8,4011692647,212,14.7,4011692641,56,Back,,,,,,,5soi8e2hlk77rlsbsl76hg3xl,J. Foyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503815759,8,1,1,0,27,74mcjsm72vr3l9pw2i4qfjchj,1,40.8,4.1,2023-02-04T15:17:29.396Z,2023-02-05T05:54:52Z,4011693055,140,44.7,4011693059,212,7.8,4014053495,178,,4011693063,213,1.0,4011693053,56,Back,4011693057,141,13.8,,,,,,,3bm08rp9rgzh6cjhk0picxs6h,S. Chukwueze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
